Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,medium
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,None
lags_target,1
n_estimators,825
learning_rate,0.022881318083931037
num_leaves,37
max_depth,13
min_child_samples,35
subsample,0.5038798241586087
colsample_bytree,0.7883079269763664
reg_alpha,0.0016933526400362577
reg_lambda,0.0485390363609474
min_split_gain,0.015542967924158671
