date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2025-04-12 00:00:00+00:00,,20.456123,-329.79949974511646,370.71180232260633
2025-04-12 01:00:00+00:00,,5.7118597,-344.54381559418084,355.96748647354207
2025-04-12 02:00:00+00:00,,23.71772,-326.5379239137733,373.9733781539494
2025-04-12 03:00:00+00:00,,49.28553,-300.9701083613188,399.541193706404
2025-04-12 04:00:00+00:00,,24.273201,-325.98247636735323,374.52882570036945
2025-04-12 05:00:00+00:00,,479.00375,128.74812354430537,829.2594256120282
2025-04-12 06:00:00+00:00,,1478.8446,1128.5889240119368,1829.1002260796597
2025-04-12 07:00:00+00:00,,2477.6323,2127.3767219354695,2827.888024003192
2025-04-12 08:00:00+00:00,,3955.4307,3605.1751111425833,4305.686413210306
2025-04-12 09:00:00+00:00,,3861.7288,3511.4731284888167,4211.98443055654
2025-04-12 10:00:00+00:00,,5195.712,4845.456292259736,5545.96759432746
2025-04-12 11:00:00+00:00,,4473.488,4123.2322630192775,4823.743565087001
2025-04-12 12:00:00+00:00,,3927.9824,3577.7268645321096,4278.238166599833
2025-04-12 13:00:00+00:00,,4529.228,4178.972273055436,4879.4835751231585
2025-04-12 14:00:00+00:00,,3047.864,2697.6084460324846,3398.1197481002077
2025-04-12 15:00:00+00:00,,1636.188,1285.932257281991,1986.443559349714
2025-04-12 16:00:00+00:00,,741.8199,391.56420652812574,1092.0755085958485
2025-04-12 17:00:00+00:00,,350.64386,0.3882239759246886,700.8995260436475
2025-04-12 18:00:00+00:00,,150.05511,-200.20050539171598,500.3107966760069
2025-04-12 19:00:00+00:00,,112.33082,-237.92482719654868,462.58647487117406
2025-04-12 20:00:00+00:00,,14.181098,-336.0745284199081,364.4367736478147
2025-04-12 21:00:00+00:00,,76.67652,-273.579120901898,426.9321811658247
2025-04-12 22:00:00+00:00,,83.67329,-266.5823566741635,433.92894539355933
2025-04-12 23:00:00+00:00,,15.5291815,-334.7264892324431,365.7848128352797
2025-04-13 00:00:00+00:00,,72.58015,-277.6755148868617,422.835787180861
2025-04-13 01:00:00+00:00,,94.49854,-255.75708345724502,444.7542186104777
2025-04-13 02:00:00+00:00,,14.716865,-335.5387584283483,364.9725436393745
2025-04-13 03:00:00+00:00,,4.946784,-345.3088755490264,355.20242651869637
2025-04-13 04:00:00+00:00,,10.037421,-340.2182160989564,360.29308596876626
2025-04-13 05:00:00+00:00,,281.83698,-68.41865369722984,632.092648370493
2025-04-13 06:00:00+00:00,,846.0572,495.80152460683786,1196.3128266745607
2025-04-13 07:00:00+00:00,,1356.4781,1006.2224867324934,1706.7337888002162
2025-04-13 08:00:00+00:00,,2765.2793,2415.0237256007867,3115.5350276685094
2025-04-13 09:00:00+00:00,,3007.427,2657.1713241537423,3357.682626221465
2025-04-13 10:00:00+00:00,,3648.432,3298.176203481997,3998.6875055497203
2025-04-13 11:00:00+00:00,,4265.569,3915.3133066540927,4615.824608721816
2025-04-13 12:00:00+00:00,,3190.4163,2840.1605920245156,3540.6718940922387
2025-04-13 13:00:00+00:00,,3248.6782,2898.422538297742,3598.9338403654647
2025-04-13 14:00:00+00:00,,3252.3145,2902.058916654706,3602.570218722429
2025-04-13 15:00:00+00:00,,1726.8263,1376.5705797688565,2077.081881836579
2025-04-13 16:00:00+00:00,,988.9483,638.6926597635121,1339.203961831235
2025-04-13 17:00:00+00:00,,182.3103,-167.94536149568103,532.5659405720417
2025-04-13 18:00:00+00:00,,-3.1259086,-353.38157131718845,347.12973075053424
2025-04-13 19:00:00+00:00,,16.780159,-333.4754865708769,367.0358154968459
2025-04-13 20:00:00+00:00,,14.552985,-335.7026817501669,364.8086203175559
2025-04-13 21:00:00+00:00,,3.8850167,-346.3706189812285,354.1406830864943
2025-04-13 22:00:00+00:00,,0.27307814,-349.9825904139243,350.5287116537985
2025-04-13 23:00:00+00:00,,10.920051,-339.3355975331003,361.17570453462247
2025-04-14 00:00:00+00:00,,-8.696038,-358.95167059104233,341.55963147668047
2025-04-14 01:00:00+00:00,,-8.239617,-358.49528644312477,342.016015624598
2025-04-14 02:00:00+00:00,,-8.696038,-358.95167059104233,341.55963147668047
2025-04-14 03:00:00+00:00,,-34.217216,-384.4728680736132,316.0384339941095
2025-04-14 04:00:00+00:00,,-5.489007,-355.74465141394694,344.76665065377586
2025-04-14 05:00:00+00:00,,288.60638,-61.64927923971504,638.8620228280078
2025-04-14 06:00:00+00:00,,694.256,344.00030498942783,1044.5116070571507
2025-04-14 07:00:00+00:00,,1168.438,818.1823156732398,1518.6936177409625
2025-04-14 08:00:00+00:00,,1730.9072,1380.6515188502176,2081.1628209179403
2025-04-14 09:00:00+00:00,,2532.6143,2182.358512711819,2882.8698147795417
2025-04-14 10:00:00+00:00,,2985.7048,2635.449161554577,3335.9604636223
2025-04-14 11:00:00+00:00,,4072.7207,3722.4651615332073,4422.97646360093
2025-04-14 12:00:00+00:00,,4395.0337,4044.777767338427,4745.289069406151
2025-04-14 13:00:00+00:00,,3874.7463,3524.4907177856376,4225.00201985336
2025-04-14 14:00:00+00:00,,2560.6018,2210.3462452469585,2910.857547314681
2025-04-14 15:00:00+00:00,,1601.2385,1250.9828507510672,1951.4941528187899
2025-04-14 16:00:00+00:00,,818.8969,468.64125225550237,1169.152554323225
2025-04-14 17:00:00+00:00,,167.00256,-183.25306347552964,517.258238592193
2025-04-14 18:00:00+00:00,,9.656196,-340.5994370544895,359.9118650132333
2025-04-14 19:00:00+00:00,,-3.4429862,-353.6986079736064,346.8126940941163
2025-04-14 20:00:00+00:00,,2.4786446,-347.77701520907294,352.73428685864974
2025-04-14 21:00:00+00:00,,1.7490304,-348.50660489335496,352.0046971743677
2025-04-14 22:00:00+00:00,,1.7490304,-348.50660489335496,352.0046971743677
2025-04-14 23:00:00+00:00,,1.7490304,-348.50660489335496,352.0046971743677
2025-04-15 00:00:00+00:00,,-2.900994,-353.15667291121053,347.35462915651215
2025-04-15 01:00:00+00:00,,-0.161187,-350.41684786925225,350.09445419847054
2025-04-15 02:00:00+00:00,,-0.161187,-350.41684786925225,350.09445419847054
2025-04-15 03:00:00+00:00,,3.0341866,-347.22148320962765,353.28981885809503
2025-04-15 04:00:00+00:00,,3.0458443,-347.20982869215686,353.30147337556593
