number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,292.7813618977864,0.8358494193680559,True,True,True,False,False,True,True,False,True,True,small,,0.02958253583764938,7,21,0.2066119578807144,830,92,large,1.2095172758714225e-07,0.7420225567946989,None,0.5125400950825798,6,True,COMPLETE
1,256.38072034653254,0.5379541552851377,False,True,False,False,False,True,False,True,False,False,none,1.0,0.10018252297414677,8,52,0.41499834020731335,689,129,large,0.003954949346104424,1.1125640018810073e-06,mean,0.7249289655829818,6,True,COMPLETE
2,356.9332696243919,0.5131486028416992,False,False,True,True,False,False,True,False,True,False,small,6.0,0.023590004101020006,5,18,0.151397941170344,546,85,large,2.386344904216498e-06,0.926142423733355,idw,0.7854841213337271,6,True,COMPLETE
3,454.0572649840395,0.8785503542936957,False,False,False,False,False,True,True,True,False,False,none,6.0,0.014445108668285285,14,62,0.36772178829599683,981,150,large,0.888927118866976,1.2263677891695905e-05,mean,0.5845871739481997,0,False,COMPLETE
4,318.19610157319767,0.5646943345964567,True,False,True,False,True,True,True,True,True,False,large,,0.027658659627046965,10,35,0.3884869747787022,837,67,none,0.03436920930624847,1.1956984841021662e-05,max,0.5780735192769377,0,True,COMPLETE
5,266.8417335723691,0.5623137788956878,True,True,True,True,True,True,True,True,False,True,small,1.0,0.11271951775765084,3,73,0.37481805576943067,916,52,none,3.787890643420719e-08,0.9277670581876022,None,0.7681554848796164,2,False,COMPLETE
6,317.81004728663237,0.7231766041386261,False,False,True,False,True,True,False,False,False,False,large,1.0,0.26685853190286996,4,75,0.004062641894697017,896,84,small,1.1038084982234684e-05,0.2119767143432405,capacity,0.8314091314681908,2,True,COMPLETE
7,275.2524109494893,0.9204169474004682,True,True,False,True,False,True,True,False,False,False,none,1.0,0.07542440425842445,12,67,0.46678739488459114,608,26,large,0.06191082005319175,0.23686348445207536,capacity,0.5084782179694496,0,True,COMPLETE
8,285.4305902292945,0.5238356186293636,False,False,True,False,True,True,True,True,False,True,none,,0.04133992188457328,9,12,0.4335738569063954,421,22,none,5.182701794892868e-08,1.5911622795540364e-08,distance_n_turbines,0.7559245910086838,6,True,COMPLETE
9,328.67784872458805,0.5055350228069435,True,False,False,True,False,False,False,True,False,False,small,12.0,0.25223765250925023,15,38,0.2876472495216622,677,16,small,2.2829126848617002e-06,0.0989918452102694,idw,0.7330591348843105,0,True,COMPLETE
10,402.7692731864272,0.6632612923775965,False,True,False,False,False,False,False,True,True,True,none,12.0,0.10444568041657139,7,89,0.49620898901294763,306,135,large,0.0006527142927409582,4.922973755931673e-08,mean,0.9651167114124839,6,False,COMPLETE
11,242.14122824416893,0.6426394292776811,True,True,False,True,True,True,False,True,False,True,small,1.0,0.12303795153206407,3,48,0.2985795632246461,737,57,none,0.0006070339881812796,0.0023926301043593525,None,0.7049376954068071,2,False,COMPLETE
12,261.7328033566619,0.6458512985157527,True,True,False,True,True,True,False,True,False,True,small,1.0,0.14970974735091433,6,47,0.28814503083086274,717,115,none,0.0005192973998585697,0.0018965783497798686,distance_capacity,0.6667230663123622,2,False,COMPLETE
13,260.84064293739624,0.647900327593512,False,True,False,True,True,True,False,True,False,True,none,1.0,0.05900090021456892,9,53,0.3177489296864912,738,51,none,0.004096848935653652,0.0008493016144854313,mean,0.8664562699389223,2,False,COMPLETE
14,279.14889308801713,0.763048305154878,False,True,False,False,True,False,False,True,False,False,large,1.0,0.17717915237275544,12,36,0.21463582769521872,528,109,small,4.6986597658601015e-05,1.6826149691573334e-06,None,0.6768351497629416,6,False,COMPLETE
15,298.06055416561446,0.6012216035179425,True,True,False,True,False,True,False,True,False,True,small,1.0,0.07766201055972483,3,98,0.07648777763371223,778,47,large,0.005150618321056729,0.007891777821066015,distance_n_turbines,0.6697870767665745,2,False,COMPLETE
16,370.42527026009907,0.9933610220761835,False,True,False,False,False,True,False,True,False,True,none,1.0,0.16122979469834942,7,53,0.33583678622436686,615,110,none,0.0002155696524510919,1.4207358344531825e-06,max,0.8742871462167616,6,False,COMPLETE
17,387.096454748405,0.7128494029885613,True,True,False,True,True,True,False,True,False,False,small,6.0,0.04795101772364516,5,27,0.4287294500464086,504,70,large,0.007922913625487886,0.00016007877390860628,distance_capacity,0.6196817642201862,2,True,COMPLETE
18,376.2202505196463,0.6059453238823166,True,True,False,False,False,False,False,False,True,False,none,12.0,0.09555611252317996,11,45,0.24272683943417359,655,130,none,0.2817689035946918,1.6106859256650085e-07,mean,0.9602676782435813,2,False,COMPLETE
19,269.6525785911358,0.7838056369103203,False,True,False,True,True,True,False,True,False,True,large,1.0,0.011729205853366217,16,81,0.1543628870279867,790,100,small,5.0545950792029863e-05,0.019259048134348786,None,0.7057689683255651,6,True,COMPLETE
