Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,6
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,capacity
lags_target,
n_estimators,392
learning_rate,0.1446772390596816
num_leaves,126
max_depth,11
min_child_samples,98
subsample,0.9975322876262326
colsample_bytree,0.6163472638159531
reg_alpha,0.00018150835247427984
reg_lambda,0.011479696704782345
min_split_gain,0.10614191424383948
