Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,distance_population
n_estimators,728
learning_rate,0.02891671532833874
num_leaves,144
max_depth,8
min_child_samples,86
subsample,0.7706171106996471
colsample_bytree,0.6967685245350393
reg_alpha,1.4952195304674243e-06
reg_lambda,0.8194340370322071
min_split_gain,0.4072456183595213
use_base_models_pred_intervals,False
cv_folds_base,40
