number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,702.874814389838,small,0.9865807297820061,True,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,0.0955291996314723,12,45,0.008393745692587717,794,21,small,3.6817253334341534e-07,5.963475842793303e-07,short,energy,0.5177819463747925,small,False,COMPLETE
1,693.221744888167,none,0.9872088754861033,False,True,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,0.15695956793741206,3,44,0.4499736050920991,446,59,none,0.0005395399310504739,6.127041165483468e-05,long,mean,0.8732620392697172,medium,False,COMPLETE
2,670.1874099318755,medium,0.8160834075485928,True,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,0.0724453656323531,16,57,0.060354077237966486,902,32,small,1.7431646061212877e-08,0.0013689955352463117,none,idw,0.9361991404849296,medium,False,COMPLETE
3,677.1204582386138,small,0.5517443149114489,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True,0.24290044510081668,15,45,0.13936113319517202,593,134,medium,0.14219371313849713,2.1153098299472567e-07,short,idw,0.8003483281221624,small,True,COMPLETE
4,696.7878469519856,none,0.9863700161280886,False,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,0.1839827696129213,9,15,0.08313434257596553,550,38,small,0.008311237637916222,6.672594118678051e-07,none,distance_energy,0.7126814188149131,small,False,COMPLETE
5,724.9681851496321,none,0.654919929488307,False,False,False,False,True,False,False,True,True,True,True,True,True,True,False,True,False,0.044805891439844675,14,8,0.10608552982950892,804,115,medium,3.0567665646520337e-07,0.0016603046759870942,short,population,0.8397841937442645,none,False,COMPLETE
6,749.0262506541341,medium,0.9403143065715709,True,False,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,0.022723722686173595,3,73,0.131966294025471,789,117,medium,0.03678390127236456,2.457466050228054e-06,short,mean,0.8171184641888297,medium,True,COMPLETE
7,718.505302749982,medium,0.9161650930757061,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,False,True,0.14709403239536667,5,35,0.4994173338108819,410,35,none,0.0009027759731346951,0.2211025086742174,long,distance_energy,0.8751074245616177,small,True,COMPLETE
8,682.7405336317825,none,0.7096446454804513,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,0.01993826116022935,4,60,0.07231468505156485,912,69,medium,0.015362675622075044,4.261204942861478e-08,long,idw,0.7521356883743626,small,True,COMPLETE
9,687.0369973738094,small,0.5628690119111877,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,0.016992854892638812,7,91,0.3585270735686601,699,64,small,1.2265545115792363e-05,0.03417954246968358,long,idw,0.625499504063797,small,False,COMPLETE
10,666.590084090115,medium,0.8349329622309353,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.05446780862320876,16,99,0.24219391050039535,974,12,small,1.5988192620936735e-08,0.00022477649759947732,none,None,0.9668283099043653,medium,False,COMPLETE
11,657.5136433507324,medium,0.8434814967078537,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.051784842024994435,16,100,0.26196555645177816,988,12,small,1.3645026073785509e-08,0.00042468110438869327,none,None,0.9819239399632249,medium,False,COMPLETE
12,682.6050016408208,medium,0.81511480129638,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.04075677708475606,12,97,0.25188888422504985,995,10,small,2.2808500458469396e-08,4.469208789237645e-05,none,None,0.9998563884322798,medium,False,COMPLETE
13,659.2617356735797,medium,0.8389873010009421,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.032788589259989,13,82,0.25158693332655124,983,93,small,3.526496004964435e-06,0.001600234831468951,none,None,0.9708818364797936,medium,False,COMPLETE
14,651.368260790246,medium,0.8736314541638504,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.010651926889446777,13,78,0.2602902640190734,879,89,small,1.8378217468916304e-05,0.013427856924042537,none,None,0.9197922357643601,none,False,COMPLETE
15,605.1929897228147,medium,0.7531644376152585,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.014193685696565726,11,75,0.3441096673927101,864,87,small,2.0712833088987594e-05,0.06307093067890458,none,distance_population,0.9203837719302078,none,False,COMPLETE
16,619.0841162335744,medium,0.7332351900299903,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.010192689316080793,10,70,0.33504130570336393,689,89,none,5.2166338386044515e-05,0.827135887342757,none,distance_population,0.9073834679605519,none,False,COMPLETE
17,619.2338579881601,medium,0.7426589043129567,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.010338556650035823,10,63,0.34951782030030504,690,105,none,0.0001626062255015311,0.7542412348714023,none,distance_population,0.6731854307456622,none,False,COMPLETE
18,655.7859394020846,medium,0.6387701960892546,False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,0.014296481221854835,10,70,0.36029295743840856,524,77,none,4.1630884001956874e-05,0.06609059308108553,none,distance_population,0.9047025628333236,none,True,COMPLETE
19,603.8749351240685,small,0.6967685245350393,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.02891671532833874,8,86,0.4072456183595213,728,144,none,1.4952195304674243e-06,0.8194340370322071,none,distance_population,0.7706171106996471,none,False,COMPLETE
