number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,224.18041957116057,large,0.9588719687502314,True,False,True,False,False,False,False,False,True,False,False,0.019546161148820105,6,74,0.38125928127165765,818,107,none,0.22292895623188913,5.875319032336467e-07,medium,n_panels,0.5667676200078292,True,True,False,COMPLETE
1,238.8393742048636,none,0.5507125351726108,False,True,True,False,True,False,True,True,True,True,False,0.26505139205813166,11,19,0.07069334021520651,387,101,large,7.790601286490852e-08,0.5759976388088457,large,capacity,0.7990033370246995,True,False,False,COMPLETE
2,233.5759802763511,small,0.5805235619119855,True,False,False,False,False,False,False,False,False,False,True,0.26120380604445204,6,45,0.23410350631079613,561,149,none,0.0007863782721197316,1.2385936670514117e-07,none,distance_n_panels,0.9461373423334767,True,False,False,COMPLETE
3,219.56407022434746,large,0.7378670446163416,False,False,True,False,False,True,False,True,True,True,True,0.056891190926723165,7,67,0.3774318455546462,845,115,large,0.2282610887979181,0.001723531299410564,none,distance_capacity,0.594025692563475,True,True,False,COMPLETE
4,218.69062123263356,small,0.6375382405522507,False,True,False,False,True,True,False,True,False,True,False,0.19027726624823166,5,55,0.19123034751631668,591,24,none,0.10344975155642071,0.38204311439996375,large,mean,0.5457588636596624,False,False,True,COMPLETE
5,225.88317158942107,small,0.602872071639515,True,False,False,True,True,False,True,True,True,True,False,0.05199281916834837,16,72,0.08765551392110438,887,37,none,0.0005365968289288861,0.35198955038509133,none,max,0.5208095788681955,True,True,True,COMPLETE
6,245.7551769249785,small,0.9265052848042177,True,True,True,True,True,True,True,False,True,True,True,0.2761851221380647,13,93,0.06280599148390104,714,128,small,0.00021450523760682352,0.6569418931763853,medium,mean,0.8874398220603298,True,True,False,COMPLETE
7,227.7540001337585,large,0.8397602352587245,False,True,False,True,False,True,False,True,True,True,False,0.01364420865538555,5,11,0.07642363502966687,544,57,small,0.00010793168810636432,1.4877499059924621e-07,large,capacity,0.8768328877586624,False,True,False,COMPLETE
8,236.45281120093838,large,0.7281746720110549,True,True,False,True,True,False,True,True,True,True,False,0.018103881341249337,13,28,0.19573148711627614,790,68,small,5.743121296759657e-08,0.0029409318816077824,small,None,0.8629048229286462,False,False,True,COMPLETE
9,229.5864326025579,large,0.7849015976686535,True,False,True,True,True,True,False,True,True,True,True,0.015313430503387742,10,17,0.1865524739954758,672,35,large,6.944690818372173e-05,6.443442854763694e-05,large,distance_n_panels,0.610921489897938,False,True,True,COMPLETE
10,225.5831967254937,medium,0.6581727137829718,False,True,False,False,True,True,False,False,False,False,False,0.11635261431830707,3,43,0.4799905756855976,987,21,none,0.01615344111675046,2.2610087679485077e-05,small,idw,0.7006297338400518,False,False,True,COMPLETE
11,223.82541353636634,none,0.6925331010224595,False,False,True,False,False,True,False,True,False,True,True,0.08193038392162982,8,68,0.34307544045556626,492,88,large,0.4666287322323733,0.008341470363692642,none,distance_capacity,0.6575669145341397,False,False,True,COMPLETE
12,224.5071201824599,medium,0.503724549892114,False,False,False,False,False,True,False,True,False,True,True,0.03838002906600106,3,60,0.3409970092838592,325,12,large,0.017277360108416098,0.00651979598654199,large,distance_capacity,0.5083447119245694,True,False,True,COMPLETE
13,228.12088835522084,small,0.8111085799365853,False,True,True,False,False,True,False,True,False,True,True,0.140815663637325,8,92,0.4450122452008532,996,124,none,0.020377778664810376,0.0006983346816465679,none,mean,0.6188852668075758,False,True,False,COMPLETE
14,214.37331633495555,large,0.6462833717731246,False,True,False,False,True,True,False,True,False,False,False,0.03630215984638831,8,52,0.28211673724408765,615,60,large,3.05721738229201e-06,0.04029299835878321,large,mean,0.7213452341032598,True,True,False,COMPLETE
15,220.77502522453372,small,0.624772236783582,False,True,False,False,True,True,False,True,False,False,False,0.0303420269553632,4,36,0.27741123866454137,576,48,large,1.8054210385936955e-06,0.11520979025445423,large,mean,0.7704947149178801,False,False,True,COMPLETE
16,223.9119529092361,medium,0.6766101668339463,False,True,False,False,True,True,False,True,False,False,False,0.02654445867566915,9,53,0.13419157578395788,636,73,none,4.895987426606485e-06,0.04138770905107891,large,mean,0.7289135280084511,False,True,False,COMPLETE
17,227.46748296799547,none,0.8785484434350934,False,True,False,False,True,True,False,True,False,False,False,0.010332572875884146,11,55,0.005801006344606063,448,31,large,3.889329036803966e-06,0.030461516941358433,large,mean,0.6621572856493821,True,False,True,COMPLETE
18,230.5183923715036,small,0.5217377362961819,False,True,False,False,True,True,True,False,False,False,False,0.12904383249796303,5,82,0.28266129618086466,739,56,none,5.592126506816961e-07,5.187437133566433e-06,large,idw,0.8252923572553672,False,True,False,COMPLETE
19,239.02161498880847,large,0.6265496752290306,False,True,False,False,True,True,False,True,False,False,False,0.07443698908799493,7,39,0.16243959843345046,616,92,small,2.3096323428012352e-05,1.0390741431267512e-08,medium,None,0.6948836012899605,True,False,True,COMPLETE
