Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,large
shortwave_lags_option,large
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,mean
n_estimators,615
learning_rate,0.03630215984638831
num_leaves,60
max_depth,8
min_child_samples,52
subsample,0.7213452341032598
colsample_bytree,0.6462833717731246
reg_alpha,3.05721738229201e-06
reg_lambda,0.04029299835878321
min_split_gain,0.28211673724408765
use_base_models_pred_intervals,False
cv_folds_base,40
