number,value,params_alpha,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_l1_ratio,params_lags_option,params_lags_target,params_spatial_method,params_turbulence_window,state
0,3963.5987394334093,0.00013201217460744424,False,False,True,True,False,True,True,4.060128309546367e-05,large,12.0,idw-c,,COMPLETE
1,2656.0565478446615,0.007939896289868789,False,False,True,True,True,False,False,1.5915803831245438e-05,none,6.0,idw-wc-n,,COMPLETE
2,3269.968234061887,0.0043499511153425015,False,True,True,False,False,True,True,6.090792639181565e-05,none,12.0,mean,2.0,COMPLETE
3,2027.1101180219569,0.0850596245310385,True,True,True,False,False,False,True,1.838660774567964e-05,small,1.0,cluster,3.0,COMPLETE
4,2039.5782390959212,0.00018592725414240526,True,False,True,False,True,True,False,0.0016845644097855533,large,12.0,mean,,COMPLETE
5,3416.786461812917,0.0015343088542486847,False,False,True,True,True,True,False,0.00029956454861694576,large,12.0,idw-c,,COMPLETE
6,2804.882286369599,1.4833540016842169e-06,False,True,True,True,True,False,True,0.00012982517286259346,small,6.0,idw-c,2.0,COMPLETE
7,2702.7111498866084,1.099413375685174e-06,False,True,False,False,True,False,False,0.05235887721941244,large,1.0,idw-c,6.0,COMPLETE
8,1840.8870131602544,7.424294186955123e-06,True,False,True,False,False,True,False,0.0003515448704808009,large,12.0,idw-c,,COMPLETE
9,3660.2297337386576,9.891404044410712e-06,False,False,True,True,True,False,False,0.001885325202932539,small,1.0,max,,COMPLETE
10,5023.942750407993,0.7165290431496271,True,False,False,False,False,True,False,0.7642508593794165,large,,idw-wc-c,,COMPLETE
11,2852.291818961763,0.13802017886945508,True,True,False,False,False,False,True,1.0748931650965424e-05,small,1.0,cluster,4.0,COMPLETE
12,1829.9460727102949,0.03382085512289913,True,True,True,False,False,True,True,0.000528474177965715,small,,cluster,4.0,COMPLETE
13,1835.968907042016,3.0937620841492086e-05,True,True,True,False,False,True,True,0.01240748926393818,small,,cluster,6.0,COMPLETE
14,3944.798795807336,0.00013209299974411472,True,True,False,False,False,True,True,0.023591810384994215,small,,cluster,6.0,COMPLETE
15,1830.3564392599376,0.02263068963774355,True,True,True,False,False,True,True,0.021587532307262007,small,,cluster,5.0,COMPLETE
16,1829.9460727102949,0.025401660477190533,True,True,True,False,False,True,True,0.13713972948102274,small,,cluster,4.0,COMPLETE
17,1829.816646651999,0.7693961594965435,True,True,True,False,False,True,True,0.6671206961424108,small,,idw-wc-c,4.0,COMPLETE
18,3880.0139918783366,0.5412842046615638,True,True,False,False,False,True,True,0.7165054260020655,none,,idw-wc-c,4.0,COMPLETE
19,1840.9943016384386,0.16166590043063034,True,True,True,False,False,True,True,0.005293528104440868,small,,idw-wc-c,3.0,COMPLETE
20,1824.0531281421736,0.8599821187350174,True,True,True,False,False,True,True,0.0005313834067501408,small,,idw-wc-n,5.0,COMPLETE
21,1824.0531281421736,0.795663911098659,True,True,True,False,False,True,True,0.0005687042758166848,small,,idw-wc-n,5.0,COMPLETE
22,1824.0531281421736,0.950474241446352,True,True,True,False,False,True,True,0.0009083091686392185,small,,idw-wc-n,5.0,COMPLETE
