Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,2
lags_choice,small
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,distance_capacity
lags_target,6
l1_ratio,0.985751677730444
alpha,0.8537035265964126
