number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,2973.6778141738746,medium,0.8421924341177153,False,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,6.0,0.08057813261395178,4,8,357,none,0.009142707922120154,0.027398729026219124,long,None,0.8246202171159347,small,COMPLETE
1,3683.0747788481026,none,0.5602273519387516,False,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,12.0,0.049307228430132015,3,6,324,none,2.534463680832065e-08,0.02226117561891244,short,distance_population,0.9731754351572386,medium,COMPLETE
2,4445.836877690876,small,0.7432218948945807,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,False,False,,0.2645758748922551,8,2,653,none,2.4847892426706257e-06,3.174981827049659e-07,short,idw,0.7210967267417018,small,COMPLETE
3,3509.755328785873,small,0.9736365683043673,False,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,1.0,0.1879944793076336,6,2,804,medium,0.0009957320386343616,0.00018143393735145925,none,idw,0.9857309123852735,none,COMPLETE
4,2941.7360845396743,none,0.9396332623867305,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,6.0,0.12361905419526435,6,4,715,small,2.0056419469690097e-06,0.2366804583964041,long,energy,0.9163762535563262,none,COMPLETE
5,4268.458663175476,medium,0.7896317251104332,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,6.0,0.013592825780138604,8,4,705,medium,8.714430248219181e-08,0.0009631613432657937,none,idw,0.5236601190366423,small,COMPLETE
6,3120.344747359263,small,0.5945425283149814,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,True,6.0,0.053657596757869054,4,7,326,medium,0.00022290302123903683,0.008191093876661617,none,distance_energy,0.6363015189190502,none,COMPLETE
7,3350.06660311132,small,0.8547256840011709,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,,0.03865801307889487,9,8,850,medium,0.0009167026206298777,4.6284667012329595e-07,short,distance_energy,0.5386341406280458,small,COMPLETE
8,3886.697105171895,medium,0.6168847738251231,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,6.0,0.09390288612967793,6,9,714,small,0.00042720462034440826,6.393276592112578e-08,long,idw,0.8588291217276178,none,COMPLETE
9,4724.24730242692,medium,0.9788960953412764,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,True,12.0,0.07060171672790916,9,9,852,none,0.0013407229530943774,0.04063644979358826,short,idw,0.6280922192343306,small,COMPLETE
10,3037.596618290596,none,0.7044957875018703,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,1.0,0.020717229626079775,5,4,509,small,0.802663028067292,0.6597277623369786,long,energy,0.8800691248435885,medium,COMPLETE
11,3042.609042073633,none,0.8853044647404086,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,6.0,0.12572364716124548,4,5,999,small,0.14356916235167502,0.5385756240835189,long,None,0.837348528043088,none,COMPLETE
12,3376.6436262092175,medium,0.8798562031482998,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,6.0,0.13393754760286936,7,10,510,small,5.496535487592722e-06,5.050505545067183e-06,long,None,0.7768467754198578,small,COMPLETE
13,3443.801077524999,none,0.9210807817080562,True,True,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,6.0,0.03554383523529064,5,6,495,none,0.02561998899241615,0.0016741535494511682,long,energy,0.9338603666558977,none,COMPLETE
14,3579.7376102212324,medium,0.8189140766804525,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,6.0,0.08298983010162417,3,4,434,small,5.9744889819712434e-06,0.15237913148652765,long,max,0.728919366974266,medium,COMPLETE
15,3718.0610802411866,none,0.7047768992968405,True,True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,6.0,0.17579207682626088,5,7,579,none,0.0076380469860677855,4.040178551334696e-05,long,mean,0.7979154805758064,small,COMPLETE
16,3507.8094448660795,medium,0.9340050855422874,True,False,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,12.0,0.11427933537557323,7,1,953,none,4.595158760842866e-07,0.004256412343459322,long,population,0.8962924506253629,none,COMPLETE
17,2827.672516424116,none,0.9995798299534652,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,1.0,0.025599992281227012,4,3,405,small,3.55163728014352e-05,0.10850982631768466,long,None,0.9277019751424131,none,COMPLETE
18,2813.304481550378,none,0.992498110562657,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.01901453900853546,10,3,591,small,4.84630597277569e-05,0.00015238479366066443,long,energy,0.9288401290376053,none,COMPLETE
19,4252.939938020852,none,0.9864550085493311,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,1.0,0.011154469463212054,10,2,411,small,1.6328291742871977e-05,1.1434838097175323e-05,none,population,0.9960737946097877,none,COMPLETE
20,3252.615146248592,none,0.9915994222516402,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.022871576675970465,10,3,565,small,6.075385806166554e-05,0.000269743483700044,long,max,0.6739033081058609,none,COMPLETE
21,2640.1841699529227,none,0.9268882143798788,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.022833747229054402,6,3,758,small,5.9488824994373e-07,0.09750906625334792,long,energy,0.9172287013880085,none,COMPLETE
22,2700.7877255408166,none,0.9113906446387102,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.019173183654333816,8,1,771,small,3.313663870804983e-05,0.11561021391258626,long,energy,0.9369886444225807,none,COMPLETE
23,2783.3509201038855,none,0.9062601474645481,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.01599267548732532,9,1,786,small,2.5116862681064106e-07,0.006177105269466704,long,energy,0.9493684636635112,none,COMPLETE
24,2647.6765415916284,none,0.9016569283486181,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.014619439679634317,8,1,800,small,2.1661846027818432e-07,0.00600872249895849,long,energy,0.9516584336878748,none,COMPLETE
25,2747.944488122828,none,0.8128083223673238,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.0281182235373529,8,1,884,small,1.1006003439602343e-08,0.058597043490897435,long,energy,0.8756700931724349,none,COMPLETE
26,2676.022236184214,none,0.7603780988910643,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.013748886836106946,7,2,777,small,5.938789862526194e-07,0.8970249975788473,long,energy,0.9666991606042072,medium,COMPLETE
27,3562.9619618788724,none,0.7563012677303975,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.010899784137499096,7,2,908,small,5.862255362175442e-07,0.8091353581494375,long,distance_population,0.999222690326114,medium,COMPLETE
28,3230.967874586548,none,0.6464064833286861,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,,0.014244572442111494,7,3,672,small,1.026528656791722e-07,0.0012735008582750928,short,mean,0.9557624960743694,medium,COMPLETE
29,2938.9972659242,none,0.8490596580828098,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.030452317077782464,6,5,759,small,8.050475801289133e-08,0.015097514628726492,none,energy,0.8158512128549797,medium,COMPLETE
30,2753.1403704406075,small,0.7721844571307087,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.016840288649575177,7,2,832,medium,1.2969677492851403e-06,0.03258320740027714,long,energy,0.8505360751799295,medium,COMPLETE
31,2714.5030268569994,none,0.8920755952862286,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,1.0,0.01369481803217892,8,1,747,small,9.905662402695469e-06,0.1600976091424826,long,energy,0.9074490932626403,none,COMPLETE
32,2657.072304044064,none,0.8550425618864492,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.01050063772049703,8,1,808,small,3.823443524061222e-08,0.9433463054372743,long,energy,0.9676442375256861,medium,COMPLETE
33,3487.16069511082,none,0.8222492225601037,True,True,False,False,False,True,False,False,True,True,False,False,False,False,True,True,True,1.0,0.010552453944760152,9,2,909,small,1.720260370156104e-08,0.3524836770982212,long,distance_population,0.9667618747403952,medium,COMPLETE
34,2555.040456031687,none,0.5164492460891805,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.012076383023054622,8,1,822,small,3.423459380153031e-08,0.0225799020077067,short,energy,0.9678632118180397,medium,COMPLETE
35,2575.2400080770335,none,0.5295124301646029,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.010438591136032972,8,1,825,small,4.4979530939045037e-08,0.014468893714624042,short,energy,0.902759266311852,medium,COMPLETE
36,3016.012749810266,none,0.5296274057331783,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.012332675901788381,9,3,646,small,3.639498084743744e-08,0.00048635224121150385,short,energy,0.8950435968066972,medium,COMPLETE
37,2290.863279568905,small,0.5647702436944673,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.016948237014558724,6,1,886,medium,1.6080971947078823e-07,0.0030543601577602947,short,distance_energy,0.7638687065794088,medium,COMPLETE
38,2615.063478972909,small,0.5101783024065969,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.0448832382436564,6,2,960,medium,1.2069421653869818e-07,0.01837459959326335,short,distance_energy,0.7684702996087702,medium,COMPLETE
39,2451.1050785258703,small,0.5016852022510359,True,True,False,False,True,True,False,False,True,True,False,False,False,False,True,True,True,12.0,0.04778509101303426,5,2,966,medium,7.931095570233644e-08,0.002397748746962416,short,distance_energy,0.7520293221176313,medium,COMPLETE
40,2569.2601443938433,small,0.5559014603530354,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,12.0,0.06858498176452298,5,1,991,medium,3.773899937816434e-08,0.0027519784084342135,short,distance_energy,0.5705984326831113,medium,COMPLETE
41,2898.8609248600746,small,0.5637224841852428,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,12.0,0.0671302199595162,5,1,990,medium,3.866760178998926e-08,0.0023444356099021355,short,distance_energy,0.690677008391976,medium,COMPLETE
42,2665.811341232636,small,0.5428208294734985,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,12.0,0.06168529703861112,5,2,939,medium,1.3586242686924754e-08,0.0007722617874049125,short,distance_energy,0.6174480721262576,medium,COMPLETE
43,2687.438022798566,small,0.5804977966615121,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,12.0,0.050027712449175844,5,1,884,medium,5.0572777802545524e-08,0.011898552805464918,short,distance_energy,0.5782587372519543,medium,COMPLETE
44,2700.421705710068,small,0.5011331587921569,True,True,False,False,True,True,False,False,True,True,False,True,True,False,True,True,True,12.0,0.09937434918810135,4,2,921,medium,1.8918141806649484e-06,4.7173333993372696e-05,short,distance_energy,0.73790651360702,medium,COMPLETE
45,2692.831928020388,small,0.6234667285063487,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,12.0,0.2624664046262754,3,1,856,medium,1.8875014971495447e-07,0.0036758023069814543,short,distance_energy,0.7048505589484518,medium,COMPLETE
46,2338.187529759798,small,0.532818108189279,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,12.0,0.043439652824647415,6,2,971,medium,1.0154968060849911e-08,0.0003823860750448851,short,distance_energy,0.6675508925737372,medium,COMPLETE
47,2622.0935860010964,small,0.5963546454726604,True,False,False,False,True,False,True,False,True,True,False,True,True,True,True,True,False,12.0,0.03767794481668387,6,3,978,medium,2.0682246375733425e-08,6.681629521218032e-05,short,distance_energy,0.6591160555157183,medium,COMPLETE
48,2497.234605511956,small,0.5549384502378398,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.05898752696632492,5,4,876,medium,8.549640077662706e-08,0.0003059477407401685,short,distance_energy,0.5075104042296871,medium,COMPLETE
49,2802.884006183442,small,0.65155285427233,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.04652878512921719,6,5,876,medium,1.0490045475318338e-08,1.877408129022487e-05,short,distance_energy,0.5265829850473283,small,COMPLETE
50,3473.355240619978,small,0.5206585616497732,False,False,False,False,True,False,True,True,True,True,False,True,True,True,True,True,False,,0.055553493437862325,5,4,931,medium,1.1437739339959057e-06,0.0004485145446581666,short,distance_energy,0.7593975562732531,medium,COMPLETE
51,2995.439546771253,small,0.5507136417694557,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.07986110755685337,5,4,964,medium,1.008192137165982e-07,0.00020084514494765463,short,distance_energy,0.5673612688052974,medium,COMPLETE
52,2819.6937881692934,small,0.5728633175298302,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.03299456991433864,4,2,993,medium,2.4443282841315034e-07,0.0016845966616300036,short,distance_energy,0.5038444965496763,medium,COMPLETE
53,2976.616796840032,small,0.5983836769017549,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.04067797050575075,6,7,952,medium,2.3489285778330804e-08,0.0006783654380274207,short,idw,0.5996449197507554,medium,COMPLETE
54,2498.3421878307754,small,0.545223953368972,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.07868385132302064,5,2,897,medium,6.070205593094313e-08,0.0028725811194093153,short,distance_energy,0.5513903103664148,medium,COMPLETE
55,2659.8711040248436,small,0.5356161266978577,True,False,False,False,True,False,False,True,True,True,False,True,True,False,True,True,False,12.0,0.05707063891317596,6,3,891,medium,8.303670126633321e-08,7.35429395388327e-07,short,max,0.5421228792397955,medium,COMPLETE
56,2695.3027443461397,small,0.5066700638747932,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,False,12.0,0.08152126324857326,5,6,838,none,3.9189320185955904e-07,0.00030710619022601893,short,population,0.5064169448886945,small,COMPLETE
57,2918.8652520672767,medium,0.6176182039568293,True,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,12.0,0.0961328833780559,4,2,865,medium,3.832722877699311e-06,0.00014093041810228738,none,distance_energy,0.7953096370791759,medium,COMPLETE
58,3108.0500599492593,small,0.5797524732064779,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,12.0,0.14455011591274142,6,4,906,medium,1.827655412392555e-07,0.007295406071330844,short,mean,0.5519435977680534,medium,COMPLETE
59,2922.5025038701383,small,0.6987024906586301,True,False,True,False,True,False,False,True,True,False,False,True,True,False,True,True,False,,0.04238254696518965,5,2,932,medium,6.399186539861322e-08,2.581431956648539e-08,short,None,0.6518154308483733,medium,COMPLETE
60,3003.7843832620238,small,0.519683824725551,True,False,False,True,True,False,False,True,True,True,False,True,True,False,True,False,False,12.0,0.11419692885408819,4,3,858,medium,0.0001583052073717326,9.928160313322504e-05,short,distance_energy,0.7084576797543944,medium,COMPLETE
61,2731.678450678732,small,0.5533434034272602,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,12.0,0.07501376731940539,5,1,960,medium,2.2739371336894684e-08,0.0027374786378950677,short,distance_energy,0.5856667195506412,medium,COMPLETE
62,2437.4300881323775,small,0.5562757740823965,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,12.0,0.06632356557776331,5,1,998,medium,1.0345995813857713e-08,0.001141532293388261,short,distance_energy,0.6112717327168607,medium,COMPLETE
63,2483.770606505547,small,0.5429403512024198,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,12.0,0.05963698838770232,6,2,901,medium,1.2638632523663576e-08,0.00141131903133873,short,distance_energy,0.6005698156568956,medium,COMPLETE
64,2423.6762064759873,small,0.5408281029627208,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,12.0,0.05150656893536135,6,2,974,medium,1.0062238129405377e-08,0.0009509942212667376,short,distance_energy,0.6110424424381183,medium,COMPLETE
65,2997.2300213905387,small,0.6361515033893672,True,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True,False,12.0,0.05003451717173244,6,3,974,medium,1.1647888827179622e-08,0.0010358958231369583,none,distance_energy,0.6184498990842052,small,COMPLETE
66,2798.930909499673,small,0.6002139927033339,False,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,False,12.0,0.060541765034403235,6,2,939,medium,1.9808384293056947e-08,0.0003464905583063656,short,distance_energy,0.5957857143916386,medium,COMPLETE
67,3431.1425939886217,small,0.5765854140848822,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True,False,6.0,0.06411214542448027,7,10,949,none,1.0243052729636617e-08,0.0013008846377585957,short,distance_population,0.6414258891191903,medium,COMPLETE
68,2331.1857210685434,medium,0.9559047430035171,True,False,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,12.0,0.05293101070955013,6,2,918,medium,1.2640420129920972e-07,0.0006936545439801839,short,distance_energy,0.6707392500018245,medium,COMPLETE
69,3623.835227835761,medium,0.6625518932914336,True,False,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,12.0,0.03500566008587251,6,2,999,medium,9.57319395489161e-07,0.0006864800182710202,short,idw,0.7439360394918882,medium,COMPLETE
