Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,none
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,energy
lags_target,12
n_estimators,576
learning_rate,0.20757269125588762
max_depth,7
min_child_weight,7
subsample,0.8352606881863178
colsample_bytree,0.9030097522311885
reg_alpha,0.007132867870332764
reg_lambda,0.9292253493219509
