date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2024-12-15 08:00:00+00:00,11551.999999999995,8809.863,5918.323545451897,13114.139610041893
2024-12-15 09:00:00+00:00,11288.0,8463.218,5685.45104901106,12598.128208129254
2024-12-15 10:00:00+00:00,11281.500000000005,7951.897,5341.952895534354,11836.98652571098
2024-12-15 11:00:00+00:00,11199.000000000011,9022.513,6061.176277684075,13430.680376997212
2024-12-15 12:00:00+00:00,11484.999999999998,8707.997,5849.890405049948,12962.501777082674
2024-12-15 13:00:00+00:00,11741.750000000007,9408.891,6320.738795661428,14005.832964067535
2024-12-15 14:00:00+00:00,12625.49999999999,10324.528,6935.8463895420955,15368.821452174043
2024-12-15 15:00:00+00:00,13988.250000000007,12219.872,8209.113504426594,18190.195203916108
2024-12-15 16:00:00+00:00,15031.74999999999,13236.633,8892.15432321623,19703.71378534616
2024-12-15 17:00:00+00:00,15455.749999999985,13883.211,9326.515603169244,20666.194870191954
2024-12-15 18:00:00+00:00,15479.249999999989,13991.968,9399.57814098257,20828.090770912582
2024-12-15 19:00:00+00:00,15314.49999999999,15188.078,10203.097757489857,22608.572751890442
2024-12-15 20:00:00+00:00,15154.999999999984,13755.757,9240.894772910922,20476.47162966431
2024-12-15 21:00:00+00:00,14877.999999999987,13699.491,9203.091016441615,20392.704032926013
2024-12-15 22:00:00+00:00,15010.500000000015,13730.21,9223.732142827279,20438.441750888032
2024-12-15 23:00:00+00:00,14641.499999999985,13907.773,9343.018602866781,20702.763104482572
2024-12-16 00:00:00+00:00,14904.25000000001,13028.342,8752.231928410294,19393.666217658712
2024-12-16 01:00:00+00:00,15141.999999999996,12701.267,8532.503356129931,18906.77982980455
2024-12-16 02:00:00+00:00,15117.250000000011,13693.581,9199.126105534137,20383.91837009725
2024-12-16 03:00:00+00:00,14846.0,13723.443,9219.18625254492,20428.36872271428
2024-12-16 04:00:00+00:00,15446.25,13778.823,9256.392640633207,20510.81263846633
2024-12-16 05:00:00+00:00,15494.500000000007,14370.619,9653.947004729816,21391.734979615827
2024-12-16 06:00:00+00:00,15384.249999999989,13470.6875,9049.38318562008,20052.109954709827
2024-12-16 07:00:00+00:00,14945.750000000004,13994.072,9400.991849034872,20831.22334124662
2024-12-16 08:00:00+00:00,14482.999999999989,13281.297,8922.153987436812,19770.188654761663
2024-12-16 09:00:00+00:00,14472.25000000001,12926.379,8683.727191444876,19241.86973718355
2024-12-16 10:00:00+00:00,14540.750000000004,13429.265,9021.556117235496,19990.4492399938
2024-12-16 11:00:00+00:00,14675.999999999989,13365.63,8978.811838484928,19895.734168274546
2024-12-16 12:00:00+00:00,14877.50000000001,13198.784,8866.727308446663,19647.37123850944
2024-12-16 13:00:00+00:00,14660.249999999984,13333.18,8957.01649999398,19847.43888505407
2024-12-16 14:00:00+00:00,14712.499999999996,12700.472,8531.967786052635,18905.59308482334
2024-12-16 15:00:00+00:00,14558.999999999998,13147.482,8832.26823440227,19571.014968971285
2024-12-16 16:00:00+00:00,14531.500000000013,12594.09,8460.504615113632,18747.241147239645
2024-12-16 17:00:00+00:00,14652.000000000004,12841.362,8626.616393215483,19115.32055894605
2024-12-16 18:00:00+00:00,14798.749999999984,13628.365,9155.311674221452,20286.83199677616
2024-12-16 19:00:00+00:00,15036.24999999999,12525.168,8414.201656920573,18644.64056221966
2024-12-16 20:00:00+00:00,15035.500000000002,13578.956,9122.118102239845,20213.279894769716
2024-12-16 21:00:00+00:00,14624.000000000004,14554.067,9777.18066498912,21664.802751744883
2024-12-16 22:00:00+00:00,14456.0,14029.949,9425.09264240624,20884.627175382633
2024-12-16 23:00:00+00:00,14046.250000000007,12990.761,8726.979381181665,19337.710265382393
2024-12-17 00:00:00+00:00,13642.250000000013,12507.784,8402.526165243733,18618.76937983331
2024-12-17 01:00:00+00:00,13263.249999999998,11553.388,7761.3787136298715,17198.080374491496
2024-12-17 02:00:00+00:00,13083.000000000004,11155.308,7493.952028851657,16605.501943674877
2024-12-17 03:00:00+00:00,12656.000000000005,11155.308,7493.952028851657,16605.501943674877
2024-12-17 04:00:00+00:00,12416.499999999995,10637.153,7145.869141434997,15834.201161217266
2024-12-17 05:00:00+00:00,12415.750000000002,10757.246,7226.545484647506,16012.96814142545
2024-12-17 06:00:00+00:00,12316.00000000001,11035.302,7413.339474486348,16426.876310224965
2024-12-17 07:00:00+00:00,11961.500000000004,10963.421,7365.050235116944,16319.87441654866
2024-12-17 08:00:00+00:00,11499.000000000002,10393.511,6982.188000822748,15471.507686784375
2024-12-17 09:00:00+00:00,11335.749999999995,9691.757,6510.763536287221,14426.90000421634
2024-12-17 10:00:00+00:00,11385.24999999999,9697.308,6514.491370413245,14435.160339562353
2024-12-17 11:00:00+00:00,11067.74999999999,8978.34,6031.501791183355,13364.926053861996
2024-12-17 12:00:00+00:00,10415.249999999993,8457.375,5681.527574576757,12589.434362466258
2024-12-17 13:00:00+00:00,9439.250000000002,9129.723,6133.198043599317,13590.270079371492
2024-12-17 14:00:00+00:00,8275.500000000002,8476.051,5694.072439586026,12617.23194903907
2024-12-17 15:00:00+00:00,7451.75,7980.4497,5361.135915299899,11879.49329260456
2024-12-17 16:00:00+00:00,7056.500000000003,6888.1836,4627.368370323547,10253.571703116022
2024-12-17 17:00:00+00:00,6664.500000000003,7114.6226,4779.4876538793005,10590.645792865784
2024-12-17 18:00:00+00:00,5792.249999999998,6169.0103,4144.240833520967,9183.031723606493
2024-12-17 19:00:00+00:00,4960.750000000001,5358.994,3600.0844984668993,7977.260850693471
2024-12-17 20:00:00+00:00,4424.0,5286.3013,3551.2506753647804,7869.052239093515
2024-12-17 21:00:00+00:00,4139.749999999998,5011.9775,3366.9652802899486,7460.702749488811
2024-12-17 22:00:00+00:00,4069.9999999999995,4073.766,2736.689249987936,6064.1032241742705
2024-12-17 23:00:00+00:00,4087.249999999998,2803.7751,1883.530464107916,4173.628102017067
2024-12-18 00:00:00+00:00,4398.499999999999,2999.627,2015.1008990513374,4465.168947857833
2024-12-18 01:00:00+00:00,4703.000000000001,5455.467,3664.892978693001,8120.86696669436
2024-12-18 02:00:00+00:00,5166.250000000002,5522.9976,3710.2594420691476,8221.392416132703
2024-12-18 03:00:00+00:00,6040.250000000003,5637.5796,3787.2347395039583,8391.958420057823
2024-12-18 04:00:00+00:00,6956.000000000004,5796.801,3894.195605296859,8628.968059028253
2024-12-18 05:00:00+00:00,7754.499999999996,7644.1953,5135.246660377171,11378.955732818931
2024-12-18 06:00:00+00:00,8699.750000000004,7980.38,5361.0889413824525,11879.389205271953
2024-12-18 07:00:00+00:00,9534.75,8001.551,5375.310388047301,11910.901851646719
2024-12-18 08:00:00+00:00,10007.00000000001,8118.1304,5453.625860810418,12084.437488141348
2024-12-18 09:00:00+00:00,10373.000000000002,8624.512,5793.806473961519,12838.2279862829
2024-12-18 10:00:00+00:00,10700.250000000011,9608.541,6454.859331111265,14303.024459759392
2024-12-18 11:00:00+00:00,11481.999999999998,9580.125,6435.772168140843,14260.73009750778
2024-12-18 12:00:00+00:00,12355.74999999999,11774.795,7910.11254764711,17527.652803078283
2024-12-18 13:00:00+00:00,13082.000000000004,12951.396,8700.533620730033,19279.110327073384
2024-12-18 14:00:00+00:00,13563.749999999995,11972.572,8042.976590174788,17822.060094176806
2024-12-18 15:00:00+00:00,13848.750000000011,11865.068,7970.755567949982,17662.028868955415
2024-12-18 16:00:00+00:00,14363.499999999996,12698.338,8530.531594745153,18902.410694883325
2024-12-18 17:00:00+00:00,14793.500000000011,12890.055,8659.324033719913,19187.79590785114
2024-12-18 18:00:00+00:00,14766.499999999996,14395.001,9670.326507606405,21428.02956300873
2024-12-18 19:00:00+00:00,14444.499999999987,13920.163,9351.340151402139,20721.20243927499
2024-12-18 20:00:00+00:00,13635.25000000001,14409.676,9680.179781715891,21449.862977707202
2024-12-18 21:00:00+00:00,12762.249999999993,13872.026,9319.001853526874,20649.545499631502
2024-12-18 22:00:00+00:00,11907.750000000004,12552.647,8432.666432276745,18685.555804522483
2024-12-18 23:00:00+00:00,11029.000000000004,10977.622,7374.590271882041,16341.01374309299
2024-12-19 00:00:00+00:00,10866.75,9960.459,6691.273024136141,14826.882635514841
2024-12-19 01:00:00+00:00,11200.250000000011,9361.237,6288.725737471314,13934.896708010381
2024-12-19 02:00:00+00:00,11688.749999999989,10519.604,7066.900403750702,15659.217985176561
2024-12-19 03:00:00+00:00,11860.25000000001,12051.798,8096.1990956120735,17939.993384126188
2024-12-19 04:00:00+00:00,12451.749999999998,12235.553,8219.642967568645,18213.52695463963
2024-12-19 05:00:00+00:00,13441.25000000001,13246.171,8898.558250935492,19717.90395280116
2024-12-19 06:00:00+00:00,14166.49999999999,13692.469,9198.37428683787,20382.25244979589
2024-12-19 07:00:00+00:00,14877.999999999987,13644.7295,9166.306902524251,20311.195814992534
2024-12-19 08:00:00+00:00,15321.999999999995,12718.235,8543.899227962593,18932.03141550171
2024-12-19 09:00:00+00:00,15251.499999999993,13919.032,9350.582608214096,20719.52383433688
2024-12-19 10:00:00+00:00,14852.749999999987,14025.683,9422.225709342416,20878.27447091101
2024-12-19 11:00:00+00:00,14255.250000000007,13177.773,8852.614252322395,19616.098769723925
2024-12-19 12:00:00+00:00,13618.25000000001,11721.214,7874.120339518261,17447.89933258112
2024-12-19 13:00:00+00:00,13087.249999999995,11192.247,7518.769056972354,16660.49284928886
2024-12-19 14:00:00+00:00,12829.749999999989,12671.013,8512.183866759573,18861.754812439256
2024-12-19 15:00:00+00:00,12834.000000000002,12929.573,8685.874096072808,19246.62696392249
2024-12-19 16:00:00+00:00,11468.249999999993,11055.579,7426.959610243118,16457.056539550056
2024-12-19 17:00:00+00:00,11009.250000000005,12313.422,8271.957330988409,18329.447934665106
2024-12-19 18:00:00+00:00,11070.50000000001,10994.448,7385.887641419801,16366.0470621075
2024-12-19 19:00:00+00:00,11623.000000000007,9339.058,6273.825326429312,13901.879575852805
2024-12-19 20:00:00+00:00,11673.25000000001,10322.534,6934.51153329071,15365.863605901255
2024-12-19 21:00:00+00:00,12431.250000000004,9674.448,6499.135383161025,14401.13371713646
2024-12-19 22:00:00+00:00,13206.499999999998,11446.53,7689.595118626237,17039.01842403241
2024-12-19 23:00:00+00:00,13279.749999999995,12095.384,8125.484480323988,18004.885514591177
2024-12-20 00:00:00+00:00,13057.250000000007,12405.509,8347.249069651807,18436.803954221366
2024-12-20 01:00:00+00:00,12953.749999999996,12246.654,8240.360003735002,18200.71506592863
2024-12-20 02:00:00+00:00,13172.499999999985,12405.346,8347.139962314654,18436.562965774963
2024-12-20 03:00:00+00:00,13396.999999999998,12182.576,8197.244435329452,18105.484496499776
2024-12-20 04:00:00+00:00,13565.499999999996,12205.953,8212.978380958912,18140.236505044864
2024-12-20 05:00:00+00:00,14083.999999999998,11740.869,7900.035102487493,17449.029878068544
2024-12-20 06:00:00+00:00,13891.499999999998,11252.277,7571.282299021341,16722.90430827591
2024-12-20 07:00:00+00:00,13546.500000000011,10990.635,7395.2251305694035,16334.041885171411
2024-12-20 08:00:00+00:00,13040.250000000004,11274.414,7586.1776125834995,16755.80400657056
2024-12-20 09:00:00+00:00,12929.999999999998,10858.098,7306.050196630603,16137.078698744299
2024-12-20 10:00:00+00:00,13046.000000000002,10651.26,7166.874855657348,15829.67820603429
2024-12-20 11:00:00+00:00,12704.25000000001,9378.511,6310.48591302837,13938.147845306536
2024-12-20 12:00:00+00:00,11964.499999999993,9950.965,6695.66961962793,14788.913939102733
2024-12-20 13:00:00+00:00,11044.250000000007,10674.897,7182.78295048687,15864.814862819003
2024-12-20 14:00:00+00:00,10178.249999999995,10599.881,7132.3054235063355,15753.323728282598
2024-12-20 15:00:00+00:00,9504.499999999996,10077.739,6780.971074383852,14977.321663039189
2024-12-20 16:00:00+00:00,9705.499999999996,9381.307,6312.367944730476,13942.304741696924
2024-12-20 17:00:00+00:00,9605.499999999998,8798.4375,5920.172732218449,13076.052137452372
2024-12-20 18:00:00+00:00,9696.500000000002,9031.695,6077.124281040692,13422.71544075141
2024-12-20 19:00:00+00:00,9445.000000000002,7843.989,5277.957912103006,11657.57418907003
2024-12-20 20:00:00+00:00,8981.999999999996,7784.549,5237.96057965878,11569.230955171972
2024-12-20 21:00:00+00:00,8787.500000000004,7757.7485,5219.929048953693,11529.404205804594
2024-12-20 22:00:00+00:00,8630.999999999996,7796.2886,5245.860070867105,11586.678783735695
2024-12-20 23:00:00+00:00,8836.750000000004,7520.103,5060.023845731984,11176.217082902614
2024-12-21 00:00:00+00:00,9201.999999999998,7918.8364,5328.31938997524,11768.80900267472
2024-12-21 01:00:00+00:00,9584.000000000004,8268.956,5563.903784935512,12289.150886367275
