number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1401.3051430000996,0.8475203561361038,True,True,False,True,False,True,True,True,True,False,small,0.012654210621163037,7,3,331,large,0.8749338014353707,0.00026749360618043776,idw,0.8455370972203593,2,True,True,COMPLETE
1,1352.4386270657176,0.9120846865002112,True,False,True,True,False,False,True,False,False,True,none,0.02999728096754975,8,5,696,none,0.003223727470652628,0.05433812505299699,None,0.6764160263360934,0,True,False,COMPLETE
2,1426.9833642077674,0.8038503641160603,True,False,True,False,False,True,False,True,False,False,none,0.029432774325760136,6,1,353,none,0.010676910400704644,0.04595504498651151,None,0.6893124865232689,2,True,True,COMPLETE
3,1476.7451991676908,0.7635426224914681,True,True,False,False,False,True,False,True,True,False,large,0.014732156612471282,10,7,747,large,6.850217496073952e-08,3.0299682383752025e-06,distance_n_turbines,0.6696390239344264,6,False,False,COMPLETE
4,1491.7823971591795,0.9754104249839731,True,True,True,False,False,False,False,False,False,True,small,0.14974411966696216,9,2,711,small,0.0007018856159742149,0.15549747571924705,distance_capacity,0.6165294168265398,6,True,True,COMPLETE
5,1496.2015975762715,0.7848085724548306,False,False,False,False,True,True,False,False,True,False,large,0.09278808177841033,4,6,755,none,3.234579238030749e-06,0.0025422821429396257,idw,0.5511084707158835,2,False,True,COMPLETE
6,1483.8031072582064,0.850483813150848,True,False,True,True,True,True,True,True,False,True,none,0.012482250139724779,7,1,732,none,4.3715093088863826e-08,4.294544131385381e-05,capacity,0.6589551850450608,6,True,True,COMPLETE
7,1380.939016812732,0.5392068639632193,True,False,True,True,False,False,False,True,False,False,large,0.03203749532424647,4,3,324,none,0.002539599565546739,0.42402516333735996,distance_capacity,0.6055673059147819,6,False,False,COMPLETE
8,1485.4114909590742,0.6923758730377839,False,False,True,True,False,False,False,True,False,True,none,0.03966273362381122,3,10,799,small,0.0010882777269311838,9.284903206871098e-08,capacity,0.6768545389697751,0,True,True,COMPLETE
9,1399.5964353251056,0.5407551077926991,False,True,False,False,False,True,True,True,False,True,small,0.02701603822897397,8,10,444,large,0.005235349936994058,5.445677603438695e-06,max,0.8067169724150476,2,False,False,COMPLETE
10,1395.1422091935801,0.9827129894298761,False,False,True,True,True,False,True,False,True,True,none,0.2952175273381053,10,5,1000,none,9.221922955030504e-06,0.006047475126657467,None,0.5194413685312582,0,True,False,COMPLETE
11,1377.4235845177998,0.5010086261415156,True,False,True,True,False,False,True,False,False,False,large,0.0677517406519025,5,4,549,none,0.07833306827799207,0.9724413847903701,distance_capacity,0.9471554634243967,0,False,False,COMPLETE
12,1412.0554629394785,0.6590271095269682,True,False,True,True,False,False,True,False,False,True,large,0.07539087806929703,5,5,553,none,0.19455890863071035,0.8709271008433985,mean,0.9946909794471728,0,False,False,COMPLETE
13,1401.4057965583363,0.6163779774026175,True,False,True,True,False,False,True,False,False,False,large,0.06191638568130185,6,8,588,none,0.05924120925527088,0.015309826602091478,None,0.9893271623094094,0,False,False,COMPLETE
14,1455.811418055706,0.9213875641165101,True,False,True,True,True,False,True,False,False,False,none,0.11925951718809825,5,4,871,none,0.00017378498358306424,0.0006512241987461132,distance_capacity,0.8962883590624642,0,True,False,COMPLETE
15,1368.2031784128005,0.5001054113080796,True,False,True,True,False,False,True,False,False,True,none,0.019647352618220947,8,7,519,small,0.05146509597166377,0.07856206709925288,mean,0.7473496436919345,0,False,False,COMPLETE
16,1465.4885002745223,0.9078915875991674,True,False,True,True,False,False,True,False,False,True,none,0.01966648339494858,8,8,459,small,2.6434192985095374e-05,0.04764310478043214,mean,0.7564468581373773,0,True,False,COMPLETE
17,1395.0851232205641,0.7072742279821268,True,False,True,True,False,False,True,False,False,True,none,0.019705193744283814,8,7,640,small,0.019318019403386805,1.9304808738873346e-08,mean,0.7554942479470979,0,False,False,COMPLETE
18,1431.096463212737,0.6174641719239132,False,True,False,True,True,False,True,False,True,True,none,0.04493655445225277,9,6,468,small,0.86259004042194,0.0018942269164627878,max,0.8232382699464426,0,False,False,COMPLETE
19,1452.0920921584773,0.9019954242358202,True,False,True,True,False,False,True,False,False,True,none,0.010017481254522793,9,8,874,small,0.00020718264010637904,5.3226714905261964e-05,mean,0.7491510217731625,0,True,False,COMPLETE
