Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,0
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,None
n_estimators,696
learning_rate,0.02999728096754975
max_depth,8
min_child_weight,5
subsample,0.6764160263360934
colsample_bytree,0.9120846865002112
reg_alpha,0.003223727470652628
reg_lambda,0.05433812505299699
use_base_models_pred_intervals,False
cv_folds_base,40
