date,biomass_ampr_actual,coal_derived_gas_ampr_actual,gas_ampr_actual,hard_coal_ampr_actual,lignite_ampr_actual,other_fossil_ampr_actual,renewables_ampr_actual,waste_ampr_actual,biomass_ampr_fitted,coal_derived_gas_ampr_fitted,gas_ampr_fitted,hard_coal_ampr_fitted,lignite_ampr_fitted,other_fossil_ampr_fitted,renewables_ampr_fitted,waste_ampr_fitted,biomass_ampr_lower,coal_derived_gas_ampr_lower,gas_ampr_lower,hard_coal_ampr_lower,lignite_ampr_lower,other_fossil_ampr_lower,renewables_ampr_lower,waste_ampr_lower,biomass_ampr_upper,coal_derived_gas_ampr_upper,gas_ampr_upper,hard_coal_ampr_upper,lignite_ampr_upper,other_fossil_ampr_upper,renewables_ampr_upper,waste_ampr_upper
2025-05-13 00:00:00+00:00,,,,,,,,,684.8459093539403,466.2286665892219,1824.5040652681562,546.4519004885456,3232.5526969653424,52.90358872764399,226.94917660500025,90.4078544699281,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 01:00:00+00:00,,,,,,,,,708.3945180515634,460.11911683789543,2100.1538815363792,538.280770118436,3558.593537993464,52.06051033058474,243.8943900219727,93.8231007482573,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 02:00:00+00:00,,,,,,,,,723.0758561555971,466.72875615921896,2385.8363202979936,652.2268092951384,3421.987406629828,51.633517880094715,230.76410705263643,96.17488381427924,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 03:00:00+00:00,,,,,,,,,745.7629494009881,498.73386001268216,2737.6757307767543,816.8918691439372,3590.8493431604297,55.290778324749766,276.2352240929905,95.77314151537857,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 04:00:00+00:00,,,,,,,,,776.3667121909925,498.9019437633435,3451.426161425436,997.4637068698703,3729.5507827044476,54.140419447600316,510.45940078823475,91.46611033747428,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 05:00:00+00:00,,,,,,,,,819.1401821422576,486.2887874671808,3628.5193242875753,1054.964869833705,3872.6730595260774,54.563273943502125,639.131332326249,90.27254012300085,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 06:00:00+00:00,,,,,,,,,793.3753466383403,456.9268424217339,3397.2475129397785,1048.305034996332,3627.912060589065,48.98291099016177,522.3129460593306,77.40701272157574,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 07:00:00+00:00,,,,,,,,,758.0252679658302,459.5076727850679,2608.800918603393,901.0021787978139,3065.6611162610093,50.58901806800095,337.15749789096924,84.03616754259565,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 08:00:00+00:00,,,,,,,,,733.2857093784528,458.3155403849141,2076.7667280409505,916.381754460254,2888.6891469441034,44.12386801659728,236.5367945509518,78.10132364127135,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 09:00:00+00:00,,,,,,,,,702.2828038139885,455.5610631914868,1453.316408808314,684.8903886269034,2083.406408096856,42.018160189693354,198.07971924421767,85.24998687394442,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
2025-05-13 10:00:00+00:00,,,,,,,,,688.5776004800251,455.77012352475106,1679.9872677104545,693.6222040788934,1979.8754473955428,38.135510245747696,193.93267149452342,91.1815681412103,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476,779.4234226190476,460.0807316468254,3116.1759350198413,1251.1592435515875,3620.6666666666665,49.688125,387.66572916666667,75.79456101190476
