Parameter,Value
compute_air_density,False
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,idw
n_estimators,661
learning_rate,0.10282909381376283
num_leaves,107
max_depth,16
min_child_samples,89
subsample,0.7799786674385617
colsample_bytree,0.9040581898829863
reg_alpha,0.011777967719911214
reg_lambda,2.0949017585133435e-05
min_split_gain,0.24966862235358897
use_base_models_pred_intervals,False
cv_folds_base,40
