number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,0.5203553501189737,0.7721844949046954,188,0.6037453568023736,4,SymmetricTree,540,9.709309322489579e-08,10,0.05511919629705897,0.5464290561998569,COMPLETE
1,0.5598198922080837,0.9156780921723003,148,0.7578716854545484,9,Depthwise,675,1.101008414213922e-07,4,0.15002587299600187,2.075787884699209e-05,COMPLETE
2,0.5507986585191484,0.5683619261377376,217,0.6588302961892326,12,Lossguide,623,7.598777296744388,1,0.23543709062399576,0.00017553156757807732,COMPLETE
3,0.5386626048955087,0.15858628330632674,172,0.5918314976500859,11,Depthwise,956,0.7902413494466523,4,0.03411891587184878,0.00022053465327066655,COMPLETE
4,0.5213207870066754,0.9778003103203404,176,0.7310837895380917,9,Lossguide,448,0.27247522143591246,10,0.0299579988116536,6.07780139442016e-07,COMPLETE
5,0.5261896905003597,0.7846398006419543,125,0.564248247326967,6,Depthwise,373,0.0009617845803877406,5,0.047542089084328006,0.00026735094796494755,COMPLETE
6,0.5257564050576695,0.2238356068291678,100,0.6473309901883012,4,Depthwise,340,0.00706443957317545,6,0.04672232874254337,0.007367260884596036,COMPLETE
7,0.5712093765596755,0.21271189214114405,128,0.6146342337396241,9,Depthwise,515,8.434069534441804e-07,3,0.21734063686619198,0.7062369976156943,COMPLETE
8,0.6033512855065486,0.7444212246331915,71,0.7138711395639618,5,Depthwise,681,0.8350998346892422,2,0.24219714863266958,0.8922751398916263,COMPLETE
9,0.5407493039373492,0.6839225555947718,216,0.8228234161929884,12,SymmetricTree,772,3.1978666277183383e-08,10,0.08198365369129057,0.0026835226650228352,COMPLETE
10,0.5237891231740153,0.41171936656230623,249,0.9777822741869165,7,SymmetricTree,882,1.0852045733530592e-05,8,0.010943302838965304,3.822498431066944e-08,COMPLETE
11,0.5243885558698177,0.9934934910618956,183,0.5014024106067608,8,Lossguide,501,3.5420962981038894e-05,10,0.022568162054718822,3.6296296916065964e-07,COMPLETE
12,0.5286156125736505,0.8629723562588372,189,0.8472463835344668,10,Lossguide,471,0.014086478947143979,8,0.019737264563602416,3.7698192471751236e-06,COMPLETE
13,0.5442800735458078,0.5777909406594111,221,0.7320321864978538,7,SymmetricTree,424,0.040189460432559276,8,0.08722380162438075,3.086876303112501e-08,COMPLETE
14,0.5305121645570761,0.9962419333562254,159,0.8362073372965899,4,Lossguide,579,7.57447049654325e-05,10,0.08230886490703519,0.030467439418657986,COMPLETE
15,0.5230680995367432,0.3688919022366965,248,0.5091571075993883,6,SymmetricTree,323,1.183759229863703e-06,7,0.025020663477782874,1.6283370138662765e-06,COMPLETE
16,0.5427600870266154,0.007012888117257088,39,0.9231481497877716,9,Lossguide,568,0.0008327390921200284,9,0.010155411597535309,5.900367399898907e-07,COMPLETE
17,0.5395223119694252,0.8389520546284369,200,0.6892285140346811,10,SymmetricTree,765,1.3734647406741921e-08,9,0.03456179867493918,1.6621744600728405e-05,COMPLETE
18,0.5320334376399211,0.6585701992308777,106,0.7703170394326315,8,SymmetricTree,416,0.20059420908187478,6,0.015661959298288883,0.07633907053627345,COMPLETE
19,0.5326681703806948,0.8944907965057042,160,0.5722416594181166,5,Lossguide,746,2.277186539278148e-07,9,0.06273089020612331,0.00113219237312415,COMPLETE
