date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-01-21 00:00:00+00:00,,17842.924183861447,16959.9433959709,18773.51739458345
2025-01-21 01:00:00+00:00,,17550.53251703384,16680.596850804603,18463.8672997454
2025-01-21 02:00:00+00:00,,17845.794765986757,16961.334009516213,18773.34025741789
2025-01-21 03:00:00+00:00,,18662.4697593054,17738.855004611294,19633.3891848584
2025-01-21 04:00:00+00:00,,19805.283245057148,18824.733565038878,20836.62376828298
2025-01-21 05:00:00+00:00,,21196.868300756538,20150.38457896589,22300.410826790237
2025-01-21 06:00:00+00:00,,22720.527939246254,21597.55324738667,23901.50138944621
2025-01-21 07:00:00+00:00,,24194.668421966588,23001.11941879752,25453.854509447796
2025-01-21 08:00:00+00:00,,25321.4519839715,24071.49892751699,26639.48866156722
2025-01-21 09:00:00+00:00,,25998.467525196633,24713.62084846871,27353.23426777253
2025-01-21 10:00:00+00:00,,26054.417997806137,24764.043348024396,27409.56578200063
2025-01-21 11:00:00+00:00,,25802.37618135248,24528.999303224897,27145.856620551956
2025-01-21 12:00:00+00:00,,25313.462149639126,24061.367420439223,26630.92060540345
2025-01-21 13:00:00+00:00,,24831.80128290515,23605.451852264592,26123.80219417478
2025-01-21 14:00:00+00:00,,24504.579489875458,23293.258469675136,25779.884955073732
2025-01-21 15:00:00+00:00,,24359.37879438419,23155.569201543152,25627.050771068567
2025-01-21 16:00:00+00:00,,24229.895701973765,23031.458499100856,25491.719348739538
2025-01-21 17:00:00+00:00,,23938.098926067098,22755.464477338162,25184.33323160239
2025-01-21 18:00:00+00:00,,23392.55047397873,22238.064937951225,24610.90764353475
2025-01-21 19:00:00+00:00,,22551.87718614385,21438.581538382386,23724.914458150786
2025-01-21 20:00:00+00:00,,21510.297303086143,20449.03949010975,22630.229006975536
2025-01-21 21:00:00+00:00,,20374.34934460482,19366.204392095147,21434.429249306966
2025-01-21 22:00:00+00:00,,19317.421373973884,18360.74049730915,20322.420209702344
2025-01-21 23:00:00+00:00,,18458.721265564196,17545.13479798136,19418.343469203486
2025-01-22 00:00:00+00:00,,17913.69947264478,17029.78678023757,18845.745002165808
2025-01-22 01:00:00+00:00,,17737.73432162011,16861.093825764357,18659.988952456337
2025-01-22 02:00:00+00:00,,17973.98132177696,17084.705088703715,18909.32928368884
2025-01-22 03:00:00+00:00,,18607.12051652363,17685.34547504757,19575.042961201383
2025-01-22 04:00:00+00:00,,19570.681626681828,18600.626653924955,20588.228541932716
2025-01-22 05:00:00+00:00,,20782.1605941844,19751.159317478403,21862.63850137276
2025-01-22 06:00:00+00:00,,22095.291526924422,21000.239761283687,23242.553336354536
2025-01-22 07:00:00+00:00,,23421.595312899524,22260.430149266147,24638.667975975808
2025-01-22 08:00:00+00:00,,24505.64870159635,23291.758645544563,25780.182112882925
2025-01-22 09:00:00+00:00,,25301.20717497219,24046.98953914087,26616.944461923602
2025-01-22 10:00:00+00:00,,25772.40121461005,24495.860350776093,27111.678461173007
2025-01-22 11:00:00+00:00,,25897.399858341047,24614.64475359451,27244.887007955902
2025-01-22 12:00:00+00:00,,25808.77132209028,24530.522744627247,27151.007211099877
2025-01-22 13:00:00+00:00,,25533.55844518661,24269.101528725467,26862.532781845024
2025-01-22 14:00:00+00:00,,25225.467990669164,23978.987895925326,26537.088054683907
2025-01-22 15:00:00+00:00,,24797.217600062093,23570.800314896733,26087.081477908436
2025-01-22 16:00:00+00:00,,24271.743076405164,23071.275680492286,25533.004361630206
2025-01-22 17:00:00+00:00,,23626.40705984145,22455.912407874763,24855.10545935646
2025-01-22 18:00:00+00:00,,22813.4832965957,21684.06478255317,24002.15833576126
2025-01-22 19:00:00+00:00,,21851.59510998778,20769.986788357015,22990.448205620756
2025-01-22 20:00:00+00:00,,20812.03547653809,19783.183491251188,21895.11972259176
2025-01-22 21:00:00+00:00,,19793.35453177181,18813.547631353485,20823.81793864203
2025-01-22 22:00:00+00:00,,18900.837834939157,17964.156218177464,19885.78334699283
