date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2025-04-12 00:00:00+00:00,,16.859644,-482.0881164508487,515.8072903345644
2025-04-12 01:00:00+00:00,,-1.2430176,-500.1906733565488,497.7047334288641
2025-04-12 02:00:00+00:00,,-1.0125488,-499.960213875298,497.9351929101149
2025-04-12 03:00:00+00:00,,2.389917,-496.5577553376911,501.3376514477218
2025-04-12 04:00:00+00:00,,88.402,-410.54564653735815,587.3497602480547
2025-04-12 05:00:00+00:00,,1013.04895,514.101268492484,1511.9966752778969
2025-04-12 06:00:00+00:00,,2674.1116,2175.1639593187283,3173.059366104141
2025-04-12 07:00:00+00:00,,5597.495,5098.547604233699,6096.4430110191115
2025-04-12 08:00:00+00:00,,6816.1113,6317.163614337438,7315.05902112285
2025-04-12 09:00:00+00:00,,6899.784,6400.836311977251,7398.731718762665
2025-04-12 10:00:00+00:00,,8085.173,7586.225154787286,8584.1205615727
2025-04-12 11:00:00+00:00,,9084.717,8585.76963389631,9583.665040681724
2025-04-12 12:00:00+00:00,,8459.721,7960.773417777213,8958.668824562626
2025-04-12 13:00:00+00:00,,7804.696,7305.748189864957,8303.64359665037
2025-04-12 14:00:00+00:00,,5758.0903,5259.14286958473,6257.038276370144
2025-04-12 15:00:00+00:00,,4142.3643,3643.4165425835226,4641.3119493689355
2025-04-12 16:00:00+00:00,,1591.9408,1092.9931507954866,2090.8885575808995
2025-04-12 17:00:00+00:00,,247.59024,-251.35752719071252,746.5378795947004
2025-04-12 18:00:00+00:00,,57.862328,-441.08541592316533,556.8099908622478
2025-04-12 19:00:00+00:00,,13.227076,-485.7206810042444,512.1747257811687
2025-04-12 20:00:00+00:00,,-1.8217529,-500.76947305064095,497.12593373477193
2025-04-12 21:00:00+00:00,,5.987573,-492.9601838650374,504.9352229203755
2025-04-12 22:00:00+00:00,,15.611841,-483.33584953185346,514.5595572535597
2025-04-12 23:00:00+00:00,,20.46316,-478.4845360653403,519.4108707200726
2025-04-13 00:00:00+00:00,,15.520655,-483.42704362105997,514.4683631643529
2025-04-13 01:00:00+00:00,,15.520655,-483.42704362105997,514.4683631643529
2025-04-13 02:00:00+00:00,,15.520655,-483.42704362105997,514.4683631643529
2025-04-13 03:00:00+00:00,,11.435816,-487.5118672331373,510.3835395522758
2025-04-13 04:00:00+00:00,,122.14187,-376.80577759096286,621.08962919445
2025-04-13 05:00:00+00:00,,1271.6943,772.7465717013963,1770.6419784868094
2025-04-13 06:00:00+00:00,,3227.152,2728.204239300114,3726.099646085527
2025-04-13 07:00:00+00:00,,5861.4688,5362.521266733332,6360.416673518745
2025-04-13 08:00:00+00:00,,7802.2295,7303.281707870836,8301.177114656248
2025-04-13 09:00:00+00:00,,7260.5464,6761.598361551192,7759.493768336606
2025-04-13 10:00:00+00:00,,5758.1934,5259.245728034184,6257.141134819596
2025-04-13 11:00:00+00:00,,6172.89,5673.942365530042,6671.837772315455
2025-04-13 12:00:00+00:00,,6505.6113,6006.663293069344,7004.558699854757
2025-04-13 13:00:00+00:00,,5951.6226,5452.674753619668,6450.570160405081
2025-04-13 14:00:00+00:00,,4403.6963,3904.7487576853227,4902.644164470736
2025-04-13 15:00:00+00:00,,3047.46,2548.512207065027,3546.4076138504397
2025-04-13 16:00:00+00:00,,1510.9791,1012.0313786083873,2009.9267853938004
2025-04-13 17:00:00+00:00,,160.88138,-338.0663164167281,659.8290903686848
2025-04-13 18:00:00+00:00,,353.86624,-145.08142018429862,852.8139866011145
2025-04-13 19:00:00+00:00,,4.818628,-494.1290941480074,503.7663126374057
2025-04-13 20:00:00+00:00,,5.268335,-493.67930934755987,504.216097437853
2025-04-13 21:00:00+00:00,,-0.37668458,-499.3243295090865,498.5710772763266
2025-04-13 22:00:00+00:00,,4.951196,-493.9965445997418,503.8988621856711
2025-04-13 23:00:00+00:00,,10.36941,-488.5782725321151,509.31713425329804
2025-04-14 00:00:00+00:00,,10.170801,-488.77692012178204,509.1184866636311
2025-04-14 01:00:00+00:00,,34.975,-463.972658055784,533.9227487296291
2025-04-14 02:00:00+00:00,,11.342188,-487.6055355805779,510.289871204835
2025-04-14 03:00:00+00:00,,88.47573,-410.47194898852285,587.4234577968903
2025-04-14 04:00:00+00:00,,115.50759,-383.4401475807422,614.4552592046709
2025-04-14 05:00:00+00:00,,1128.226,629.2782543976496,1627.1736611830624
2025-04-14 06:00:00+00:00,,2671.554,2172.6062832353996,3170.501690020813
2025-04-14 07:00:00+00:00,,5213.0215,4714.074031069659,5711.969437855072
2025-04-14 08:00:00+00:00,,7130.522,6631.573970546629,7629.469377332041
2025-04-14 09:00:00+00:00,,8005.275,7506.327114816608,8504.222521602022
2025-04-14 10:00:00+00:00,,8960.387,8461.439571485227,9459.334978270641
2025-04-14 11:00:00+00:00,,7064.1387,6565.191035982551,7563.086442767964
2025-04-14 12:00:00+00:00,,4859.7983,4360.850692870128,5358.746099655542
2025-04-14 13:00:00+00:00,,5354.5845,4855.636595151629,5853.532001937042
2025-04-14 14:00:00+00:00,,4203.4814,3704.533548694113,4702.428955479526
2025-04-14 15:00:00+00:00,,2911.188,2412.240314018887,3410.1357208043
2025-04-14 16:00:00+00:00,,1683.4653,1184.5176418427147,2182.413048628128
2025-04-14 17:00:00+00:00,,515.0812,16.13347012169038,1014.0288769071034
2025-04-14 18:00:00+00:00,,10.631739,-488.3160011592804,509.5794056261325
2025-04-14 19:00:00+00:00,,13.997583,-484.95012629699477,512.9452804884181
2025-04-14 20:00:00+00:00,,18.413599,-480.5341055469853,517.3613012384278
2025-04-14 21:00:00+00:00,,2.9604735,-495.98726208195694,501.90814470345595
2025-04-14 22:00:00+00:00,,16.662134,-482.2855269113984,515.6098798740145
2025-04-14 23:00:00+00:00,,14.942163,-484.0054898496901,513.8899169357228
2025-04-15 00:00:00+00:00,,-16.758642,-515.7063932783017,482.1890135071112
2025-04-15 01:00:00+00:00,,1.1516358,-497.79612158395184,500.09928520146104
2025-04-15 02:00:00+00:00,,-1.6634277,-500.6111205236466,497.2842862617663
2025-04-15 03:00:00+00:00,,0.33547363,-498.61227333580473,499.2831334496084
2025-04-15 04:00:00+00:00,,170.49759,-328.45011178917093,669.445294996242
2025-04-15 05:00:00+00:00,,983.5451,484.59741800955385,1482.4928247949667
2025-04-15 06:00:00+00:00,,2451.2932,1952.3453851441016,2950.2407919295147
2025-04-15 07:00:00+00:00,,4195.447,3696.498925276458,4694.394332061871
2025-04-15 08:00:00+00:00,,3899.2969,3400.3491250344996,4398.2445318199125
2025-04-15 09:00:00+00:00,,4979.7163,4480.768799384016,5478.664206169429
