Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,none
shortwave_lags_option,large
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,idw
lags_target,
l1_ratio,0.016966046052309447
alpha,0.5576721386105037
