number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,1076.2508059851762,0.859848993826413,False,False,True,False,True,False,True,True,True,False,large,,0.17526594063069095,12,35,0.24147067328949323,979,86,small,0.00030441530531670247,0.03739644105017988,distance_n_turbines,0.8001644730652175,0,False,COMPLETE
1,1287.144298536089,0.5823424578987857,False,True,True,True,False,False,False,True,True,False,none,12.0,0.017122749043478994,16,99,0.4216955395527549,922,56,large,1.1681168936800778e-07,0.00037866539995012703,distance_n_turbines,0.8976169160353684,6,False,COMPLETE
2,966.598679150739,0.847651763629963,True,True,True,False,False,True,False,False,True,False,none,,0.03905801315656082,12,99,0.3033699009779951,944,75,none,0.001700934449845652,2.3228600464624237e-07,capacity,0.7468144617071357,6,True,COMPLETE
3,1295.5321801588768,0.5281216001998088,False,True,False,False,False,True,True,True,False,False,large,6.0,0.04658912123198255,7,7,0.13118839676066163,477,110,small,6.0821216968474104e-05,0.0015636413440674977,idw,0.7617939814992356,0,False,COMPLETE
4,1344.1283948083935,0.6569639844221119,True,False,False,False,False,False,True,False,False,False,none,6.0,0.1866213223989181,4,87,0.41947222853620675,433,26,small,0.002079201235519764,0.03180495008193345,distance_n_turbines,0.9685785627589334,6,False,COMPLETE
5,1490.029092012638,0.854147110024895,True,False,False,True,True,False,True,False,False,False,small,6.0,0.04668289022520016,9,17,0.33419441147639356,804,18,small,6.194994314946874e-08,0.0011991091925287315,max,0.7165384273308796,0,False,COMPLETE
6,1298.0093675647015,0.7463276975351313,True,False,False,True,False,False,True,True,True,False,small,1.0,0.13161130248525962,10,63,0.15540442775654356,450,119,small,0.003100609095407466,0.0019714812539919292,max,0.8655116848902614,2,False,COMPLETE
7,1160.5275286124715,0.662050119830262,True,False,False,False,False,True,False,False,False,True,large,1.0,0.18206500233285594,3,57,0.21143066799062177,594,96,small,1.1773195376647805e-07,0.022165839818741342,capacity,0.5704655686865887,2,False,COMPLETE
8,984.3156485499411,0.7010642201227691,False,False,True,False,False,True,False,True,True,False,none,,0.015925791707800466,6,100,0.24904135998383775,830,41,large,6.630334095878989e-07,8.844905735305994e-08,distance_capacity,0.804941295644335,6,True,COMPLETE
9,1282.8303306911118,0.5587323393821584,False,False,False,True,False,False,True,False,True,True,none,1.0,0.021044436113944003,14,88,0.173345950029485,907,55,none,3.2848700648075477e-07,1.2983606777800272e-08,max,0.7993675519298848,6,True,COMPLETE
10,971.8472660761881,0.9631771261966856,True,True,True,False,True,True,False,False,True,True,none,,0.08285926066280025,12,70,0.0030370415497793513,669,146,none,0.9123003756527599,1.9568821470081836e-06,capacity,0.6633747269833722,6,True,COMPLETE
11,972.6137505375314,0.986408456627163,True,True,True,False,True,True,False,False,True,True,none,,0.07897936051899569,13,72,0.0007009597571267512,684,144,none,0.852319269414347,2.555619405366123e-06,capacity,0.6438160983010482,6,True,COMPLETE
12,933.5740090584881,0.9986600442962312,True,True,True,False,True,True,False,False,True,True,none,,0.07701048931891691,11,40,0.004323025859595938,307,146,none,0.9211827463584418,5.357969917546878e-06,mean,0.6588317507956719,6,True,COMPLETE
