Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,2
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,532
learning_rate,0.023439814638783082
num_leaves,109
max_depth,7
min_child_samples,29
subsample,0.6908181506017554
colsample_bytree,0.7107544296914998
reg_alpha,1.1341052381365949e-06
reg_lambda,0.008544480416883793
min_split_gain,0.38014512655286586
