number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,991.4720018558522,0.8884625411364939,True,False,False,True,False,False,True,False,False,False,none,0.21097377405443749,10,73,0.16917851439127696,548,19,large,0.5388275349435729,2.45032373292869e-06,max,0.8288456112317416,6,True,False,COMPLETE
1,938.3768905554115,0.8079779861414063,False,False,True,False,False,False,False,False,False,False,none,0.21101898591448776,13,81,0.15208099515558188,316,73,none,0.01569769115129887,7.514355440721095e-08,capacity,0.8550923558732924,2,False,True,COMPLETE
2,899.3905879137238,0.8625349784120517,False,True,False,True,True,False,False,False,False,True,large,0.06136750159689186,13,66,0.22905592897435922,366,15,none,0.00039757167586756644,1.214113052976428e-05,distance_capacity,0.9051111572162597,6,True,True,COMPLETE
3,1032.4052008756591,0.9112441169046753,False,False,False,False,False,False,True,True,True,True,large,0.013993905163563287,16,76,0.12969409310818358,662,83,none,0.00027181827318630046,4.1263932735473854e-08,max,0.6010545115384311,2,False,False,COMPLETE
4,1016.8297404760306,0.8917262491305751,True,False,True,True,False,False,True,True,True,False,large,0.2871502778941161,5,13,0.382390454927416,740,138,none,6.319812683408716e-08,1.4057344561832697e-08,distance_capacity,0.7967065305990055,0,False,False,COMPLETE
5,998.4437502538967,0.6151545424421692,True,False,True,False,False,False,False,True,False,False,small,0.015083861889178535,7,67,0.23541575820776434,734,43,small,2.4352693377543953e-06,0.007475319090449487,mean,0.9438281272666049,0,False,False,COMPLETE
6,978.6491895772915,0.6383090518022679,False,True,True,True,False,False,False,True,False,False,large,0.14510132764157077,3,14,0.4502091751212403,537,69,none,7.174567579289014e-08,1.573625282712587e-07,max,0.9804845031133652,6,True,False,COMPLETE
7,1003.1025984250758,0.5632660981621698,False,True,True,False,True,True,True,False,True,True,none,0.011169460153720046,9,7,0.023538518270782793,1000,147,large,0.015617697636053257,0.0006225240939005047,mean,0.7984920584116348,6,True,True,COMPLETE
8,975.2195195323071,0.5252172176376099,False,True,False,False,True,False,True,True,True,True,large,0.08164062662692642,11,35,0.3937385268429754,994,115,large,0.003368800399850305,0.000580809449924439,capacity,0.5338841643167619,2,False,True,COMPLETE
9,954.570489266055,0.5283643901647851,True,True,False,False,True,False,False,False,True,True,large,0.011741521257333153,10,34,0.09485858339537012,385,91,large,0.0033219238918823176,5.606900615535035e-05,distance_capacity,0.7999781646045633,0,False,False,COMPLETE
10,899.0037906080657,0.9997011233147075,False,True,False,True,True,True,False,False,False,True,small,0.0358099931021606,16,98,0.28470117594490013,459,24,small,9.371349893894732e-06,0.8629758758810836,idw,0.6657251620065558,6,True,True,COMPLETE
11,893.3420572239289,0.9982727240417133,False,True,False,True,True,True,False,False,False,True,small,0.03778908321860747,16,98,0.2926073299874623,443,10,small,1.024866207252203e-05,0.8901422550893424,idw,0.6355037185623869,6,True,True,COMPLETE
12,907.3413736434053,0.9840949676414427,False,True,False,True,True,True,False,False,False,True,small,0.02917520067004878,16,100,0.3249375044447049,485,41,small,5.567391555476352e-06,0.2594358908013187,idw,0.6658213211811164,6,True,True,COMPLETE
13,910.9672043205146,0.9959978859000356,False,True,False,True,True,True,False,False,False,True,small,0.029954633687904117,14,98,0.3011976228950596,433,39,small,3.5548177719140413e-06,0.8687739815082332,idw,0.7032137494847581,6,True,True,COMPLETE
14,902.1539010016496,0.7465672899778577,False,True,False,True,True,True,False,False,False,True,small,0.03140952970276612,15,87,0.3005463003948595,599,13,small,2.0795564950516866e-05,0.02018019099267616,distance_n_turbines,0.6325293961557962,6,True,True,COMPLETE
15,915.7216607889177,0.9522948010895256,False,True,False,True,True,True,False,False,False,True,small,0.04774004653027683,12,57,0.48306032245738756,436,32,small,4.444357415620464e-07,0.05876192083333129,idw,0.502303021478447,6,True,True,COMPLETE
16,934.3681876041779,0.7467994556097778,False,True,False,True,True,True,False,False,False,True,small,0.020009486158409435,14,89,0.3818178553069561,670,58,small,2.9003593812236724e-05,0.00263566968195338,None,0.7304986466869097,6,True,True,COMPLETE
17,917.8479414237542,0.8179617090820548,False,True,False,True,True,True,False,False,False,True,small,0.10656444092880192,16,47,0.222714552591492,300,54,small,3.897608233181706e-07,0.10139246931212634,idw,0.5799805920226335,6,True,True,COMPLETE
18,892.8167573011866,0.9428270591656961,True,True,False,True,True,True,False,False,False,True,small,0.04105271242888857,8,91,0.3295811679788628,493,28,small,7.268836389581981e-05,0.422539361410136,idw,0.689331883836574,2,True,True,COMPLETE
19,958.3770337126201,0.9405984814465345,True,True,False,True,True,True,False,False,False,True,small,0.051013291633584104,8,88,0.362000982032734,877,101,small,0.00012165563428569822,0.019810506021265665,None,0.7291548788157372,2,True,True,COMPLETE
