Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,True
turbulence_window,2
lags_choice,small
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,idw
n_estimators,493
learning_rate,0.04105271242888857
num_leaves,28
max_depth,8
min_child_samples,91
subsample,0.689331883836574
colsample_bytree,0.9428270591656961
reg_alpha,7.268836389581981e-05
reg_lambda,0.422539361410136
min_split_gain,0.3295811679788628
use_base_models_pred_intervals,False
cv_folds_base,40
