,wind_offshore_actual,wind_offshore_fitted,wind_offshore_lower,wind_offshore_upper
2024-11-15 00:00:00+00:00,2825.4999999999986,2688.924,1560.2957429801922,4633.937028520926
2024-11-15 01:00:00+00:00,2272.5000000000005,2435.3794,1413.1720679069072,4196.993039691538
2024-11-15 02:00:00+00:00,2162.499999999999,2304.591,1337.2795297567118,3971.5990755643174
2024-11-15 03:00:00+00:00,2197.75,2401.5742,1393.5558935445113,4138.734778625067
2024-11-15 04:00:00+00:00,2368.25,2436.1016,1413.5910701730947,4198.237438469812
2024-11-15 05:00:00+00:00,2647.4999999999995,2279.2559,1322.578439987377,3927.9381705417068
2024-11-15 06:00:00+00:00,2932.7499999999995,1731.3666,1004.6559298972612,2983.7371122944182
2024-11-15 07:00:00+00:00,2742.0000000000014,1792.0535,1039.8709157101143,3088.3224304627774
2024-11-15 08:00:00+00:00,2895.500000000001,1619.8464,939.9443177342439,2791.5494856054775
2024-11-15 09:00:00+00:00,3038.0000000000014,1742.5277,1011.1325901943517,3002.972206735157
2024-11-15 10:00:00+00:00,3023.2500000000005,1827.2015,1060.2659209833446,3148.8937487896387
2024-11-15 11:00:00+00:00,2890.7500000000005,1009.3409,585.6879968216904,1739.4403002520598
2024-11-15 12:00:00+00:00,3091.750000000001,1851.1272,1074.1492128568148,3190.125868135862
2024-11-15 13:00:00+00:00,3636.7499999999995,2183.786,1267.1804967936882,3763.4112970800647
2024-11-15 14:00:00+00:00,3872.5000000000005,2147.3684,1246.0486472806772,3700.6516181027814
2024-11-15 15:00:00+00:00,4266.249999999999,2748.2043,1594.6944869964007,4736.098182486637
2024-11-15 16:00:00+00:00,5061.500000000002,2971.738,1724.4037565890505,5121.322964397011
2024-11-15 17:00:00+00:00,5245.500000000003,3090.097,1793.0839035796907,5325.2967800628485
2024-11-15 18:00:00+00:00,5795.249999999999,4447.8604,2580.949706496861,7665.186851578652
2024-11-15 19:00:00+00:00,5626.250000000002,4770.8423,2768.3662837918855,8221.797110364316
2024-11-15 20:00:00+00:00,5022.250000000001,5148.5615,2987.544771681692,8872.737366692616
2024-11-15 21:00:00+00:00,4099.999999999999,4707.572,2731.6527085274192,8112.761117263593
2024-11-15 22:00:00+00:00,3406.7499999999986,4681.015,2716.2423474499874,8066.993740700167
2024-11-15 23:00:00+00:00,3839.249999999999,4818.754,2796.167415210584,8304.363952512633
2024-11-16 00:00:00+00:00,4603.999999999999,5549.939,3220.451155736134,9564.448231187302
