number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9246970935866686,0.5373761648651217,0.051376391522068326,16,34,0.09170263921421645,896,59,1.637531284074977e-07,0.02686166589909466,0.6020542319570996,COMPLETE
1,0.95907536761717,0.8413681817111207,0.2566509316162403,7,34,0.0702616298011201,396,96,0.9139739501594399,0.00019987319388995448,0.7008569676148343,COMPLETE
2,0.9794574192939685,0.7769020219531909,0.1544894175013307,5,38,0.12865820622296797,373,83,5.7226212601425646e-08,0.0001058846005931373,0.8721369965324033,COMPLETE
3,0.940338753903908,0.6595635049981499,0.08677289932423239,6,17,0.3402506760131982,567,72,0.0018397170402666945,0.05878281728337846,0.5940555163015908,COMPLETE
4,1.007514942100528,0.5580670679490771,0.15790564924006287,13,50,0.23350980508326452,785,139,1.5847987903117689e-07,7.509989273072054e-08,0.6981284361468114,COMPLETE
5,0.9784297767529723,0.8491683436894474,0.11878679563848238,5,68,0.3736941851648132,589,57,0.0665425153696936,0.12375483641282957,0.8649701347351386,COMPLETE
6,1.0017646819676207,0.7570805167698833,0.13440709146755445,9,63,0.230350059025473,513,31,5.855073072167178e-07,7.34067712018626e-05,0.7316800601343909,COMPLETE
7,0.9613809662408732,0.9589866939801538,0.03447590000308872,11,86,0.29213531013077687,632,25,7.014367340086169e-06,0.017258463706586236,0.7734472865593878,COMPLETE
8,0.9762545247533535,0.9773238774953145,0.020971167769091664,13,74,0.018789244263830107,774,106,2.739771434859339e-06,2.4363852369907336e-08,0.8736082909967895,COMPLETE
9,0.8948297344977605,0.5012150183643174,0.019977946437351762,6,32,0.14745843347119947,460,39,2.4935098138330088e-08,0.004208955288326769,0.8126443711979117,COMPLETE
10,0.8816405821260161,0.6321789992290554,0.010509627831856437,3,10,0.47817340929684854,451,40,0.0001887590498125533,2.8803728817494676e-06,0.9747171891775979,COMPLETE
11,0.8840642000811004,0.6341784072598348,0.010524240935688777,3,12,0.47794824960287596,305,13,0.0001264232512376741,2.3565774218926742e-06,0.986678573819529,COMPLETE
12,0.8813896757057084,0.6407371347630098,0.010851411390027724,3,5,0.4977046405694605,302,15,0.00023646163267764114,1.7826112932451081e-06,0.9518021302352138,COMPLETE
13,0.8820946728655598,0.6533390036252766,0.010156752554598554,3,7,0.48381262115605256,319,10,0.0005509629838662128,8.323051093846084e-07,0.9855158292701134,COMPLETE
14,0.895662651537252,0.5847682827247971,0.016828996866147503,3,21,0.3961364155298881,448,47,0.005880233991730292,1.1234881751396828e-06,0.9331461950950067,COMPLETE
15,0.9078499245320758,0.6895833570199026,0.03315361559727571,9,6,0.43715824504231043,707,25,2.9572792556673167e-05,1.382322078238282e-05,0.9301489107092006,COMPLETE
16,0.9056648638257406,0.7134866121825005,0.014699587883748573,8,49,0.42344817252801437,479,51,0.009111333354347025,2.3909091648014083e-07,0.930861839223813,COMPLETE
17,0.9458252720506065,0.6133075011282985,0.029192112776150927,4,99,0.49753054693463095,999,149,0.00012431992596482192,7.352156208607352e-06,0.9965857175309425,COMPLETE
18,0.9373477411817631,0.8110670475821049,0.05721137171500483,11,21,0.31659685899793244,382,120,1.8937809991900784e-05,0.0010120824054797102,0.5448524988159433,COMPLETE
19,0.9054998668647065,0.7163132032290724,0.013254298429741627,5,25,0.43942592073851605,536,69,0.04948002633464611,1.7824100568725627e-05,0.8165793715673411,COMPLETE
20,0.9153255252047265,0.5985650811771932,0.024734591578822896,7,5,0.3734598048572394,300,37,0.00019403911628495464,1.0067420538851803e-08,0.9137895204637991,COMPLETE
21,0.8785047691823488,0.6595576409415354,0.010343883448616378,3,11,0.49173511125361946,349,11,0.0008736405810698905,4.897316715456219e-07,0.9999779179195494,COMPLETE
22,0.8878843194971097,0.6792630904427238,0.012414738259732373,4,17,0.4606029159114506,390,18,0.00048531523741850743,2.2945203213706443e-07,0.9544538793046733,COMPLETE
23,0.8984750422606127,0.7308438030133313,0.016776852322967366,4,14,0.40895907843065793,428,10,0.0019450133955301388,3.647382728749021e-06,0.9998797800795409,COMPLETE
24,0.8922235443637763,0.6248503463295255,0.010267038347116553,3,26,0.49469220342374154,333,39,2.2342660339966366e-05,0.8033932634092572,0.8984449160423095,COMPLETE
25,0.923709496850997,0.573552156750399,0.04448671970741121,6,41,0.2810656313267104,354,24,0.028313583051398826,2.656401498656439e-07,0.9608276776795698,COMPLETE
26,0.9099326743866701,0.5107469409929692,0.020421012743472224,4,9,0.44986394031214183,498,32,0.0008349598951490991,3.830034267016105e-05,0.8453153965412417,COMPLETE
27,0.9023879840711487,0.695330089627826,0.01456362110933596,7,24,0.1849137146174987,429,47,0.4591257837949774,6.498353951819058e-08,0.9532076070951003,COMPLETE
28,0.9010574921913707,0.9259466452999939,0.012160651794399041,5,43,0.3511687859226977,652,20,2.9971901251187044e-06,8.200660179208705e-07,0.8980908130947061,COMPLETE
29,0.9146901803817066,0.5353116113213654,0.06470133483027515,15,30,0.40712283336850974,356,63,4.314349169471177e-05,0.00030316704533975015,0.6449761874106036,COMPLETE
