Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,medium
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,None
n_estimators,603
learning_rate,0.0851004509123154
num_leaves,37
max_depth,8
min_child_samples,15
subsample,0.9974648499885522
colsample_bytree,0.9915941313297918
reg_alpha,0.0008571352034560903
reg_lambda,3.2147137256795513e-06
min_split_gain,0.31947926778327257
use_base_models_pred_intervals,False
cv_folds_base,40
