number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,1432.0482633102786,0.8407180795098446,False,True,False,False,False,True,True,False,False,False,0.19162717193725248,small,,none,idw,6,True,COMPLETE
1,1404.314726242327,0.07664162720247537,True,True,True,False,True,True,True,False,False,False,0.3597137070904497,small,,small,idw,2,False,COMPLETE
2,2358.751531414669,0.36398578191682585,False,False,False,False,True,True,False,False,True,True,0.22448559296904583,large,12.0,none,mean,0,True,COMPLETE
3,2618.078493776639,0.6511125978920976,False,True,True,False,False,False,True,True,True,True,0.721202137478818,large,1.0,small,capacity,0,True,COMPLETE
4,2127.8288811526113,0.3193709645419513,True,False,True,False,False,True,False,True,True,True,0.9286735707766908,small,6.0,large,distance_n_turbines,6,True,COMPLETE
5,2086.1764000084854,0.1656309639787037,False,False,True,True,False,True,True,False,False,False,0.2070782404331544,large,6.0,large,idw,0,False,COMPLETE
6,3215.1965156707956,0.8742416887007602,False,False,True,True,False,True,False,False,True,False,0.5037231349842727,large,1.0,small,distance_n_turbines,0,True,COMPLETE
7,2787.9031665536927,0.6276208103825541,True,False,True,True,False,True,False,True,False,True,0.0932569131902578,small,1.0,none,mean,2,True,COMPLETE
8,2227.992175929361,0.18150235778451917,True,True,True,True,True,True,False,False,False,True,0.23917121223638727,small,12.0,none,distance_n_turbines,2,True,COMPLETE
9,2554.458275900901,0.2530211725687919,False,False,True,False,True,False,True,True,False,False,0.9401451678656945,none,1.0,large,None,0,True,COMPLETE
10,2357.0360802876608,0.010213017353354142,True,True,False,False,True,False,True,False,False,False,0.4592735903882204,none,,small,max,2,False,COMPLETE
11,1411.8832764664924,0.9998318110487332,True,True,False,False,True,True,True,False,False,False,0.37624067218255597,small,,none,idw,6,False,COMPLETE
12,1445.9909247341348,0.5083532275521003,True,True,False,False,True,True,True,False,False,False,0.40202079175514027,small,,small,distance_capacity,6,False,COMPLETE
13,1411.8832764664924,0.9901561966630514,True,True,False,False,True,True,True,False,False,False,0.6522517573231534,small,,none,idw,6,False,COMPLETE
14,1398.6135011285269,0.01708280130829644,True,True,False,False,True,False,True,False,False,False,0.36304143749502515,small,,small,idw,2,False,COMPLETE
15,1398.6135011285269,0.011268154408888445,True,True,False,False,True,False,True,False,False,False,0.02250172664895078,small,,small,idw,2,False,COMPLETE
16,1772.488378176291,0.10854728911186241,True,True,False,False,True,False,True,False,False,False,0.02978091138654787,none,,small,capacity,2,False,COMPLETE
17,2319.446112740214,0.015047157546574486,True,True,False,False,True,False,True,False,False,False,0.630358312915029,small,,small,max,2,False,COMPLETE
18,2103.851816207954,0.45551305288406724,True,True,False,True,True,False,True,True,True,False,0.02592018926803166,small,6.0,small,distance_capacity,2,False,COMPLETE
19,2002.5183967332753,0.24888137921229625,True,True,False,False,True,False,True,False,False,False,0.7597029578991549,none,12.0,small,None,2,False,COMPLETE
20,1398.6135011285269,0.41615273915359224,True,True,False,False,True,False,True,False,False,False,0.3183936501599938,small,,small,idw,2,False,COMPLETE
21,1398.6135011285269,0.4295928306681756,True,True,False,False,True,False,True,False,False,False,0.2855596596827622,small,,small,idw,2,False,COMPLETE
22,1398.6135011285269,0.6212879965078457,True,True,False,False,True,False,True,False,False,False,0.13068210723552404,small,,small,idw,2,False,COMPLETE
23,1398.6135011285269,0.11112133943952973,True,True,False,False,True,False,True,False,False,False,0.3115984931474449,small,,small,idw,2,False,COMPLETE
24,1398.6135011285269,0.21623548166229634,True,True,False,False,True,False,True,False,False,False,0.5686498385688028,small,,small,idw,2,False,COMPLETE
25,1400.679419164858,0.3081608021620462,True,True,False,False,True,False,True,False,False,False,0.10279037808521817,small,,large,idw,2,False,COMPLETE
26,1304.1823705881957,0.7291649019452294,True,True,False,True,True,False,False,True,True,True,0.46707520272053066,small,,small,idw,2,False,COMPLETE
27,2518.097404948265,0.7273343159480117,True,True,False,True,True,False,False,True,True,True,0.451882471903577,small,6.0,small,max,2,False,COMPLETE
28,2283.7940116967825,0.5589510399166687,True,True,False,True,True,False,False,True,True,True,0.8335096444472405,large,12.0,small,mean,2,False,COMPLETE
29,1284.701077862653,0.7978672509653805,False,True,False,True,False,False,False,True,True,True,0.5411969904795644,none,,large,idw,2,False,COMPLETE
