Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,large
shortwave_lags_option,large
drop_raw_solar_features,False
drop_raw_features,True
spatial_agg_method,idw
lags_target,12
n_estimators,474
learning_rate,0.1642264605829701
max_depth,6
min_child_weight,6
subsample,0.9531591946007578
colsample_bytree,0.6750065916000011
reg_alpha,4.382291167091949e-06
reg_lambda,3.683467964627818e-07
