date,wind_onshore_ampr_actual,wind_onshore_ampr_fitted,wind_onshore_ampr_lower,wind_onshore_ampr_upper
2025-02-05 00:00:00+00:00,,3153.9058035284056,2052.5502210368295,4255.261386019982
2025-02-05 01:00:00+00:00,,2507.581677837319,1406.226095345743,3608.937260328895
2025-02-05 02:00:00+00:00,,2178.793864715558,1077.438282223982,3280.1494472071336
2025-02-05 03:00:00+00:00,,2253.311408980744,1151.9558264891684,3354.66699147232
2025-02-05 04:00:00+00:00,,2132.3864090390616,1031.030826547486,3233.7419915306377
2025-02-05 05:00:00+00:00,,2467.0029422430107,1365.6473597514346,3568.3585247345864
2025-02-05 06:00:00+00:00,,1651.600107956231,550.244525464655,2752.955690447807
2025-02-05 07:00:00+00:00,,1133.8978854796796,32.542302988103984,2235.2534679712553
2025-02-05 08:00:00+00:00,,1064.2764755389876,-37.07910695258852,2165.6320580305637
2025-02-05 09:00:00+00:00,,983.506843275994,-117.84873921558165,2084.86242576757
2025-02-05 10:00:00+00:00,,929.3574354344478,-171.99814705712788,2030.7130179260237
2025-02-05 11:00:00+00:00,,899.7007942318246,-201.6547882597515,2001.0563767234005
2025-02-05 12:00:00+00:00,,482.28586223001,-619.0697202615661,1583.6414447215857
2025-02-05 13:00:00+00:00,,380.615852622137,-720.7397298694386,1481.9714351137131
2025-02-05 14:00:00+00:00,,411.3522196660447,-690.0033628255314,1512.7078021576208
2025-02-05 15:00:00+00:00,,251.96494980936905,-849.3906326822066,1353.3205323009452
2025-02-05 16:00:00+00:00,,341.55480895967503,-759.8007735319006,1442.9103914512511
2025-02-05 17:00:00+00:00,,658.0095230525981,-443.34605943897805,1759.365105544174
2025-02-05 18:00:00+00:00,,678.0418153632045,-423.31376712837164,1779.3973978547804
2025-02-05 19:00:00+00:00,,615.9847363035715,-485.3708461880042,1717.3403187951471
2025-02-05 20:00:00+00:00,,738.646301511867,-362.7092809797091,1840.0018840034431
2025-02-05 21:00:00+00:00,,811.4913711529377,-289.86421133863814,1912.8469536445136
2025-02-05 22:00:00+00:00,,812.9482557590486,-288.4073267325275,1914.3038382506245
2025-02-05 23:00:00+00:00,,918.7429954779966,-182.61258701357883,2020.0985779695725
2025-02-06 00:00:00+00:00,,648.4785884277471,-452.876994063829,1749.8341709193232
2025-02-06 01:00:00+00:00,,625.8569546176623,-475.49862787391385,1727.212537109238
2025-02-06 02:00:00+00:00,,719.665586908834,-381.68999558274163,1821.02116940041
2025-02-06 03:00:00+00:00,,642.8206986626487,-458.5348838289269,1744.1762811542249
2025-02-06 04:00:00+00:00,,927.4532132244819,-173.90236926709395,2028.8087957160578
2025-02-06 05:00:00+00:00,,1353.4392131844968,252.0836306929209,2454.7947956760727
2025-02-06 06:00:00+00:00,,1918.3451317243266,816.9895492327507,3019.7007142159023
2025-02-06 07:00:00+00:00,,1208.1988958168033,106.84331332522743,2309.554478308379
2025-02-06 08:00:00+00:00,,1018.3043854703647,-83.05119702121146,2119.6599679619408
2025-02-06 09:00:00+00:00,,1792.6642862014091,691.3087037098335,2894.0198686929853
2025-02-06 10:00:00+00:00,,1303.0103984764676,201.65481598489168,2404.3659809680435
2025-02-06 11:00:00+00:00,,1282.5947059906553,181.2391234990796,2383.9502884822314
2025-02-06 12:00:00+00:00,,1630.2891340035353,528.9335515119596,2731.6447164951114
