number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,213.88153889117885,0.9883932488865572,False,False,True,False,False,True,False,False,True,True,none,,0.010075374800589966,13,84,0.45456848956359686,485,63,large,0.0002722490019888427,3.6490137284063657e-06,distance_n_turbines,0.770329626370368,6,True,COMPLETE
1,271.0867244450508,0.8409271004850916,True,False,False,False,True,True,True,False,False,True,large,12.0,0.12548656761286356,6,44,0.07285494430803974,943,118,small,0.001037907006376266,9.413308374581348e-07,None,0.7270452673592622,2,True,COMPLETE
2,301.3026711564382,0.9317858416337157,True,True,True,False,False,True,True,False,False,True,small,1.0,0.12621257502142813,14,6,0.47970177065334874,411,41,small,0.0002839331523101714,1.0289274803427691e-08,idw,0.9042331148798715,2,True,COMPLETE
3,266.64025698537006,0.7246524987674432,False,False,True,False,False,True,True,False,True,False,none,1.0,0.04171064830089453,11,70,0.3240056443776667,608,33,small,0.028302160477463367,6.439143726935821e-05,max,0.5474495239327322,0,True,COMPLETE
4,224.7777335381519,0.5769665188398203,True,True,True,True,False,False,True,False,True,False,small,1.0,0.033040862415221445,15,89,0.4277370957093431,364,67,small,0.00034639181419269735,1.214508625681108e-07,max,0.9064597376320553,0,True,COMPLETE
5,215.62922846961635,0.7106054530501917,True,True,True,False,True,True,True,True,True,True,small,,0.012138711008889845,8,49,0.2963285293704368,568,84,small,0.4245991228639867,9.45708781247471e-08,None,0.6063200020050263,0,True,COMPLETE
6,288.10548896602654,0.7589439254410666,False,False,True,False,True,False,False,False,True,False,large,6.0,0.2700629486734603,13,87,0.4359082211659189,414,47,none,0.00010879720787642306,1.9694253718198046e-06,max,0.5550411600086447,6,False,COMPLETE
7,284.3004135478393,0.7273103274170806,True,False,True,False,False,True,True,True,True,False,small,12.0,0.10399599635780998,13,58,0.282784911673912,736,19,large,3.173423197552759e-06,6.660868397217183e-06,distance_capacity,0.7231823695717469,0,True,COMPLETE
8,318.8045115850839,0.5633168166547355,False,False,True,False,True,False,True,True,False,True,none,12.0,0.21338635624475208,13,9,0.4461138776300868,402,56,none,0.09866893341776962,0.020160627115085022,distance_n_turbines,0.991156113778732,0,False,COMPLETE
9,272.61802441709415,0.6865929568816772,True,False,True,True,True,True,True,False,True,False,small,12.0,0.038755318321030255,15,9,0.07543822441776227,559,28,large,0.0034066042932757398,0.1826072687247522,capacity,0.6190339684730259,0,False,COMPLETE
