Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,2
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,distance_capacity
lags_target,
n_estimators,981
learning_rate,0.025394266126101468
num_leaves,105
max_depth,7
min_child_samples,25
subsample,0.9152942999683238
colsample_bytree,0.9334011916954168
reg_alpha,0.10186839087429175
reg_lambda,0.002191803330761302
min_split_gain,0.2634057819398641
