number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,303.6551067605831,none,0.6121825721621098,True,True,False,False,False,False,True,True,True,True,True,,0.017060807895580815,4,6,977,large,0.0005801713106967943,0.057192022141390846,small,distance_n_panels,0.9060830458992799,True,True,COMPLETE
1,244.8093002897311,small,0.6382717330063813,False,False,True,False,True,False,True,True,False,False,True,6.0,0.08155406803861842,7,1,940,none,3.994531542367502e-08,0.0141362595467815,none,mean,0.6157322516958178,True,True,COMPLETE
2,1796.733399385989,small,0.7782299611239667,False,False,False,True,False,True,False,True,False,True,False,1.0,0.16102422631434432,10,6,961,small,0.07074755128486442,8.213088404167222e-07,medium,distance_capacity,0.8993939509058106,False,False,COMPLETE
3,304.1382096155812,large,0.824339372674163,False,True,False,True,False,True,True,True,False,True,True,12.0,0.2899634024134131,9,2,510,large,0.0006297844090732181,0.0001345131140944582,small,distance_capacity,0.8852090564857897,True,True,COMPLETE
4,504.24050042964024,small,0.7119089555533757,False,True,False,True,True,False,False,False,True,True,True,12.0,0.022876500225710663,6,1,812,none,0.3652395069822754,0.012978584466984383,small,idw,0.6082830484731172,False,True,COMPLETE
5,283.9644593753395,small,0.8921112306515071,True,True,False,True,True,False,True,True,False,False,True,12.0,0.016972558726318143,7,3,623,none,0.5510201493120639,7.136631958923945e-08,small,distance_n_panels,0.5173504641298478,True,True,COMPLETE
6,314.15183205008424,none,0.7920569123644154,True,True,True,False,False,False,False,True,True,False,False,1.0,0.07905117957255148,4,5,353,none,0.004018841287340283,9.369045812567042e-07,small,None,0.8529723132628251,True,False,COMPLETE
7,305.2978978225561,medium,0.5332220315788405,False,False,True,True,True,True,True,False,False,True,True,1.0,0.021676836610737757,10,5,578,large,0.0034995824165677657,0.00016518993915607663,small,distance_capacity,0.8737413575796706,False,False,COMPLETE
8,265.0672712121678,none,0.8456185293967948,True,True,False,False,False,True,False,True,True,True,True,1.0,0.057516424206911776,9,3,885,small,0.02990301043919662,3.301109558429439e-06,none,distance_capacity,0.9424682012661654,True,True,COMPLETE
9,292.7339969977837,large,0.9820100160086254,False,True,False,False,True,True,True,True,True,True,True,12.0,0.041678741075669025,10,4,420,none,1.3975461047103673e-08,0.0026886900006525922,large,distance_capacity,0.8911307641595038,True,False,COMPLETE
10,1195.8045920535994,medium,0.6693651189592409,False,False,True,False,True,False,True,False,False,False,False,6.0,0.12009075993500837,6,9,823,none,4.0276587595955605e-07,0.9580855941340041,none,mean,0.7085117174654764,False,True,COMPLETE
11,262.23405501604003,none,0.9014400908696466,True,False,True,False,False,True,False,True,True,False,True,6.0,0.04694215371860508,8,1,784,small,7.696655516171404e-06,5.81466139791313e-06,none,n_panels,0.9876688986723555,True,True,COMPLETE
12,279.0677624267318,none,0.9753516654692405,True,False,True,False,True,True,False,True,True,False,True,6.0,0.03616195339716462,7,1,736,small,2.2387720979652677e-06,3.788643945966228e-05,none,n_panels,0.7467108740196413,True,True,COMPLETE
13,243.55384327031493,small,0.5631993714612575,True,False,True,False,False,False,False,True,False,False,True,6.0,0.08723640082201005,8,8,711,small,7.819745592427295e-06,0.0017388809954611262,none,n_panels,0.9991333303572996,True,True,COMPLETE
14,338.3784616663418,small,0.5286954965112667,False,False,True,False,False,False,False,False,False,False,False,6.0,0.09367219794557065,8,9,713,small,3.96554725302071e-08,0.0018701236999664472,none,mean,0.6492652077469083,True,True,COMPLETE
15,269.6951374021982,small,0.6113295176345656,True,False,True,False,True,False,True,True,False,False,True,6.0,0.01038340595999408,5,8,894,none,1.3272833107645954e-05,0.276138882742244,large,max,0.5267190481231234,True,True,COMPLETE
16,292.03503139728423,small,0.6018084787874007,True,False,True,False,False,False,True,True,False,False,True,,0.1772155417730054,8,7,542,small,2.2316669585084751e-07,0.0021636085150619775,medium,n_panels,0.7913948843933323,True,True,COMPLETE
17,296.1578188261218,small,0.684629361376661,False,False,True,False,True,False,False,True,False,False,True,6.0,0.06999837841191174,3,10,678,none,5.761927709929258e-05,0.04159730855391605,none,capacity,0.6086569359007875,True,True,COMPLETE
18,1186.5321707122175,small,0.5075623611610236,True,False,True,False,True,False,False,False,False,False,False,6.0,0.11987646105458935,7,7,880,small,2.0290913671719026e-07,0.0005248887340847219,none,mean,0.8079030109935265,False,False,COMPLETE
19,512.6090699018371,medium,0.5694987295059952,False,False,True,False,False,False,True,True,False,False,True,6.0,0.27423184252863386,5,8,460,large,1.4757630200335129e-06,0.017258947462154166,none,idw,0.6787991712426747,True,True,COMPLETE
