Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,large
shortwave_lags_option,medium
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,max
lags_target,
n_estimators,646
learning_rate,0.022206022484183432
max_depth,10
min_child_weight,6
subsample,0.8387890630267771
colsample_bytree,0.6332397245132343
reg_alpha,0.17017189975532393
reg_lambda,5.316062603276607e-07
