date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2025-02-13 00:00:00+00:00,,11670.53998091175,11346.349299974429,11994.730661849071
2025-02-13 01:00:00+00:00,,11636.671749022431,11312.481068085108,11960.862429959752
2025-02-13 02:00:00+00:00,,11660.52782195409,11336.33714101677,11984.718502891414
2025-02-13 03:00:00+00:00,,11906.328359152447,11582.137678215126,12230.519040089768
2025-02-13 04:00:00+00:00,,12659.454204525384,12335.263523588063,12983.644885462705
2025-02-13 05:00:00+00:00,,13790.852150992954,13466.661470055631,14115.042831930275
2025-02-13 06:00:00+00:00,,14546.243268227376,14222.052587290054,14870.433949164697
2025-02-13 07:00:00+00:00,,14861.155807350156,14536.965126412835,15185.34648828748
2025-02-13 08:00:00+00:00,,15062.780861718642,14738.59018078132,15386.971542655965
2025-02-13 09:00:00+00:00,,15239.466793600197,14915.276112662874,15563.657474537518
2025-02-13 10:00:00+00:00,,15330.756422883273,15006.56574194595,15654.947103820594
2025-02-13 11:00:00+00:00,,15283.841862576848,14959.651181639527,15608.032543514171
2025-02-13 12:00:00+00:00,,15030.528892606611,14706.338211669288,15354.719573543933
2025-02-13 13:00:00+00:00,,14932.019327793276,14607.828646855955,15256.210008730597
2025-02-13 14:00:00+00:00,,14875.715856475925,14551.525175538602,15199.906537413246
2025-02-13 15:00:00+00:00,,14916.531272664757,14592.340591727436,15240.72195360208
2025-02-13 16:00:00+00:00,,15162.486224164026,14838.295543226704,15486.676905101347
2025-02-13 17:00:00+00:00,,15211.11278941624,14886.922108478917,15535.303470353561
2025-02-13 18:00:00+00:00,,14923.645075834342,14599.45439489702,15247.835756771663
2025-02-13 19:00:00+00:00,,14215.54278290263,13891.352101965309,14539.733463839953
2025-02-13 20:00:00+00:00,,13471.303713693529,13147.113032756208,13795.494394630852
2025-02-13 21:00:00+00:00,,12787.869461800876,12463.678780863553,13112.060142738197
2025-02-13 22:00:00+00:00,,12130.355966801424,11806.165285864103,12454.546647738745
2025-02-13 23:00:00+00:00,,11556.038644695023,11231.8479637577,11880.229325632345
2025-02-14 00:00:00+00:00,,11208.539287737944,10884.34860680062,11532.729968675265
2025-02-14 01:00:00+00:00,,11125.037489872613,10800.846808935292,11449.228170809934
2025-02-14 02:00:00+00:00,,11225.351760639514,10901.161079702193,11549.542441576838
2025-02-14 03:00:00+00:00,,11590.843937651985,11266.653256714664,11915.034618589307
2025-02-14 04:00:00+00:00,,12537.959559158719,12213.768878221397,12862.150240096042
2025-02-14 05:00:00+00:00,,13747.947077944274,13423.756397006951,14072.137758881596
2025-02-14 06:00:00+00:00,,14534.391023699342,14210.20034276202,14858.581704636665
2025-02-14 07:00:00+00:00,,14876.701655514204,14552.510974576882,15200.892336451525
2025-02-14 08:00:00+00:00,,15096.293044011334,14772.102363074013,15420.483724948655
2025-02-14 09:00:00+00:00,,15336.63424719755,15012.443566260226,15660.82492813487
2025-02-14 10:00:00+00:00,,15479.35292347949,15155.162242542166,15803.543604416811
2025-02-14 11:00:00+00:00,,15257.350826494767,14933.160145557444,15581.541507432088
2025-02-14 12:00:00+00:00,,14879.240253277843,14555.049572340522,15203.430934215165
2025-02-14 13:00:00+00:00,,14660.03953776961,14335.848856832288,14984.230218706933
2025-02-14 14:00:00+00:00,,14551.405175192464,14227.214494255142,14875.595856129787
2025-02-14 15:00:00+00:00,,14503.736468318359,14179.545787381036,14827.92714925568
2025-02-14 16:00:00+00:00,,14759.47359532997,14435.282914392648,15083.664276267293
2025-02-14 17:00:00+00:00,,14807.067469329266,14482.876788391943,15131.258150266587
2025-02-14 18:00:00+00:00,,14447.961300174935,14123.770619237614,14772.151981112258
2025-02-14 19:00:00+00:00,,13632.427749508053,13308.237068570732,13956.618430445375
2025-02-14 20:00:00+00:00,,12922.79048446637,12598.599803529049,13246.981165403693
2025-02-14 21:00:00+00:00,,12276.02438934769,11951.83370841037,12600.215070285014
2025-02-14 22:00:00+00:00,,11704.386289312044,11380.195608374723,12028.576970249367
2025-02-14 23:00:00+00:00,,11196.993747846489,10872.803066909166,11521.18442878381
2025-02-15 00:00:00+00:00,,10798.629352474163,10474.438671536842,11122.820033411484
2025-02-15 01:00:00+00:00,,10576.081301351818,10251.890620414495,10900.27198228914
2025-02-15 02:00:00+00:00,,10529.951742633566,10205.761061696245,10854.14242357089
2025-02-15 03:00:00+00:00,,10648.565458320285,10324.374777382962,10972.756139257606
2025-02-15 04:00:00+00:00,,10908.695735103463,10584.505054166142,11232.886416040785
2025-02-15 05:00:00+00:00,,11495.230387499127,11171.039706561804,11819.421068436448
2025-02-15 06:00:00+00:00,,12354.712691206701,12030.52201026938,12678.903372144023
2025-02-15 07:00:00+00:00,,13002.812294920575,12678.621613983254,13327.002975857897
2025-02-15 08:00:00+00:00,,13313.880850462412,12989.69016952509,13638.071531399733
2025-02-15 09:00:00+00:00,,13464.631988630868,13140.441307693547,13788.822669568191
2025-02-15 10:00:00+00:00,,13569.788964696514,13245.598283759191,13893.979645633835
2025-02-15 11:00:00+00:00,,13284.555613949391,12960.36493301207,13608.746294886712
2025-02-15 12:00:00+00:00,,12953.873214765055,12629.682533827734,13278.063895702377
2025-02-15 13:00:00+00:00,,12652.746757902449,12328.556076965127,12976.937438839772
2025-02-15 14:00:00+00:00,,12558.720976201672,12234.530295264349,12882.911657138993
2025-02-15 15:00:00+00:00,,12709.900684604374,12385.710003667053,13034.091365541697
2025-02-15 16:00:00+00:00,,13089.7596324226,12765.568951485278,13413.950313359921
2025-02-15 17:00:00+00:00,,13373.318862934186,13049.128181996864,13697.509543871509
2025-02-15 18:00:00+00:00,,12906.798647456453,12582.607966519132,13230.989328393774
2025-02-15 19:00:00+00:00,,12287.700304393777,11963.509623456455,12611.8909853311
2025-02-15 20:00:00+00:00,,11661.910675276114,11337.719994338793,11986.101356213436
