model,forecast_time,metric_value,average_metric
XGBoost,2024-10-31T00:00:00+00:00,908.1822952877841,1219.4201734601318
XGBoost,2024-11-07T00:00:00+00:00,1315.4148457450347,1219.4201734601318
XGBoost,2024-11-14T00:00:00+00:00,1176.0444427319194,1219.4201734601318
XGBoost,2024-11-21T00:00:00+00:00,1690.1564562420067,1219.4201734601318
XGBoost,2024-11-28T00:00:00+00:00,1007.3028272939141,1219.4201734601318
ElasticNet,2024-10-31T00:00:00+00:00,968.6840012180612,1233.8380577721423
ElasticNet,2024-11-07T00:00:00+00:00,1128.3372130939513,1233.8380577721423
ElasticNet,2024-11-14T00:00:00+00:00,1251.7611950748676,1233.8380577721423
ElasticNet,2024-11-21T00:00:00+00:00,1788.084696751193,1233.8380577721423
ElasticNet,2024-11-28T00:00:00+00:00,1032.3231827226382,1233.8380577721423
"ensemble[XGBoost](XGBoost,ElasticNet)",2024-10-31T00:00:00+00:00,901.2332336306702,1228.7031890559751
"ensemble[XGBoost](XGBoost,ElasticNet)",2024-11-07T00:00:00+00:00,1332.3860269281104,1228.7031890559751
"ensemble[XGBoost](XGBoost,ElasticNet)",2024-11-14T00:00:00+00:00,1165.7094477842172,1228.7031890559751
"ensemble[XGBoost](XGBoost,ElasticNet)",2024-11-21T00:00:00+00:00,1784.1950083840663,1228.7031890559751
"ensemble[XGBoost](XGBoost,ElasticNet)",2024-11-28T00:00:00+00:00,959.9922285528112,1228.7031890559751
"ensemble[ElasticNet](XGBoost,ElasticNet)",2024-10-31T00:00:00+00:00,996.0007738342912,1313.900860725722
"ensemble[ElasticNet](XGBoost,ElasticNet)",2024-11-07T00:00:00+00:00,1190.4662407101266,1313.900860725722
"ensemble[ElasticNet](XGBoost,ElasticNet)",2024-11-14T00:00:00+00:00,1590.616771877814,1313.900860725722
"ensemble[ElasticNet](XGBoost,ElasticNet)",2024-11-21T00:00:00+00:00,1796.294839664161,1313.900860725722
"ensemble[ElasticNet](XGBoost,ElasticNet)",2024-11-28T00:00:00+00:00,996.1256775422171,1313.900860725722
Overall Average,Average,1248.9655702534928,1248.9655702534928
