date,load_rte_actual,load_rte_fitted,load_rte_lower,load_rte_upper
2025-07-09 00:00:00+00:00,,37679.06084555897,36349.0008541277,39009.12083699024
2025-07-09 01:00:00+00:00,,36126.76425904764,34796.70426761637,37456.82425047891
2025-07-09 02:00:00+00:00,,35262.93917361185,33932.87918218058,36592.99916504312
2025-07-09 03:00:00+00:00,,36780.02567872033,35449.96568728906,38110.0856701516
2025-07-09 04:00:00+00:00,,39870.73551339046,38540.67552195919,41200.795504821726
2025-07-09 05:00:00+00:00,,42192.94929333131,40862.88930190004,43523.00928476258
2025-07-09 06:00:00+00:00,,44966.70255076251,43636.64255933124,46296.76254219378
2025-07-09 07:00:00+00:00,,47133.578244914635,45803.518253483366,48463.638236345905
2025-07-09 08:00:00+00:00,,48170.32679489947,46840.2668034682,49500.38678633074
2025-07-09 09:00:00+00:00,,48808.65321939018,47478.59322795891,50138.71321082145
2025-07-09 10:00:00+00:00,,49736.4542085802,48406.39421714893,51066.51420001147
2025-07-09 11:00:00+00:00,,48575.810142589864,47245.750151158594,49905.87013402113
2025-07-09 12:00:00+00:00,,47565.23729848889,46235.177307057624,48895.29728992016
2025-07-09 13:00:00+00:00,,46070.35034927362,44740.29035784235,47400.41034070489
2025-07-09 14:00:00+00:00,,45242.97164054207,43912.9116491108,46573.03163197334
2025-07-09 15:00:00+00:00,,44855.136919001976,43525.076927570706,46185.196910433246
2025-07-09 16:00:00+00:00,,45747.478642108785,44417.418650677515,47077.538633540054
2025-07-09 17:00:00+00:00,,45834.83670910623,44504.77671767496,47164.8967005375
2025-07-09 18:00:00+00:00,,45393.87130055844,44063.81130912718,46723.93129198971
2025-07-09 19:00:00+00:00,,43327.47054909496,41997.41055766369,44657.530540526226
2025-07-09 20:00:00+00:00,,44496.50503947007,43166.4450480388,45826.565030901336
2025-07-09 21:00:00+00:00,,43980.69102432983,42650.631032898564,45310.7510157611
2025-07-09 22:00:00+00:00,,40708.89404255561,39378.83405112434,42038.954033986876
2025-07-09 23:00:00+00:00,,38590.15544579394,37260.09545436267,39920.21543722521
2025-07-10 00:00:00+00:00,,36838.476392754135,35508.416401322866,38168.53638418541
2025-07-10 01:00:00+00:00,,35461.107688540185,34131.047697108916,36791.16767997145
2025-07-10 02:00:00+00:00,,34450.39607321969,33120.33608178842,35780.45606465095
2025-07-10 03:00:00+00:00,,35470.94990844082,34140.889917009554,36801.00989987209
2025-07-10 04:00:00+00:00,,37844.591974953124,36514.531983521854,39174.651966384394
2025-07-10 05:00:00+00:00,,40933.73033347949,39603.67034204822,42263.79032491076
2025-07-10 06:00:00+00:00,,43771.20715120393,42441.14715977266,45101.2671426352
2025-07-10 07:00:00+00:00,,45507.77762915591,44177.71763772464,46837.83762058718
2025-07-10 08:00:00+00:00,,47053.77657959865,45723.71658816738,48383.83657102992
2025-07-10 09:00:00+00:00,,47747.9817118687,46417.92172043743,49078.04170329997
2025-07-10 10:00:00+00:00,,49339.378150429446,48009.318158998176,50669.438141860715
2025-07-10 11:00:00+00:00,,49169.287378883215,47839.227387451945,50499.347370314485
2025-07-10 12:00:00+00:00,,47656.20174744175,46326.14175601048,48986.26173887302
2025-07-10 13:00:00+00:00,,46613.718302632704,45283.65831120144,47943.77829406397
2025-07-10 14:00:00+00:00,,46741.15035741933,45411.09036598806,48071.210348850596
