date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2024-12-31 00:00:00+00:00,9551.25,9999.570144257963,9480.70905207011,10517.920828981414
2024-12-31 01:00:00+00:00,9442.75,10154.08628008308,9636.669531312746,10673.286041367463
2024-12-31 02:00:00+00:00,9450.25,10536.596567714098,10019.181577096826,11055.204631361954
2024-12-31 03:00:00+00:00,9526.5,11118.933239061673,10601.429343352609,11637.284303542936
2024-12-31 04:00:00+00:00,9662.0,11831.007298092241,11314.064498951171,12349.154296645112
2024-12-31 05:00:00+00:00,9827.25,12616.525150204157,12099.451184739737,13135.331795852511
2024-12-31 06:00:00+00:00,10021.25,13407.745863759623,12891.000114360191,13926.656602086481
2024-12-31 07:00:00+00:00,10430.0,14152.330737156431,13634.308109533871,14670.402093307042
2024-12-31 08:00:00+00:00,10890.25,14769.555297188994,14251.466388795583,15288.364768161278
2024-12-31 09:00:00+00:00,11328.25,15160.287198906984,14641.102418888355,15678.73472149987
2024-12-31 10:00:00+00:00,11827.75,15326.957929223277,14808.653408217899,15845.485270153618
2024-12-31 11:00:00+00:00,11884.75,15308.421140367012,14791.78397789853,15826.45110988905
2024-12-31 12:00:00+00:00,11373.0,15175.049579797142,14657.514938799779,15693.444211499294
2024-12-31 13:00:00+00:00,10889.75,15006.640719670759,14488.438647143292,15526.169821579026
2024-12-31 14:00:00+00:00,10878.0,14925.055954954067,14406.330427072588,15444.20712773571
2024-12-31 15:00:00+00:00,11395.25,14946.376061901445,14428.967477018985,15465.745314927268
2024-12-31 16:00:00+00:00,11977.0,14951.519718590256,14433.246336538064,15471.365698435084
2024-12-31 17:00:00+00:00,11946.25,14781.159032851312,14263.472519613357,15301.007768706902
2024-12-31 18:00:00+00:00,11518.75,14391.170394232866,13873.197098885154,14911.179798671521
2024-12-31 19:00:00+00:00,11205.0,13814.56371709657,13295.5788337431,14333.999022027881
2024-12-31 20:00:00+00:00,11032.5,13156.322917876445,12637.678189438731,13675.802143619014
2024-12-31 21:00:00+00:00,10892.25,12553.055051260086,12034.592742405728,13072.424351650678
2024-12-31 22:00:00+00:00,10886.5,12142.492776386516,11624.456386969152,12661.382097278605
2024-12-31 23:00:00+00:00,10256.25,11920.775878777456,11403.10459057397,12438.913187850769
2025-01-01 00:00:00+00:00,10046.5,11661.37206420935,11142.278593620269,12179.441856208103
2025-01-01 01:00:00+00:00,10092.75,11454.275494819029,10935.600998229678,11972.635860484703
2025-01-01 02:00:00+00:00,9691.25,11353.329443213357,10834.294304689087,11871.840821822047
2025-01-01 03:00:00+00:00,9677.5,11351.521958627514,10832.798044313919,11870.323862321728
2025-01-01 04:00:00+00:00,9485.25,11483.023221054711,10963.994328387143,12001.483937829718
2025-01-01 05:00:00+00:00,9305.0,11752.475315636264,11233.921932910212,12271.033407491652
2025-01-01 06:00:00+00:00,9535.75,12147.70907333376,11629.507826308958,12666.651374640913
2025-01-01 07:00:00+00:00,10034.75,12693.480827278841,12174.484949095619,13212.8438289856
2025-01-01 08:00:00+00:00,10690.0,13233.344897106841,12714.821744635003,13751.916157738426
2025-01-01 09:00:00+00:00,11102.25,13624.958114689016,13105.661771124098,14143.705986536144
2025-01-01 10:00:00+00:00,11642.75,13806.488362138998,13288.45400680394,14324.03645510223
2025-01-01 11:00:00+00:00,11844.0,13773.663366403738,13254.992122575022,14292.95728477213
2025-01-01 12:00:00+00:00,11568.25,13585.805642526275,13067.329421011998,14103.862964558397
2025-01-01 13:00:00+00:00,11612.5,13319.333081968642,12800.988754018175,13836.929261726953
2025-01-01 14:00:00+00:00,11971.5,13123.022401501858,12604.417302102947,13641.54718454042
2025-01-01 15:00:00+00:00,12493.0,13041.44812519028,12522.54703403364,13561.021149782819
2025-01-01 16:00:00+00:00,12554.0,12979.346409692258,12460.555406211428,13498.649387321795
2025-01-01 17:00:00+00:00,12615.25,12822.193178237989,12303.160203154599,13341.269298749045
2025-01-01 18:00:00+00:00,12267.5,12523.793547505626,12005.216988303308,13040.815456219821
2025-01-01 19:00:00+00:00,11640.25,12080.45728626761,11562.009133229503,12598.495474094832
2025-01-01 20:00:00+00:00,11163.5,11503.61106602352,10984.755617067096,12022.866200917031
2025-01-01 21:00:00+00:00,10818.5,10906.861887680683,10388.04519669267,11424.509699177792
2025-01-01 22:00:00+00:00,10113.25,10368.378390881388,9850.503168313506,10884.975405899046
2025-01-01 23:00:00+00:00,9922.0,9972.707927380381,9454.360541951597,10489.45033964554
2025-01-02 00:00:00+00:00,9406.5,9940.710407257071,9421.699810147626,10459.15146695569
2025-01-02 01:00:00+00:00,9032.5,10175.32886795947,9655.828844125048,10693.23494105953
2025-01-02 02:00:00+00:00,9341.0,10587.30423856478,10069.13446683883,11104.933804201597
2025-01-02 03:00:00+00:00,9565.0,11110.677555660059,10592.89256275,11628.952504439028
2025-01-02 04:00:00+00:00,10094.5,11694.803060848406,11176.701404171365,12213.425545434653
2025-01-02 05:00:00+00:00,10997.0,12384.377049733417,11865.410739501473,12902.426421144934
2025-01-02 06:00:00+00:00,11872.25,13131.347514690024,12613.473185471881,13648.861155313502
2025-01-02 07:00:00+00:00,12387.5,13851.727394405701,13333.3276498407,14369.691030253458
2025-01-02 08:00:00+00:00,12664.25,14486.994792166352,13969.024742965865,15005.657159791937
2025-01-02 09:00:00+00:00,13151.25,14940.299298599759,14421.819653390921,15457.094470713359
2025-01-02 10:00:00+00:00,13249.75,15165.365962828284,14647.661467735761,15683.001600116426
2025-01-02 11:00:00+00:00,13388.0,15198.853315692684,14681.8320474752,15715.821099987328
