number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,708.8310947249839,medium,0.8945005152301064,False,True,False,False,False,True,True,True,False,True,False,True,False,False,True,True,True,0.044931315131403096,7,10,890,medium,0.0005778648049092782,5.781959132534544e-06,short,distance_energy,0.7538209374836291,none,True,COMPLETE
1,590.3384415933548,medium,0.5803240417418487,True,False,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,0.07901405859718452,4,6,785,medium,8.944042014328188e-07,0.01883644291709731,none,distance_energy,0.5745646300189008,none,False,COMPLETE
2,676.3593854988852,none,0.9321280512384411,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,0.21489534769742613,10,1,830,none,7.318045757741024e-07,0.00036041467642433206,short,distance_energy,0.5612864725223331,medium,False,COMPLETE
3,604.7148254049168,medium,0.5712841371394095,True,True,False,True,False,True,True,False,True,False,False,False,True,True,False,False,False,0.022849643784352697,3,10,392,small,1.752211152981407e-05,0.3385991449152276,long,energy,0.8162926179302162,none,False,COMPLETE
4,694.1723859209563,small,0.8596885264511368,True,False,True,True,True,False,True,False,False,True,False,True,True,True,False,False,False,0.018910318695535187,9,7,728,medium,6.759817135107797e-08,0.0076429788608065275,short,population,0.8148026032249285,none,False,COMPLETE
5,663.2842540152191,none,0.9299654948125593,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,0.044600738193618615,5,3,584,none,3.005475393028905e-08,9.8939047586182e-05,short,distance_population,0.5029313892180791,medium,False,COMPLETE
6,756.7717246358844,small,0.6837955211648732,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,True,0.1922541115332048,9,9,358,none,2.6003397825712746e-06,0.00036908073759234,long,energy,0.6405707876241304,none,True,COMPLETE
7,725.3402426833308,small,0.695905431515105,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,0.23617636649465074,8,4,835,small,3.843140740852952e-05,0.00019370912997788045,short,energy,0.8513107528294936,none,True,COMPLETE
8,669.2052601390031,medium,0.8131364607607681,False,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,True,0.14446242286357502,4,4,868,none,0.02729963346379372,1.347389942013481e-08,short,idw,0.6119517938179446,none,True,COMPLETE
9,652.7636094841431,none,0.6820220290086279,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,0.025019953133726378,4,4,493,small,3.657425737499997e-08,0.02997924822095516,long,distance_energy,0.6803382766780215,small,False,COMPLETE
10,614.823478502936,medium,0.5088487364548329,True,True,True,False,True,True,False,True,False,True,False,True,False,True,True,True,False,0.08939352475696317,6,7,654,medium,0.0022702214547304722,0.6906014516410036,none,max,0.9908442233883789,small,False,COMPLETE
11,604.0605757237836,medium,0.5411015943067083,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,0.010021111867429072,3,8,329,small,2.451653053754243e-05,0.43135665237617704,none,None,0.9251534836340207,none,False,COMPLETE
12,564.5835282955462,medium,0.5787304795173647,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,0.011394654562447419,3,7,981,medium,2.3426871673457772e-06,0.023980503576529758,none,None,0.9808174710143962,none,False,COMPLETE
13,598.169520658299,medium,0.6119459955902433,True,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,0.08400343836476074,5,6,983,medium,1.347667540410643e-06,0.019177990779440306,none,None,0.9997301474943101,small,False,COMPLETE
14,564.7340648121991,medium,0.6105790985917715,True,False,True,True,True,True,False,True,False,True,False,True,False,True,True,True,False,0.010430766603034195,3,6,979,medium,0.5101255642869548,0.0042866110290403665,none,mean,0.705494525588472,none,False,COMPLETE
15,585.0607549987075,medium,0.7653604103259639,True,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,0.010648180363389971,3,8,1000,medium,0.8045115954138304,4.340548380177411e-06,none,mean,0.7155993009845403,medium,False,COMPLETE
16,617.3260862511257,medium,0.6360750413995075,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,0.015560305355596453,6,5,911,medium,0.5872948979702459,0.004033682041090989,none,mean,0.8904450204354518,none,False,COMPLETE
17,622.2546482252529,medium,0.501954586698846,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,True,False,0.03265909858915185,5,2,726,medium,0.00420319567757618,0.00165788537108158,none,None,0.7596758834946445,none,False,COMPLETE
18,618.0098806823038,small,0.7347444879990961,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,False,0.014842937918188609,3,7,943,medium,0.02428269678981294,1.705867626131754e-05,none,mean,0.9309702690781778,medium,True,COMPLETE
19,643.1398604287745,none,0.6322336457186738,True,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,0.013139980446313697,7,5,571,medium,0.0002783660492583762,3.99386963549606e-07,none,max,0.677971963607346,small,False,COMPLETE
