date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2025-04-23 00:00:00+00:00,,-23.274505391126013,-1648.1263160427152,1598.59687866452
2025-04-23 01:00:00+00:00,,76.92952086172613,-1543.9553075287017,1705.7836100741629
2025-04-23 02:00:00+00:00,,170.23219083558388,-1451.6525918890893,1792.9284864360225
2025-04-23 03:00:00+00:00,,219.6984155273865,-1405.80914755581,1843.3099847511253
2025-04-23 04:00:00+00:00,,129.91887439646484,-1501.8495167864871,1746.02968340208
2025-04-23 05:00:00+00:00,,1107.9536103549453,-517.2926308773372,2728.3550540844417
2025-04-23 06:00:00+00:00,,2230.126707385208,598.4522561216661,3850.961263603461
2025-04-23 07:00:00+00:00,,4918.488659898287,3296.4010964027775,6546.962930384905
2025-04-23 08:00:00+00:00,,7154.688236566104,5535.71228932267,8783.43738568487
2025-04-23 09:00:00+00:00,,8415.264788045453,6791.584559738674,10045.666752792262
2025-04-23 10:00:00+00:00,,6661.601663937177,5038.6253411870075,8289.908987054449
2025-04-23 11:00:00+00:00,,6379.472567472138,4751.143786068741,8005.703180255239
2025-04-23 12:00:00+00:00,,7443.582208054033,5824.246825865363,9073.877236301767
2025-04-23 13:00:00+00:00,,5981.401414296832,4353.7518780235805,7606.076520972194
2025-04-23 14:00:00+00:00,,4279.269975496767,2648.7312100033964,5908.087953556089
2025-04-23 15:00:00+00:00,,3356.125259001995,1728.874768604783,4986.63177559262
2025-04-23 16:00:00+00:00,,2613.055994503156,985.6032136289675,4236.444730918136
2025-04-23 17:00:00+00:00,,856.8484956057196,-781.5992425603504,2483.092810190581
2025-04-23 18:00:00+00:00,,-10.864538741793694,-1642.70379290846,1608.1511663571043
2025-04-23 19:00:00+00:00,,-84.84465236122855,-1722.395000682895,1535.185679137274
2025-04-23 20:00:00+00:00,,70.03837903393719,-1555.1851728150436,1691.6307626745456
2025-04-23 21:00:00+00:00,,354.89710797502175,-1267.9315969470786,1978.6689917510937
2025-04-23 22:00:00+00:00,,428.1704888975512,-1198.379932928956,2050.539600256717
2025-04-23 23:00:00+00:00,,442.30427610290576,-1185.4399848944067,2063.401893142621
2025-04-24 00:00:00+00:00,,87.08910193541328,-1536.7485901247815,1711.9047919754744
2025-04-24 01:00:00+00:00,,160.52254927091712,-1457.0863136696166,1788.713440275369
2025-04-24 02:00:00+00:00,,244.754989895182,-1378.8917951854733,1870.2984662606352
2025-04-24 03:00:00+00:00,,354.2973563487858,-1266.2634207994224,1981.6893265546296
2025-04-24 04:00:00+00:00,,340.68012696889923,-1281.3047881834905,1966.0460439623657
2025-04-24 05:00:00+00:00,,1296.4488785699532,-331.95908062577564,2917.661582269695
2025-04-24 06:00:00+00:00,,2227.547580354785,603.3934310792652,3854.4842863199447
2025-04-24 07:00:00+00:00,,3566.3388194924664,1940.7123191264766,5188.787898491217
2025-04-24 08:00:00+00:00,,5301.440811354238,3678.939723868629,6925.507663870623
2025-04-24 09:00:00+00:00,,6434.801018677577,4806.273612934388,8057.088941939472
2025-04-24 10:00:00+00:00,,6537.785235206751,4911.368925390326,8162.767923737816
2025-04-24 11:00:00+00:00,,6425.276371463819,4800.362762871337,8050.9140500909725
2025-04-24 12:00:00+00:00,,6005.2285602863685,4379.810167717604,7630.513605238741
2025-04-24 13:00:00+00:00,,5340.7460260420985,3715.107122515915,6985.171310342903
2025-04-24 14:00:00+00:00,,4814.3001921111445,3185.9814304808588,6453.354130114802
2025-04-24 15:00:00+00:00,,3412.8308247892073,1790.9318605535307,5051.456241037895
2025-04-24 16:00:00+00:00,,2219.5041823931606,595.9083517549054,3856.6746145486827
2025-04-24 17:00:00+00:00,,920.5088966651265,-708.654470778944,2559.746182648321
2025-04-24 18:00:00+00:00,,204.24722912320635,-1417.3517691806715,1830.2944978450535
2025-04-24 19:00:00+00:00,,185.85663411293217,-1435.9261684908674,1813.404059253885
2025-04-24 20:00:00+00:00,,205754535.16631916,16462238.346565487,447064483.00496477
2025-04-24 21:00:00+00:00,,146707940.92971405,-40311002.98707381,332648069.6034701
2025-04-24 22:00:00+00:00,,205754789.02865025,16462494.038212074,447064727.03390235
2025-04-24 23:00:00+00:00,,446.97294065363144,-1174.7910886899003,2073.3457996675384
2025-04-25 00:00:00+00:00,,146707866.05790794,-40311064.6698966,332647988.7174614
2025-04-25 01:00:00+00:00,,284.69318205145146,-1335.0970704066458,1911.5006453821934
2025-04-25 02:00:00+00:00,,348.1142817730654,-1271.8418795245575,1975.3322739462794
2025-04-25 03:00:00+00:00,,402.31456363109646,-1217.7011998944122,2028.273883042263
2025-04-25 04:00:00+00:00,,405.80816109307375,-1215.4637666977264,2032.4323114025976
2025-04-25 05:00:00+00:00,,1209.7034895286351,-417.32714318451326,2832.9385525364605
2025-04-25 06:00:00+00:00,,1823.1068867290749,195.90984398302407,3447.3056350593433
2025-04-25 07:00:00+00:00,,3527.9300270707454,1905.9208053794546,5153.599508983445
2025-04-25 08:00:00+00:00,,5058.299435167044,3430.734405344703,6681.085560463864
2025-04-25 09:00:00+00:00,,6404.553739971565,4773.977326821553,8039.428833986169
2025-04-25 10:00:00+00:00,,7222.829109909158,5595.860036017537,8869.06419564876
2025-04-25 11:00:00+00:00,,8157.565100435331,6528.534474059679,9806.23487790894
2025-04-25 12:00:00+00:00,,8184.535270034394,6563.51455280717,9832.43645143104
2025-04-25 13:00:00+00:00,,5919.772742136722,4287.513856437316,7552.217941325829
2025-04-25 14:00:00+00:00,,5710.2261781292655,4086.4416415882806,7346.005757238328
