Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,6
lags_choice,none
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,916
learning_rate,0.021083464550528893
num_leaves,133
max_depth,3
min_child_samples,33
subsample,0.6101451821540452
colsample_bytree,0.6437812787259688
reg_alpha,0.060833920132599105
reg_lambda,0.005700703957223093
min_split_gain,0.1310088266886484
