number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1406.025687348637,medium,0.7482040544378342,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,0.011094441937140726,8,10,814,medium,1.4606354370371857e-08,0.0007918554093515591,none,distance_population,0.591661408374581,small,True,COMPLETE
1,1565.2492688144514,medium,0.8424781604936833,True,True,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,0.17025644517692237,6,4,420,small,3.7531076061140225e-05,0.08159801613704522,long,population,0.6359148305962579,small,True,COMPLETE
2,1485.5653412531165,medium,0.5690587448730688,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,True,True,0.02765103725169999,6,2,842,none,0.0010499732582323464,5.967211338338601e-06,short,None,0.7087454522577259,small,True,COMPLETE
3,1227.0836193307575,medium,0.6465934443650287,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,False,True,0.023269587077306798,7,3,789,small,5.227578621966735e-07,0.0005188095618760151,none,distance_energy,0.5578544232139666,none,False,COMPLETE
4,1134.9165302145316,medium,0.583290118427908,True,True,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True,0.028921929589423166,10,9,628,medium,3.668075369544981e-07,0.0002845169734034387,none,max,0.8592527448867731,small,False,COMPLETE
5,1445.5583868798215,none,0.9272832199818406,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,0.0446802629100411,7,8,366,small,0.00015150849022871278,0.0008318457150355781,none,None,0.6757623522607733,medium,False,COMPLETE
6,1345.4788197259784,small,0.6408485134578341,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,0.03444786807844932,5,4,708,medium,0.1533507083021924,0.004015446484911535,none,distance_population,0.6896789458769561,none,False,COMPLETE
7,1565.7526293319424,medium,0.9215058355825063,False,True,True,False,False,True,False,False,True,True,False,False,False,True,True,True,True,0.024094154145344635,10,5,930,none,2.401370831835055e-05,1.2755734818702886e-08,long,population,0.9299460068041869,medium,True,COMPLETE
8,1402.1897182893842,small,0.8168260802058155,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,0.059252592328409216,6,2,743,none,2.3427594635771656e-06,0.0006145880926296248,none,None,0.7328122239013061,medium,False,COMPLETE
9,1291.702597038546,medium,0.9787259161995567,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,0.14948036769871278,4,8,745,small,1.0243019861966248e-06,1.0001300191856575e-05,long,mean,0.8701667693789663,medium,True,COMPLETE
10,1123.953949344264,none,0.5158197235169836,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.08434258711694015,10,7,542,medium,2.069029080542995e-08,0.8438969785623041,short,max,0.828729964796318,small,False,COMPLETE
11,1125.7124512492971,none,0.5147265669509631,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.09284354703022055,10,7,540,medium,1.206862123779178e-08,0.8556859949420308,short,max,0.8304589731441346,small,False,COMPLETE
12,1123.146071071102,none,0.517119929662507,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.09236196387482444,9,7,544,medium,1.1958003962530429e-08,0.495400039150075,short,max,0.7974402847281007,small,False,COMPLETE
13,1127.055109061084,none,0.5011036638720918,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.0912144558333339,9,6,510,medium,5.629912991050778e-08,0.5043215260871382,short,max,0.795464361991806,small,False,COMPLETE
14,1312.2220564055533,none,0.686532598039528,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.1131743861128269,8,6,589,medium,0.021239639746849486,0.033681052046528714,short,idw,0.9571889337220425,small,False,COMPLETE
15,1252.4488526453606,none,0.5665052484975619,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.25563321242793585,9,7,300,medium,8.967123814690083e-08,0.03532585291266379,short,energy,0.7696701124211156,small,False,COMPLETE
16,1155.0754591181503,none,0.7419277418820807,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.07443263047268006,3,10,490,medium,4.5528924851142095e-06,3.137721226659579e-08,short,max,0.8993907693985075,none,False,COMPLETE
17,1252.5156958992327,none,0.6162118152350704,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.26219018223420687,9,8,440,medium,0.0020555455178976304,0.12540080669509973,short,max,0.9895622142413096,small,False,COMPLETE
18,1220.8166327901179,none,0.538119106965927,True,True,False,False,True,False,False,True,False,True,True,True,False,False,True,False,False,0.14871313050164167,8,5,587,medium,1.0313964113461783e-07,0.007806449185419786,short,energy,0.5058172123716036,small,False,COMPLETE
19,1340.2608913333445,small,0.6911153486711338,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,False,False,0.054444520250582204,9,7,660,none,1.1647317870730779e-08,8.873541560820419e-06,short,idw,0.7848465123523582,none,False,COMPLETE
