number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,615.22121593274,0.9739718193164874,True,False,False,False,True,True,False,False,True,False,large,0.06842357118449179,15,52,0.04479237946341447,584,79,small,0.025786268137404075,0.025988762643199197,idw,0.7813441254735811,6,True,True,COMPLETE
1,609.6326068179851,0.9175875234696835,True,False,True,True,True,True,True,True,True,True,small,0.011272796163399887,6,82,0.12389168627198183,766,130,small,2.170957216933939e-08,2.0258648016742023e-06,distance_capacity,0.8180939175770079,2,True,False,COMPLETE
2,633.125921159315,0.5496046941716373,True,True,False,True,False,False,False,True,True,False,small,0.011672212910998955,10,63,0.40187860785911467,364,79,none,9.120364362330276e-08,2.0471075181202896e-08,None,0.9255910618634101,2,True,False,COMPLETE
3,641.0360431111993,0.8994936241607523,True,True,False,True,True,True,False,True,False,True,large,0.11051940637614696,14,37,0.1300438611684004,648,61,small,2.5892775343775768e-06,1.0538800926300542e-06,idw,0.7574068601832035,0,False,True,COMPLETE
4,627.1470806446238,0.9977026628130606,False,False,False,True,True,True,False,False,False,True,none,0.018815681696221585,9,26,0.3446967561440764,513,28,none,0.001972773624102503,1.0309442135450654e-07,max,0.584223215144478,2,True,True,COMPLETE
5,582.3331808081317,0.7043791368926077,False,True,True,True,True,True,False,False,True,True,none,0.12904755409088628,9,96,0.36688913332006207,344,109,none,9.230328064889656e-07,3.100260538691227e-07,distance_n_turbines,0.5660031465766537,2,False,False,COMPLETE
6,648.4401801891098,0.9207134765584133,True,True,True,False,True,False,False,True,True,False,large,0.012234882077648083,10,62,0.013023735141567405,320,108,large,3.029958263795468e-08,0.026593148358279365,None,0.5261364784594842,6,False,True,COMPLETE
7,651.5309088470327,0.9331836023417541,True,True,False,False,False,False,True,False,True,False,none,0.17051662712835927,13,72,0.13021125939708894,809,40,large,0.00014238433546364063,0.0007862770027756574,capacity,0.6067486491796925,2,False,True,COMPLETE
8,584.2286324073074,0.802341106614648,False,False,True,True,False,True,False,False,True,False,none,0.11030726697886727,16,40,0.46782169904092397,905,17,large,0.0005551327893098925,0.0008856135343210418,distance_n_turbines,0.8707913522158035,6,False,False,COMPLETE
9,665.734279248388,0.9538793369305436,True,True,True,False,False,True,False,True,False,False,none,0.03866839894937952,6,58,0.081656443983117,664,97,large,9.021191744129024e-07,9.798305809795753e-08,max,0.5345751158565091,6,True,True,COMPLETE
10,625.9530315890121,0.6204327745619012,False,True,True,True,True,False,True,False,False,True,none,0.28223520150855164,3,93,0.2772042882692674,455,146,none,0.8753291667361986,1.725650307823934e-05,distance_n_turbines,0.6532539724374409,0,False,False,COMPLETE
11,601.5671075101508,0.7725721588320409,False,False,True,True,False,True,False,False,True,True,none,0.09246404873207602,12,39,0.48468057952779464,985,115,none,2.5234188030061914e-05,0.0003053994267477224,distance_n_turbines,0.9875111484726131,6,False,False,COMPLETE
12,600.5118093216444,0.7514490363342837,False,False,True,True,False,True,False,False,True,True,none,0.16563146450139676,16,15,0.4582693974017076,984,46,large,0.00029136143030599333,0.9756179134254658,distance_n_turbines,0.8643449699886454,2,False,False,COMPLETE
13,595.5202947997335,0.6791838200427673,False,False,True,True,False,True,False,False,True,False,none,0.04062000194073717,7,41,0.35380745153248505,844,11,none,5.29457402452288e-06,2.7724224812828022e-05,mean,0.6883313617941456,6,False,False,COMPLETE
14,639.2738380982784,0.8281607714362863,False,True,True,True,True,True,True,False,True,False,none,0.2894301392233364,11,92,0.2338046818879157,875,94,large,0.007633515025422474,0.0010566172959202871,distance_n_turbines,0.8916373476178487,0,False,False,COMPLETE
15,618.3250541382745,0.6745325897651588,False,False,True,True,False,True,False,False,True,True,small,0.14760358262817658,8,11,0.42079301066629987,450,67,none,4.1056805160168586e-07,0.006576023060369747,distance_n_turbines,0.7004964695141817,2,False,False,COMPLETE
16,582.2639196261929,0.8382764872744575,False,True,True,True,True,True,False,False,True,True,none,0.05317627250891034,3,99,0.28566433775720645,709,14,large,1.3264255807933654e-05,3.0889885802114936e-06,mean,0.966896754701271,6,False,False,COMPLETE
17,580.5098603404762,0.8413129410375721,False,True,True,True,True,True,False,False,True,True,none,0.05012618082885135,3,99,0.23256856552897784,709,125,large,3.7780461222552745e-05,1.6968698251931878e-06,mean,0.9978191033013915,6,False,False,COMPLETE
18,624.8281646513486,0.8513704503416122,False,True,True,False,True,False,True,False,False,True,small,0.028810894264112895,3,79,0.22878080037086035,726,150,large,2.3928900943757683e-05,8.145705736183925e-06,mean,0.981465713700787,6,False,False,COMPLETE
19,592.5074806192282,0.8798369757961554,False,True,True,True,True,True,False,False,True,True,large,0.06702190601947763,4,83,0.2848458575385003,686,128,large,1.2152965528740913e-05,2.0781846380432036e-06,mean,0.9275060592027562,6,False,False,COMPLETE
