Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,False
compute_dew_point_spread,True
compute_temp_gradient,True
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,medium
cloud_lags_option,small
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,max
n_estimators,448
learning_rate,0.051121712998276586
num_leaves,102
max_depth,4
min_child_samples,60
subsample,0.60164406194288
colsample_bytree,0.645532366144155
reg_alpha,1.2438957241317059e-05
reg_lambda,7.058800100942345e-06
min_split_gain,0.26181702893509984
use_base_models_pred_intervals,False
cv_folds_base,40
