Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,False
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,True
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,True
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,none
precip_lags_option,small
cloud_lags_option,medium
rolling_temp_option,long
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,idw
lags_target,12
n_estimators,806
learning_rate,0.051691300432688464
max_depth,4
min_child_weight,8
subsample,0.9940376248592722
colsample_bytree,0.8370640673197087
reg_alpha,0.0011326707158559755
reg_lambda,1.826603988762152e-07
