Parameter,Value
compute_air_density,False
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,none
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,755
learning_rate,0.18916455226338996
num_leaves,91
max_depth,14
min_child_samples,43
subsample,0.6397684194519601
colsample_bytree,0.5954314952090363
reg_alpha,1.0353404441764476e-05
reg_lambda,7.5704892966214815e-06
min_split_gain,0.12583166778988278
