number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,2285.993167798331,0.8365003766112866,False,False,False,True,False,True,True,True,True,True,small,12.0,0.042576507653330146,10,70,0.20549972235568076,872,47,none,4.3743746534060913e-08,3.5670135299035565e-06,None,0.6110519365652269,2,False,COMPLETE
1,4093.197871637836,0.9748427312680688,True,True,True,False,False,False,False,True,False,False,small,6.0,0.11409134867927298,8,17,0.40551860916574195,473,58,large,3.2294223509586475e-08,9.063015894036132e-08,distance_n_turbines,0.8662655322369003,6,True,COMPLETE
2,3773.7321952800485,0.635348925730512,True,True,False,True,True,False,False,True,False,True,none,12.0,0.28846082096760334,8,45,0.3213815869397512,594,74,small,5.881483367850883e-07,3.112812091443664e-05,distance_capacity,0.9555003225298919,0,False,COMPLETE
3,4532.8459594542755,0.9330315107108854,False,True,False,False,True,True,False,True,False,True,none,1.0,0.027645444345713532,8,97,0.2505030912547136,672,125,small,8.718093944399051e-07,4.012037542430903e-05,idw,0.5050722084282735,0,False,COMPLETE
4,1538.650004211935,0.9558915492240165,False,False,False,False,True,True,False,False,True,False,none,,0.28497140867440945,4,91,0.31386819883157147,727,41,large,0.0010596154803934111,3.5390676603555187e-07,None,0.6142860568446894,0,False,COMPLETE
5,2161.6784304173034,0.6696982563475368,True,False,False,False,True,False,True,True,True,False,small,6.0,0.055472052201981224,4,94,0.08025143115861971,594,89,large,0.0025015541215771754,5.417014341760923e-06,None,0.7680313642080601,2,True,COMPLETE
6,2932.494557705835,0.5273339365395424,False,False,True,False,True,False,False,False,True,True,large,6.0,0.060695092860309635,4,73,0.18075752458993755,694,103,small,0.012107404892902521,0.029015654351368443,distance_n_turbines,0.728814051054084,6,False,COMPLETE
7,2690.5364628305056,0.9896315985583102,True,True,True,True,True,False,True,False,True,False,small,12.0,0.19678814980555998,15,26,0.4079658655808532,411,46,small,2.3584313210345854e-07,0.0006891546375196631,None,0.7962680733441322,2,True,COMPLETE
8,3397.184424764791,0.6160581344376462,True,True,True,False,False,True,False,True,True,False,none,1.0,0.07026157790852745,8,58,0.23591336120457057,529,33,none,2.1892337938025152e-06,0.0003366682797506177,capacity,0.6694125777568556,2,False,COMPLETE
9,2503.7326563432766,0.6772783878426496,False,True,True,True,False,True,True,False,False,False,small,,0.05595338297964845,15,9,0.15676611393099438,697,109,none,0.00015371145900696778,0.038121176591033666,distance_capacity,0.9877398451887465,0,False,COMPLETE
