number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.3817024548870043,0.5862739395796631,0.024468711205487773,12,86,0.09319622407360473,770,84,4.133585426762752e-05,0.0020782390245750277,0.8090184439336576,COMPLETE
1,0.37657275245939553,0.6876387098565275,0.04706341315244997,5,45,0.4543756313811151,635,81,1.460617770740189e-08,2.1288421557729205e-06,0.6334402348109056,COMPLETE
2,0.38600160186734844,0.5321195179901543,0.18800299410399773,13,27,0.4617290597996185,521,107,0.24779995796443793,2.418571995989717e-07,0.5884240095487633,COMPLETE
3,0.38586389283686523,0.6990378104172645,0.08199919596835202,14,35,0.2402343213078061,499,29,2.9610021570831367e-08,0.0021858488709369716,0.9451609122424225,COMPLETE
4,0.3841015727320088,0.9391544851734397,0.1768954499859818,4,52,0.05870330462586193,395,80,0.20778863346942225,1.502249228761749e-06,0.8549041680302545,COMPLETE
5,0.37427169845085784,0.5441089141908195,0.012212608043189466,11,43,0.1735840386851909,848,34,0.9324637527214422,0.25443460731138645,0.9262381405508128,COMPLETE
6,0.3812387254139755,0.69580629758111,0.0816394599766261,8,88,0.4691216009890375,871,142,0.0023305650022695263,8.365964113920811e-08,0.8372789509987968,COMPLETE
7,0.38331247075020886,0.5512564452325812,0.23187295135600067,11,82,0.39320484749647333,683,114,0.008241265330884984,4.059824526884419e-06,0.6073637738934192,COMPLETE
8,0.37201471303416483,0.6431091503516524,0.06756665182420814,3,76,0.40784556172495556,790,59,1.6592135107899504e-05,0.0014828225139596944,0.9852173676289604,COMPLETE
9,0.39200231503783983,0.7201970298809672,0.22500149045260437,5,100,0.22091388817733487,308,69,1.1120196535713883e-05,0.0002120754055835272,0.9067040040882202,COMPLETE
10,0.37738636495334893,0.8491365141142622,0.03947450203880627,16,67,0.3424590283312029,951,54,5.984883137569435e-07,0.9991263697302081,0.9876925611040617,COMPLETE
11,0.37596147108071865,0.6181757772230649,0.011149990944049679,8,13,0.15604750738627873,845,15,0.0010557482572876012,0.6127323830646892,0.7222716462233657,COMPLETE
12,0.37350374241780604,0.504067622830717,0.010343614370176453,9,64,0.32188183845856316,749,39,2.667577301339234e-06,0.020223011538945776,0.991609301667799,COMPLETE
13,0.37721856574292684,0.8270877719832526,0.023604071743200686,7,68,0.317659474208178,699,56,1.9358234352452937e-06,0.017824565201004106,0.7300983030056974,COMPLETE
14,0.37732284424546386,0.6332537382155037,0.11505484622836719,3,65,0.323516123816035,995,43,4.7201157252017965e-07,0.00011082237456072292,0.9945677952105971,COMPLETE
15,0.37450585438114276,0.5051054457203538,0.025425633553584435,6,74,0.4023448834836677,594,10,0.00025210974693596743,0.01991090770308876,0.8830187503341472,COMPLETE
16,0.38103732178261246,0.8166870102283325,0.06819760618822333,9,60,0.2760639378613075,746,59,1.3126545746613844e-05,0.023534682253274455,0.7840909960874074,COMPLETE
17,0.37446766335729254,0.6374696562282771,0.01699802072162653,3,94,0.37855871524395496,771,29,0.00016747954429380875,0.0005660046332896369,0.6734739783424802,COMPLETE
18,0.3760283545541192,0.7678179431052793,0.034723883262286294,10,78,0.4972161685273233,901,99,2.1186395597507907e-07,4.1689055493225886e-05,0.5164809115485837,COMPLETE
19,0.3781153341417074,0.9746463310788702,0.052990008516223965,16,55,0.2688950498733456,609,49,5.723145755608936e-06,0.09495252823747873,0.9544959753147344,COMPLETE
20,0.39050844559767234,0.6098552901013216,0.11532047232193947,6,8,0.42059500635667935,818,68,1.1361992669589873e-07,0.003142603693976224,0.9988473964779356,COMPLETE
21,0.3739096535563616,0.564905882901553,0.010717482067961722,10,42,0.18049092375307316,918,38,0.06368416926603193,0.16749327524888505,0.9207825183640955,COMPLETE
22,0.37706281016003546,0.5603064644087321,0.014273257760088576,9,26,0.1783390912423374,942,41,0.012073159448201063,0.11512005685780413,0.9447823279711834,COMPLETE
23,0.3735938495347186,0.5022210407967951,0.017659658353446607,14,47,0.1336191056819538,772,24,5.587585012500222e-05,0.012273811399758404,0.8768764726528989,COMPLETE
24,0.37563651215054666,0.5061886999606074,0.017641017791769176,14,57,0.09531578639630156,710,20,5.003118977907263e-05,2.1203901040097166e-05,0.8785362866080247,COMPLETE
25,0.3765299265307083,0.6677284694029777,0.01946113943681855,14,73,0.36631653898158634,800,22,1.8759205945231647e-06,0.0074989879830620705,0.9708199683533032,COMPLETE
26,0.3815495163820121,0.5915419646075931,0.03334798501031926,15,47,0.28724603194841325,572,67,0.0007456643569764357,0.0005786261252650554,0.7793382182424257,COMPLETE
27,0.3752885187412107,0.7542108944419688,0.010022133446760121,12,35,0.0027734831284695893,720,47,3.849005326198737e-05,0.0005314634710656942,0.8920762286394098,COMPLETE
28,0.3741955518741899,0.5110624178288072,0.0147303832715171,7,63,0.21415446756516773,644,93,3.259784869942583e-06,0.05389195466601547,0.8322349327277676,COMPLETE
29,0.38006364567830575,0.5841555032851108,0.028653504366983763,12,85,0.11601296872432948,782,28,3.3692687314646165e-05,0.00451610363626542,0.805586858151386,COMPLETE
