number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,893.8269997668166,none,0.9663915046914753,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,True,False,0.049682426803578456,9,43,0.08852827002635438,706,98,small,5.201186596547769e-05,0.0004527213703134685,none,None,0.9648448180853676,medium,False,COMPLETE
1,824.8367322986642,small,0.5173612468213372,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,True,True,0.01647059005176831,11,87,0.31074508938836476,922,51,small,0.008412460638490282,0.0023224561838982916,short,idw,0.5224107252787047,medium,True,COMPLETE
2,880.5084242119509,medium,0.8408820438332528,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False,0.05099393704578338,10,47,0.13330897964077565,951,14,none,7.269656033140588e-07,1.5089666971962578e-06,long,energy,0.8441019499234974,none,True,COMPLETE
3,803.3360560262935,small,0.6364871337935509,False,True,True,True,False,False,True,True,False,True,True,False,False,True,True,True,True,0.05727083767149824,16,13,0.0863212531446883,641,126,medium,6.402283330424869e-05,0.0021151141304547984,long,population,0.603686900604641,medium,False,COMPLETE
4,915.1537381109174,none,0.8213874314170608,True,True,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,0.1962470092436167,7,40,0.3815548928921796,594,27,none,9.867790623722314e-06,2.7307582486148804e-05,none,distance_energy,0.6556266811158387,none,False,COMPLETE
5,791.2078644656395,small,0.7931208183607863,False,True,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,0.04384168610035082,13,88,0.16992056987149706,989,119,small,3.11962780075067e-08,0.00040194393927927153,short,energy,0.7777182251860035,medium,False,COMPLETE
6,921.5449629015337,medium,0.8101407281484833,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,0.05572169193501586,4,24,0.002639126781153467,931,88,small,1.996787224890446e-08,1.4051868280251985e-05,none,None,0.6479005074521239,medium,True,COMPLETE
7,966.1237521241989,small,0.8576855794929756,True,False,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False,0.12849034131444803,16,11,0.005249406206578211,390,51,small,0.10017191413039492,0.19691142626835176,short,max,0.5417015505181639,medium,False,COMPLETE
8,941.5802701361307,medium,0.6575687419955979,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,True,0.02539642934343623,14,33,0.056867739108517,301,111,small,6.71928763073806e-08,6.385165716015642e-05,long,None,0.641025793744193,medium,False,COMPLETE
9,878.3497883904541,small,0.9413159610112634,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,True,0.06812516785296954,10,100,0.13198171886927568,529,53,medium,8.603870834964658e-08,8.562963487955783e-07,short,mean,0.6007118269512299,small,False,COMPLETE
10,771.4489430938687,small,0.7139246197808844,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.011242245223759453,13,71,0.47672418156402085,761,149,none,0.003978577837579016,2.424108892330011e-08,short,energy,0.7928829089306209,small,True,COMPLETE
11,767.9071503996383,small,0.7048269813221711,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.010802462966296507,13,70,0.48285964933926967,802,142,none,0.0038924183934522364,6.426614852692843e-08,short,energy,0.7977873743120347,small,True,COMPLETE
12,771.6400813207287,small,0.6933288257419918,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.011113068381089346,13,66,0.4911689149174125,792,148,none,0.003247539472987932,2.1456249108682933e-08,short,energy,0.8618697769915555,small,True,COMPLETE
13,730.1315104393237,small,0.5705092034601704,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.01012639986181595,12,64,0.4607852282195429,808,149,none,0.7418137133193384,1.6753682931032384e-08,short,distance_population,0.7464518047442831,small,True,COMPLETE
14,751.2261170872712,small,0.557686903651116,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.022854880128894223,7,63,0.41688479018670005,835,130,none,0.5146721356497653,2.3902621784897126e-07,short,distance_population,0.7246740196603516,small,True,COMPLETE
15,755.6702834412614,none,0.5034997962397123,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.024119301185779856,6,63,0.40232631479909486,859,127,none,0.5307204112304327,3.975083992107164e-07,short,distance_population,0.708479207914667,small,True,COMPLETE
16,731.9525972193641,small,0.5880369450815459,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.020946918389058378,3,56,0.2798082096318033,860,72,none,0.5294911173076909,1.814914052854009e-07,short,distance_population,0.7164034577873332,small,True,COMPLETE
17,754.111573917589,small,0.5863262718329001,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.018880120548068476,4,58,0.2571616077227974,706,71,none,0.031130129581722215,1.1076942122171258e-08,short,distance_population,0.9374061624761839,small,True,COMPLETE
18,738.1068117402011,medium,0.5982502544359807,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,0.03678660394637077,8,79,0.3108487127911981,871,71,medium,0.07745887411548728,7.724356322505e-06,none,distance_population,0.8871398282454568,small,True,COMPLETE
19,772.6901005147141,none,0.6263357247981886,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,0.015837971109429708,3,29,0.22069482353002237,526,101,none,0.0008067769776814377,0.2567951123111918,long,distance_population,0.7071531336367962,none,True,COMPLETE
