date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-08-03 00:00:00+00:00,,12931.503531687526,12364.541034063659,13498.466029311392
2025-08-03 01:00:00+00:00,,12789.022845011265,12222.060347387396,13355.985342635133
2025-08-03 02:00:00+00:00,,12735.729411980261,12168.766914356393,13302.691909604127
2025-08-03 03:00:00+00:00,,12924.823505528602,12357.861007904736,13491.786003152469
2025-08-03 04:00:00+00:00,,13178.59248502799,12611.629987404121,13745.554982651858
2025-08-03 05:00:00+00:00,,13890.576937972408,13323.614440348541,14457.539435596274
2025-08-03 06:00:00+00:00,,14835.892207198798,14268.92970957493,15402.854704822665
2025-08-03 07:00:00+00:00,,15796.149847014616,15229.18734939075,16363.112344638485
2025-08-03 08:00:00+00:00,,16836.865782617362,16269.903284993496,17403.828280241232
2025-08-03 09:00:00+00:00,,17307.028471145866,16740.065973522,17873.990968769736
2025-08-03 10:00:00+00:00,,17533.444566852617,16966.48206922875,18100.407064476483
2025-08-03 11:00:00+00:00,,17069.04323877086,16502.080741146994,17636.005736394727
2025-08-03 12:00:00+00:00,,16545.12488238402,15978.162384760157,17112.08738000789
2025-08-03 13:00:00+00:00,,16249.552209049858,15682.589711425991,16816.514706673726
2025-08-03 14:00:00+00:00,,16170.037009440155,15603.074511816287,16736.99950706402
2025-08-03 15:00:00+00:00,,16495.812092831904,15928.849595208037,17062.77459045577
2025-08-03 16:00:00+00:00,,16837.35870842057,16270.396210796702,17404.32120604444
2025-08-03 17:00:00+00:00,,17027.39538475181,16460.432887127943,17594.357882375676
2025-08-03 18:00:00+00:00,,16779.92028991843,16212.957792294561,17346.882787542298
2025-08-03 19:00:00+00:00,,16564.676902401086,15997.71440477722,17131.639400024953
2025-08-03 20:00:00+00:00,,15988.207482872816,15421.244985248948,16555.169980496685
2025-08-03 21:00:00+00:00,,15046.83672812625,14479.874230502384,15613.799225750117
2025-08-03 22:00:00+00:00,,14510.650079987143,13943.687582363276,15077.612577611011
2025-08-03 23:00:00+00:00,,13836.944144938214,13269.981647314347,14403.906642562082
2025-08-04 00:00:00+00:00,,13809.624408094822,13242.661910470955,14376.58690571869
2025-08-04 01:00:00+00:00,,13819.923278918235,13252.960781294369,14386.885776542102
2025-08-04 02:00:00+00:00,,14038.046584399242,13471.084086775374,14605.009082023109
2025-08-04 03:00:00+00:00,,15231.380658499971,14664.418160876103,15798.343156123838
2025-08-04 04:00:00+00:00,,17697.31921062302,17130.356712999153,18264.281708246886
2025-08-04 05:00:00+00:00,,19279.23972584452,18712.277228220653,19846.20222346839
2025-08-04 06:00:00+00:00,,20468.019714721737,19901.05721709787,21034.982212345603
2025-08-04 07:00:00+00:00,,20906.552954660325,20339.59045703646,21473.51545228419
2025-08-04 08:00:00+00:00,,21123.32172450187,20556.359226878005,21690.284222125738
2025-08-04 09:00:00+00:00,,21342.194361170146,20775.23186354628,21909.156858794013
2025-08-04 10:00:00+00:00,,21378.592520311697,20811.63002268783,21945.555017935563
2025-08-04 11:00:00+00:00,,21153.572688460725,20586.61019083686,21720.53518608459
2025-08-04 12:00:00+00:00,,20629.026486703347,20062.06398907948,21195.988984327214
2025-08-04 13:00:00+00:00,,20287.203335942613,19720.240838318747,20854.165833566483
2025-08-04 14:00:00+00:00,,19982.897690192545,19415.93519256868,20549.86018781641
2025-08-04 15:00:00+00:00,,19974.90883240477,19407.9463347809,20541.871330028636
2025-08-04 16:00:00+00:00,,20047.832293106927,19480.86979548306,20614.794790730793
2025-08-04 17:00:00+00:00,,19890.378117349424,19323.415619725558,20457.34061497329
2025-08-04 18:00:00+00:00,,19221.23676327097,18654.274265647102,19788.199260894835
2025-08-04 19:00:00+00:00,,18566.97356849236,18000.011070868495,19133.936066116228
2025-08-04 20:00:00+00:00,,17361.252120924168,16794.2896233003,17928.214618548038
2025-08-04 21:00:00+00:00,,16147.718683008507,15580.75618538464,16714.681180632375
