Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,False
compute_effective_solar,False
temp_lags_option,none
precip_lags_option,small
cloud_lags_option,none
rolling_temp_option,long
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,True
spatial_agg_method,mean
lags_target,6
n_estimators,530
learning_rate,0.07533486806344811
max_depth,10
min_child_weight,8
subsample,0.5133177987039828
colsample_bytree,0.6055430260554515
reg_alpha,7.92601959651519e-08
reg_lambda,1.3003188778600498e-08
