number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,846.9692357515423,small,0.7390914543396139,True,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,,0.23817107211338923,10,9,585,medium,2.757566358501858e-08,7.32206669937845e-08,short,None,0.8076356159195603,medium,COMPLETE
1,943.4366164207992,medium,0.6122506167873689,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,True,False,1.0,0.11680087268575724,3,2,954,none,0.006119001108880178,1.241148839217546e-08,short,distance_population,0.6521116219260252,medium,COMPLETE
2,999.4586566608577,small,0.9134339731844401,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,12.0,0.022622125741446765,10,2,511,small,0.0016152373551714854,0.571353459971807,short,population,0.6917281654931317,none,COMPLETE
3,926.1587300895247,small,0.8949037177977377,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,,0.05135093449766271,4,5,453,medium,0.48489034353676785,0.5802858210592715,long,distance_population,0.6367429653522414,medium,COMPLETE
4,839.9658329310658,none,0.6231050953307173,True,False,False,False,True,True,False,True,True,True,False,False,False,True,True,True,True,1.0,0.012100884798995466,6,1,708,small,9.953265711626407e-06,6.626599137023734e-05,short,max,0.7299671952666393,small,COMPLETE
5,973.6328806465307,none,0.9320402490036421,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,6.0,0.057589836598751325,7,2,661,medium,7.09848111676973e-05,5.567308830117504e-07,none,idw,0.595753504375805,small,COMPLETE
6,905.9102307186353,medium,0.8213597970612304,True,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,True,6.0,0.03560025495112126,7,1,801,medium,0.003667012995668682,5.510870609205962e-06,short,energy,0.786813145120665,none,COMPLETE
7,1152.7329466476765,small,0.5904265140757512,True,False,True,False,False,False,True,True,True,True,False,False,True,False,True,True,False,6.0,0.27370537031261166,7,8,686,medium,3.668309961883292e-07,0.0033211809622597857,short,None,0.872323885036998,medium,COMPLETE
8,961.9601537833224,none,0.7452121010335343,False,True,True,False,False,True,True,False,True,False,False,True,True,True,False,True,False,,0.023627609800208574,8,9,859,none,0.8063168240366214,0.00021464966720291398,none,max,0.602241881598595,small,COMPLETE
9,880.7823810894561,small,0.5559019452001734,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,,0.014408515154523063,7,10,413,small,1.5632605877261546e-08,0.0027840997503777985,long,distance_population,0.7953164529894672,medium,COMPLETE
10,873.7259231222455,none,0.6481425399618195,False,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,1.0,0.010617558403435796,5,5,763,small,6.000042378490305e-06,1.3065050419491301e-05,none,max,0.9821744237049765,small,COMPLETE
11,910.6620517007392,none,0.7147610575137151,True,True,False,True,True,False,True,True,False,True,True,True,False,False,False,False,True,1.0,0.27155365373675433,10,7,570,small,1.3541464572759296e-08,1.70048114169271e-08,short,mean,0.8639526853513121,small,COMPLETE
12,947.8662127719562,small,0.508823019731009,True,False,False,True,True,False,True,True,True,True,False,True,False,True,False,False,True,12.0,0.13069865868403735,5,4,314,medium,1.000323563171336e-06,2.3686836931740372e-07,short,distance_energy,0.5332633778759485,medium,COMPLETE
13,946.7263335134556,none,0.6775675247754301,True,True,False,True,True,True,False,True,False,False,True,True,False,False,True,False,True,1.0,0.11079144959002614,9,7,591,small,3.780759702080552e-07,0.00032063999976850106,short,None,0.7239614642769586,small,COMPLETE
14,907.091234484635,medium,0.8176004233803488,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True,True,,0.17642361203861465,5,4,728,none,2.639557770021077e-05,3.4000987961454514e-07,short,None,0.8555379110896421,none,COMPLETE
15,827.6107529151459,small,0.7923222863847675,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,1.0,0.0651613146456891,9,10,884,medium,8.401340028907916e-08,0.01846760071680217,long,max,0.9448933340803713,medium,COMPLETE
16,836.5854045306465,none,0.8174180126391362,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,True,1.0,0.06538474108116947,8,7,991,small,2.2224398107124478e-06,0.014083858636995334,long,max,0.981215825314284,small,COMPLETE
17,844.3235125996101,small,0.8182211992532042,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,1.0,0.07125279670243048,9,10,994,small,1.7228797855740083e-06,0.041745580299949264,long,max,0.9830642639166352,small,COMPLETE
18,1026.899975168105,none,0.9908386806477613,False,True,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,1.0,0.0826528560981358,8,7,904,medium,1.4453515276240897e-07,0.006179906534424384,long,max,0.9344569801294422,medium,COMPLETE
19,831.8790094105116,medium,0.8650550851796751,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,True,True,1.0,0.03785252265833342,9,8,851,none,0.0006738530946540293,0.056254939725212075,long,energy,0.924886502240371,none,COMPLETE
