number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,433.2290505414251,large,0.8334052308971496,True,True,False,True,False,True,True,True,False,False,False,6.0,0.016138160519568727,14,72,0.4809809032137959,580,81,large,0.038776523878190944,1.3565542986553906e-07,medium,mean,0.6489259181765663,False,False,COMPLETE
1,368.752256809918,large,0.8329681626726272,True,True,True,True,True,False,False,False,False,False,False,1.0,0.04363280452313551,10,83,0.3269991161468305,624,57,small,0.014048967639943224,0.071627744121576,none,distance_capacity,0.7156975937046859,False,True,COMPLETE
2,394.1442141526531,medium,0.6380083442158839,True,True,False,False,False,False,True,False,False,True,False,,0.10026903310829731,9,6,0.24248683747570432,669,115,none,0.0006870910168104261,0.003738781521749942,medium,max,0.548816538557877,True,False,COMPLETE
3,488.1747655532038,large,0.9820710305478829,True,True,True,False,False,True,False,True,True,False,True,12.0,0.1846213245302874,12,99,0.30572239314645216,613,34,large,0.33084041206529236,6.515738685456161e-05,small,capacity,0.7001089751531026,True,False,COMPLETE
4,370.97013375417606,medium,0.9806571537514054,True,False,False,True,True,True,True,True,False,False,True,,0.16628755447449428,5,76,0.33665278690776873,309,87,small,5.82111482900992e-05,1.646813485851785e-05,medium,capacity,0.6815805637299612,False,False,COMPLETE
5,392.39111984210444,medium,0.7735959792544091,True,False,False,True,False,False,True,True,True,False,True,1.0,0.02688286733380633,15,74,0.026173475739847962,494,24,small,1.5842549947927758e-05,0.0006618293669202575,small,distance_n_panels,0.7023960070048195,False,True,COMPLETE
6,393.9938868066194,none,0.5609256496543451,False,False,True,True,False,False,False,True,True,False,False,,0.0739552907768997,14,22,0.2130562429720097,391,39,large,2.042034348009587e-05,5.489553649491444e-05,small,distance_n_panels,0.7230428027752027,True,False,COMPLETE
7,387.1497773877341,none,0.6388398827021626,False,False,True,False,True,False,True,False,False,False,True,,0.022680525045697435,10,5,0.015623775930537043,814,148,small,0.3753827424104703,0.00016473985827516915,small,n_panels,0.7550467360119015,True,True,COMPLETE
8,452.2414501674645,small,0.7747633273711148,True,True,True,False,False,True,True,False,True,True,False,12.0,0.011833074204300978,7,9,0.24471287217781124,540,98,large,6.516223238313105e-05,2.3212880375193068e-07,none,capacity,0.8269202429558387,True,False,COMPLETE
9,471.51203306578594,large,0.91525362549299,False,False,False,False,True,True,False,False,True,False,True,12.0,0.013687392682465976,9,41,0.2795036924112951,563,75,small,0.014323236908350674,0.0001461614146796254,medium,max,0.6646788001602015,True,True,COMPLETE
