Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,none
shortwave_lags_option,none
drop_raw_solar_features,False
drop_raw_features,True
spatial_agg_method,None
lags_target,1
n_estimators,982
learning_rate,0.09887581667853783
num_leaves,148
max_depth,12
min_child_samples,60
subsample,0.6089561174965292
colsample_bytree,0.7677482027445935
reg_alpha,0.0007845049504857681
reg_lambda,3.8227556908416127e-07
min_split_gain,0.07836628760428167
