number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,3718.407861642739,0.9185325150859034,True,False,False,False,True,False,False,False,True,True,small,6.0,0.05983545250173769,6,1,397,small,0.09841774752374693,0.16141224799329726,distance_capacity,0.9738411674077426,0,True,COMPLETE
1,2662.334230297699,0.5852549618022039,False,True,True,False,False,False,True,False,False,True,small,1.0,0.02279246342097356,10,10,594,small,0.1444419252306242,8.245280842634621e-05,idw,0.6552342704440652,6,False,COMPLETE
2,2753.5818468069206,0.6604023284790583,True,True,False,False,False,True,False,False,False,False,small,6.0,0.012864217865904408,8,9,483,none,3.8046365194512584e-07,0.0004335985018392337,max,0.9470980338697578,0,True,COMPLETE
3,2101.736036506875,0.9198347911489826,True,False,False,False,False,True,False,True,True,False,large,,0.012194683424711597,5,5,318,large,2.269603508318569e-07,0.0062704134491813265,max,0.7086826237291619,6,False,COMPLETE
4,6567.942801118324,0.8273222706930379,True,True,False,False,True,False,False,True,True,True,none,1.0,0.2041105320557635,8,8,370,none,0.00019727627523526297,1.0736754798936715e-06,mean,0.7711593714123817,2,False,COMPLETE
5,2897.0834902145166,0.606968276106491,True,True,False,True,True,False,False,True,True,True,none,1.0,0.22215713746883858,5,3,323,none,0.00020689771079024057,0.014694642498620701,mean,0.8164857205005882,6,True,COMPLETE
6,3224.1551931146864,0.677497901877461,False,False,False,False,True,False,False,True,False,False,small,12.0,0.08321411054560028,9,8,453,small,0.0005379188693297166,0.0005920524279196967,capacity,0.6940015092333892,2,False,COMPLETE
7,2835.101042977601,0.7907484344348014,False,False,True,True,True,True,True,True,True,False,small,1.0,0.03290718706801784,10,6,534,none,0.000355026053925282,1.3017028780154298e-07,capacity,0.6857917524933956,6,True,COMPLETE
8,3975.6026694872976,0.6199131131717568,False,False,False,True,True,False,True,True,True,True,none,6.0,0.06503130151116075,6,5,996,small,6.127752310125117e-08,1.0381613280698426e-05,max,0.5500734146892321,6,True,COMPLETE
9,3590.952093296024,0.9771140765727369,True,False,True,False,False,False,False,True,True,True,none,12.0,0.03557459733623252,8,9,930,large,3.1280918249506926e-06,0.00010127508977945708,max,0.7379182636593979,6,False,COMPLETE
10,2384.705517451234,0.8639846683630353,True,False,True,True,False,True,True,False,False,False,large,,0.010005485413961792,3,4,780,large,1.3653042424847239e-08,0.3513419654179909,distance_n_turbines,0.5493218286861601,2,False,COMPLETE
11,2389.2716653075654,0.8862886937561574,True,False,True,True,False,True,True,False,False,False,large,,0.010231379960146045,3,4,740,large,1.2943715415840428e-08,0.9365071007931257,distance_n_turbines,0.5431894262086756,2,False,COMPLETE
12,1525.2866280752605,0.9859048396832122,True,False,True,True,False,True,True,False,False,False,large,,0.01719147519572932,3,2,747,large,3.7053205500191994e-06,0.01744667987120079,None,0.6087971409364993,2,False,COMPLETE
13,1475.2455088189265,0.9982972395184466,True,False,True,True,False,True,True,False,False,False,large,,0.018970876942147025,4,1,706,large,3.285059675021671e-06,0.008357950308848828,None,0.625723145166043,2,False,COMPLETE
14,1470.639586225571,0.5006983069818753,True,False,True,True,False,True,True,False,False,False,large,,0.019867596722881284,4,1,707,large,6.518171778770066e-06,0.008455026908927613,None,0.6261914915097955,2,False,COMPLETE
15,1471.0456595995254,0.547460730252738,True,False,True,True,False,True,True,False,False,False,large,,0.022593945433673074,4,1,674,large,9.836134177687889e-06,0.007225158040487612,None,0.6082880070227918,2,False,COMPLETE
16,1450.3872590070248,0.5111385118911769,True,False,True,True,False,True,True,False,False,False,large,,0.03353920076626149,4,2,862,large,1.8319330309964624e-05,0.001857518524753292,None,0.8537489227335643,2,False,COMPLETE
17,1486.0097130433478,0.5153250311553916,True,False,True,True,False,True,True,False,False,False,large,,0.09796349757285343,5,3,861,large,0.005530903818063662,0.00070829530551843,None,0.9032182612645455,2,False,COMPLETE
18,1467.3934334026083,0.5027394350500732,False,True,True,True,False,True,True,False,False,False,large,,0.03665785830009904,4,2,831,large,2.0768254688067855e-05,1.7337359219711794e-05,None,0.8436668527471217,0,False,COMPLETE
19,3399.605302261584,0.7239798428142645,False,True,True,True,False,True,True,False,False,False,large,12.0,0.038063985313627126,7,3,830,large,0.0031239176129979323,3.833776993235304e-06,idw,0.8612909332278148,0,False,COMPLETE
20,2240.520728963905,0.5598509594227608,False,True,True,True,False,True,True,False,False,False,large,,0.14463641282750825,4,6,887,large,3.138656775173863e-05,5.232931573713501e-08,distance_capacity,0.8313120028802665,0,False,COMPLETE
21,1445.655722499857,0.5026562461714875,False,True,True,True,False,True,True,False,False,False,large,,0.045596450632425865,4,2,802,large,3.1691637899078136e-05,4.454693152333662e-05,None,0.7863965038941023,0,False,COMPLETE
22,1422.2682454139583,0.5319571549460864,False,True,True,True,False,True,True,False,False,False,large,,0.046511682699869196,5,2,806,large,4.080552820875797e-05,1.652606989898289e-05,None,0.8912394479326966,0,False,COMPLETE
23,1439.3134094310728,0.5668955978459662,False,True,True,True,False,True,True,False,False,False,large,,0.051948663578778344,5,2,996,large,0.0018873499300802827,6.113347062925041e-07,None,0.9004533293539462,0,False,COMPLETE
24,1403.5189502358069,0.6385335914377201,False,True,True,True,False,True,True,False,False,False,large,,0.04768370124244301,6,4,973,large,0.002532859010211934,5.032768252412286e-07,None,0.9170987245040017,0,False,COMPLETE
25,1391.5996081630335,0.6560354057305315,False,True,True,True,False,True,True,False,False,False,large,,0.09296924218614046,6,4,974,large,0.014750674278323606,2.6602251267573123e-07,None,0.9091857997371874,0,False,COMPLETE
26,1436.31388774304,0.6555235738430069,False,True,True,True,False,True,True,False,False,False,large,,0.11354328016496738,7,4,947,large,0.010278421096555124,1.0997647424154303e-08,None,0.9954821280722425,0,True,COMPLETE
27,2684.2636698672127,0.7069132181386258,False,True,True,True,False,True,True,False,False,False,large,6.0,0.07426374239307468,6,5,938,large,0.02278657228966514,8.592307235599434e-07,None,0.9231285152342397,0,False,COMPLETE
28,4066.306974505386,0.7636877367795694,False,True,True,True,False,True,True,False,False,False,none,12.0,0.14786615601668032,7,7,911,small,0.9148128096815229,1.5643858680041116e-07,capacity,0.883240630819996,0,False,COMPLETE
29,3904.5175724718442,0.6245184479210132,False,True,True,True,True,True,True,False,False,True,large,6.0,0.05592294389748184,6,4,970,none,0.10394744658692011,4.163538044187013e-06,distance_capacity,0.9577843496175878,0,True,COMPLETE
