Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
compute_turbulence_intensity,True
turbulence_window,3
lags_option,small
precip_lags_option,large
drop_raw_features,True
spatial_agg_method,capacity
lags_target,
n_estimators,403
learning_rate,0.047361365644199856
max_depth,3
min_child_weight,1
subsample,0.5776179471976393
colsample_bytree,0.9553464647193098
reg_alpha,0.06723343961146509
reg_lambda,6.8074277299563e-08
