Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,mean
n_estimators,646
learning_rate,0.023865518997265103
max_depth,5
min_child_weight,10
subsample,0.720816376886854
colsample_bytree,0.5122703809304522
reg_alpha,6.993836379816623e-06
reg_lambda,1.1239178434174173e-05
use_base_models_pred_intervals,False
cv_folds_base,40
