number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,699.8416151701573,0.5088094591601717,0.017118780903932627,3,54,0.015588151770766334,587,33,0.20479562563307419,3.7061465358914154e-07,0.9576659320204448,False,COMPLETE
1,668.5052481157395,0.8317395842823223,0.13250393109324435,12,19,0.05763304004797826,527,78,0.002442753540461434,2.6689359100943243e-07,0.8981734528618388,True,COMPLETE
2,666.9195516584786,0.9760647284979145,0.061256928274084826,14,72,0.181696099457332,942,108,1.6888821045424764e-07,1.3357139717178793e-07,0.9200351929346495,True,COMPLETE
3,686.3508819061635,0.5104389565728853,0.2041902395730608,14,28,0.37193290534562745,912,138,5.782009295235901e-06,0.0034996531485038127,0.9153844351176308,False,COMPLETE
4,672.8554111513996,0.5767333483207611,0.012365251595023738,14,95,0.31352601135628433,564,129,1.1969171557184362e-07,4.113407663720543e-08,0.6686904578877911,True,COMPLETE
5,682.2690021448387,0.9320451119413888,0.17019298794263732,8,84,0.005420024049474448,662,142,0.08656423662009509,7.306800613958399e-08,0.505601001487291,True,COMPLETE
6,672.5991401482404,0.5335749345048902,0.01819366142396291,16,41,0.08107139813440462,487,17,0.0007905018997998057,6.907059029235212e-08,0.7374641671478623,False,COMPLETE
7,672.5608325850457,0.9198117938460838,0.13298264383765107,11,13,0.46071992753660557,780,92,1.5450154734974226e-05,0.1738474110484373,0.7739704866417221,True,COMPLETE
8,698.8264935454105,0.5298204193419646,0.24960330351869875,7,79,0.03899833869915509,978,147,0.002963117591732575,2.1930361785248056e-05,0.7496482074236952,True,COMPLETE
9,719.9699756679079,0.6660198011084494,0.15051267929699721,13,21,0.29644840418596513,611,123,1.606659582494891e-08,0.020524142202682078,0.7230798313403468,True,COMPLETE
10,661.902659629608,0.992487904097318,0.0472791364931889,16,65,0.2025454592898327,353,91,5.747812414578504e-07,1.4942060481794859e-05,0.8523728084045743,False,COMPLETE
11,668.6727132014804,0.9715030260579645,0.05033151087888047,16,63,0.175181979970537,384,91,5.168203951419875e-07,1.6775315113651384e-05,0.8524424448164897,False,COMPLETE
12,661.7110956541846,0.8371210187571361,0.05662361645287913,16,67,0.1972040068846673,338,69,9.478044061426795e-07,3.7308095348608578e-06,0.9836249070004633,False,COMPLETE
13,667.7580100544135,0.8083357487151122,0.04319976844728975,16,45,0.1807004487548456,302,57,4.058716842452194e-06,0.00043194968891250684,0.999785276444828,False,COMPLETE
14,669.268878816851,0.854994010446543,0.033374382932395905,10,62,0.237809411829182,430,64,7.168334703384212e-05,4.2346431064550595e-06,0.8280495170606461,False,COMPLETE
15,666.9431974973968,0.7133370974971699,0.08427624595267115,5,96,0.12944418382914388,303,50,1.3039369575067951e-08,0.00028545507915941004,0.99845721794919,False,COMPLETE
16,669.145397161886,0.7631888005529858,0.027455528867200853,8,69,0.24429464495642766,400,108,8.170082336921101e-07,1.8499345695476705e-06,0.6310362316863216,False,COMPLETE
17,674.9342116944279,0.8912865478740891,0.08375656655311979,15,37,0.3837033526090402,741,74,8.894135077927466e-05,6.329414248364135e-05,0.8354219661881452,False,COMPLETE
18,688.3822604711102,0.6370476495053383,0.0782029659062304,12,54,0.10844892428945596,462,44,1.4049323408834578e-06,2.4715694360268813e-06,0.8698521389126672,False,COMPLETE
19,668.8533101221976,0.7516498466723983,0.029946396643825667,10,85,0.31385974944843464,369,92,8.346994006754699e-08,1.2284456369623032e-08,0.9503027588895058,False,COMPLETE
