date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-04-20 00:00:00+00:00,,11854.654803844178,11036.61640816331,12672.693199525045
2025-04-20 01:00:00+00:00,,11782.789797216377,10964.75140153551,12600.828192897245
2025-04-20 02:00:00+00:00,,11559.266795191801,10741.228399510932,12377.305190872667
2025-04-20 03:00:00+00:00,,11981.118804357848,11163.08040867698,12799.157200038713
2025-04-20 04:00:00+00:00,,12146.300496636548,11328.262100955679,12964.338892317413
2025-04-20 05:00:00+00:00,,12806.959579342734,11988.921183661867,13624.997975023602
2025-04-20 06:00:00+00:00,,14600.489837144813,13782.451441463945,15418.52823282568
2025-04-20 07:00:00+00:00,,16335.138952234494,15517.100556553629,17153.177347915363
2025-04-20 08:00:00+00:00,,16710.473362716184,15892.434967035319,17528.511758397053
2025-04-20 09:00:00+00:00,,17052.724115032106,16234.685719351237,17870.76251071297
2025-04-20 10:00:00+00:00,,16906.88471244111,16088.846316760244,17724.923108121977
2025-04-20 11:00:00+00:00,,16503.23046722261,15685.192071541742,17321.268862903475
2025-04-20 12:00:00+00:00,,16188.356945244357,15370.31854956349,17006.395340925224
2025-04-20 13:00:00+00:00,,15619.830431497008,14801.792035816141,16437.868827177874
2025-04-20 14:00:00+00:00,,15567.913625556404,14749.875229875539,16385.952021237274
2025-04-20 15:00:00+00:00,,16330.354744239867,15512.316348559,17148.393139920732
2025-04-20 16:00:00+00:00,,16780.925574858735,15962.887179177867,17598.9639705396
2025-04-20 17:00:00+00:00,,17092.68023164055,16274.64183595968,17910.718627321414
2025-04-20 18:00:00+00:00,,16640.71695066376,15822.678554982893,17458.755346344627
2025-04-20 19:00:00+00:00,,16126.089357504181,15308.050961823314,16944.127753185046
2025-04-20 20:00:00+00:00,,15181.723942176988,14363.685546496119,15999.762337857854
2025-04-20 21:00:00+00:00,,14071.812409273978,13253.77401359311,14889.850804954844
2025-04-20 22:00:00+00:00,,13436.263298257578,12618.224902576709,14254.301693938443
2025-04-20 23:00:00+00:00,,12813.780362262118,11995.74196658125,13631.818757942983
2025-04-21 00:00:00+00:00,,11693.431117915932,10875.392722235065,12511.4695135968
2025-04-21 01:00:00+00:00,,11254.524943232987,10436.48654755212,12072.563338913853
2025-04-21 02:00:00+00:00,,11569.002600732882,10750.964205052014,12387.040996413747
2025-04-21 03:00:00+00:00,,12289.744324447314,11471.705928766449,13107.78272012818
2025-04-21 04:00:00+00:00,,13157.194097382268,12339.1557017014,13975.232493063133
2025-04-21 05:00:00+00:00,,15238.603527353003,14420.565131672138,16056.64192303387
2025-04-21 06:00:00+00:00,,16112.11970691363,15294.081311232763,16930.158102594498
2025-04-21 07:00:00+00:00,,17711.02803642377,16892.989640742904,18529.06643210464
2025-04-21 08:00:00+00:00,,18246.994398795257,17428.95600311439,19065.032794476123
2025-04-21 09:00:00+00:00,,19036.158910089816,18218.120514408947,19854.197305770682
2025-04-21 10:00:00+00:00,,19666.008497071347,18847.97010139048,20484.046892752216
2025-04-21 11:00:00+00:00,,19599.41928779855,18781.380892117682,20417.457683479417
2025-04-21 12:00:00+00:00,,18334.119713159806,17516.081317478936,19152.15810884067
2025-04-21 13:00:00+00:00,,18939.001098940134,18120.962703259265,19757.039494621
2025-04-21 14:00:00+00:00,,18418.954139873014,17600.91574419215,19236.99253555388
2025-04-21 15:00:00+00:00,,18081.188428122765,17263.1500324419,18899.226823803634
2025-04-21 16:00:00+00:00,,18735.455995442837,17917.41759976197,19553.494391123706
2025-04-21 17:00:00+00:00,,18513.739571235306,17695.70117555444,19331.777966916176
2025-04-21 18:00:00+00:00,,18027.45411805592,17209.415722375055,18845.49251373679
2025-04-21 19:00:00+00:00,,17680.24124141624,16862.20284573537,18498.279637097105
2025-04-21 20:00:00+00:00,,16806.748098332617,15988.709702651751,17624.786494013482
2025-04-21 21:00:00+00:00,,15646.748203743615,14828.709808062747,16464.786599424482
2025-04-21 22:00:00+00:00,,14269.455996977582,13451.417601296715,15087.49439265845
2025-04-21 23:00:00+00:00,,13349.273903127465,12531.2355074466,14167.312298808334
2025-04-22 00:00:00+00:00,,13469.575099093234,12651.536703412366,14287.613494774101
2025-04-22 01:00:00+00:00,,13798.170056498453,12980.131660817588,14616.20845217932
2025-04-22 02:00:00+00:00,,14136.183048506395,13318.14465282553,14954.221444187262
2025-04-22 03:00:00+00:00,,15641.751358952886,14823.71296327202,16459.78975463375
2025-04-22 04:00:00+00:00,,17701.057933683875,16883.01953800301,18519.096329364744
2025-04-22 05:00:00+00:00,,19636.398983683728,18818.360588002863,20454.437379364597
2025-04-22 06:00:00+00:00,,20404.56902586145,19586.530630180583,21222.607421542314
2025-04-22 07:00:00+00:00,,21615.118161043574,20797.07976536271,22433.15655672444
2025-04-22 08:00:00+00:00,,21851.263454697993,21033.225059017128,22669.301850378863
2025-04-22 09:00:00+00:00,,21660.03862302001,20842.000227339144,22478.077018700875
2025-04-22 10:00:00+00:00,,21311.798183677573,20493.759787996707,22129.83657935844
2025-04-22 11:00:00+00:00,,20421.343384254706,19603.304988573836,21239.38177993557
2025-04-22 12:00:00+00:00,,20100.0900348057,19282.051639124835,20918.12843048657
2025-04-22 13:00:00+00:00,,19970.309353092965,19152.2709574121,20788.347748773835
2025-04-22 14:00:00+00:00,,19814.70292013577,18996.664524454904,20632.74131581664
2025-04-22 15:00:00+00:00,,19969.41899244734,19151.380596766474,20787.457388128205
2025-04-22 16:00:00+00:00,,20075.415369493174,19257.376973812305,20893.45376517404
