method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
trained,XGBoost,2024-12-05T00:00:00+00:00,2987046.2213078183,1728.3073283730005,1351.289850961594,43.29299722014849,85.50189965581635,-981.4116398947576,2023877.414386901,1422.630456016917,0.7264686976322638,0.5,2963.6476222328683
trained,XGBoost,2024-12-12T00:00:00+00:00,2269790.50165838,1506.5823912612213,1166.3332219577967,69.64826325002464,63.1471548107122,-969.4132554417563,1330028.4418321955,1153.2685904992798,0.9249132368317644,0.8095238095238095,5549.549782043939
trained,XGBoost,2024-12-19T00:00:00+00:00,1619611.9991326346,1272.6397758724322,989.1362068539571,19.715510624678608,36.15816710205751,-518.0435409545897,1351242.888807865,1162.4297349981482,0.9141525746543024,0.8869047619047619,6324.737749018565
trained,XGBoost,2024-12-26T00:00:00+00:00,1717983.950943447,1310.7188680046713,885.6573211919692,95.7913100362646,93.6701352176973,694.7986636502401,1235238.7679332877,1111.4129601247628,0.933484086207845,0.6309523809523809,4495.551548372033
trained,XGBoost,2025-01-02T00:00:00+00:00,2375707.646927522,1541.3330746232373,1258.1092500232517,17.750825993703078,34.61453541359615,-99.11597260974631,2365883.670901146,1538.1429292823036,0.8320365034645786,0.9047619047619048,6933.452581706941
trained,ElasticNet,2024-12-05T00:00:00+00:00,2854289.975665755,1689.464404971515,1221.4075600261056,44.13184695069309,73.10972047799748,-38.854817266863634,2852780.278840914,1689.0175484111803,0.7386255194815172,0.9226190476190477,10440.674330856591
trained,ElasticNet,2024-12-12T00:00:00+00:00,6462916.691697345,2542.226719176979,1874.6068935013577,125.76472033130503,89.58528820688491,-1670.505283764375,3672328.788612648,1916.3321185568664,0.7862007552454929,0.8630952380952381,14557.205911382118
trained,ElasticNet,2024-12-19T00:00:00+00:00,2742443.64005303,1656.0324996971015,1420.7636222330382,21.573728849562222,46.99555667231004,-1014.9033677552503,1712414.7941720816,1308.5926769518778,0.8546369588640252,0.9940476190476191,17095.19508705786
trained,ElasticNet,2024-12-26T00:00:00+00:00,5509608.558541008,2347.255537546138,1395.393117613201,122.67670984042792,103.38101264749761,-289.27966742916016,5425925.832553083,2329.361679205933,0.7866821469972525,0.8154761904761905,10553.447422012154
trained,ElasticNet,2025-01-02T00:00:00+00:00,7654485.706780171,2766.6741237052424,2123.7520111081885,27.905460192824773,51.89635496975827,908.3847555650354,6829322.842637221,2613.2973123311517,0.45882474842645193,1.0,22471.871780924084
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-05T00:00:00+00:00,2411042.2693958892,1552.7531257079759,1231.274630001613,36.06994676664449,76.737850334878,-761.0860858644754,1831790.2392993819,1353.436455582375,0.7792148218842182,0.6726190476190477,3516.208165472499
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-12T00:00:00+00:00,3892006.6216565617,1972.8169255297264,1445.6305282342998,48.84036934549168,62.00978982645976,-1230.378400019237,2378175.614422665,1542.1334619359845,0.871248831451179,0.8095238095238095,6118.655236124186
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-19T00:00:00+00:00,2206035.0136632454,1485.2727068330737,1114.5460235959008,18.501116754121995,37.22015798904733,-686.1196145557221,1735274.8881851528,1317.2983292273443,0.8830692621153264,0.9226190476190477,6835.663528310328
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-26T00:00:00+00:00,3756958.592274853,1938.2875411751613,1249.3515838668468,105.92799775221549,91.02701773285786,30.268878641582486,3756042.387260635,1938.0511828279032,0.8545402396179447,0.6547619047619048,4221.430091870159
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-02T00:00:00+00:00,2954607.7207254274,1718.897239722441,1358.0122680664067,20.46933772631964,38.47046670484935,331.6658804757261,2844605.4644536884,1686.5958213080241,0.7911080328821559,0.8273809523809523,7463.659406914389
forecast,XGBoost,2024-12-05T00:00:00+00:00,638862.4282107326,799.2887014156604,583.090713818868,14.749998943726188,31.40852375895878,-249.72768270401693,576498.5127020145,759.2749914899176,0.94149776766903,0.8988095238095238,3469.9641779295425
forecast,XGBoost,2024-12-12T00:00:00+00:00,767323.988985907,875.9703128450799,588.3517900847253,9.736829050880818,20.21021485395316,-456.18034504992613,559223.4817760375,747.8124643090923,0.9746162147598227,0.9940476190476191,6016.933790977845
forecast,XGBoost,2024-12-19T00:00:00+00:00,528711.6796247865,727.1256285022462,555.2845938546317,8.433182043816212,16.935222382752944,-281.14645095098575,449668.3527424515,670.5731524169838,0.9719756728955488,0.9821428571428571,6456.909359967317
forecast,XGBoost,2024-12-26T00:00:00+00:00,192486.47593402263,438.7328069953541,261.8585141272774,8.72795780804185,16.995689355539948,114.67864311309066,179335.284747763,423.4799697125745,0.9925474194142779,0.9880952380952381,3986.8580169085194
forecast,XGBoost,2025-01-02T00:00:00+00:00,2375707.646927522,1541.3330746232373,1258.1092500232517,17.750825993703078,34.61453541359615,-99.11597260974631,2365883.670901146,1538.1429292823036,0.8320365034645786,0.9047619047619048,6933.452581706941
forecast,ElasticNet,2024-12-05T00:00:00+00:00,2906039.3856970975,1704.7109390442408,1236.2183796346235,41.88633903966832,72.7848076056613,-81.24213850472692,2899439.100628276,1702.7739429026615,0.7338866964189008,0.9404761904761905,10466.462167942253
forecast,ElasticNet,2024-12-12T00:00:00+00:00,6821068.095716049,2611.7174609279714,1925.6451260305382,113.90415713190136,90.32274334044628,-1731.0547423655821,3824517.574649679,1955.6373832205395,0.7743527764860986,0.8571428571428571,14540.574016892448
forecast,ElasticNet,2024-12-19T00:00:00+00:00,2769913.2467500577,1664.3056350172158,1418.0899190598893,21.6661089954606,47.372636688812364,-930.8879021789546,1903360.9603269224,1379.6234849867271,0.8531809342041304,0.9940476190476191,17262.868061021916
forecast,ElasticNet,2024-12-26T00:00:00+00:00,5305040.410336403,2303.2673336667635,1345.9049081901917,113.44646073686957,98.97568306848201,-338.76703564778273,5190277.305894817,2278.218011054872,0.7946024988160957,0.8154761904761905,10535.960261956512
forecast,ElasticNet,2025-01-02T00:00:00+00:00,7654485.706780171,2766.6741237052424,2123.7520111081885,27.905460192824773,51.89635496975827,908.3847555650354,6829322.842637221,2613.2973123311517,0.45882474842645193,1.0,22471.871780924084
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-05T00:00:00+00:00,948829.3331361895,974.0787099286123,718.1578370048886,25.56202725373589,47.734756848584844,-104.81475984482503,937843.1992548612,968.4230476681465,0.9131133219947898,0.8273809523809523,3677.746590321832
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-12T00:00:00+00:00,793354.0525962425,890.7042453004491,589.1552793241683,16.341349553396064,31.099146903199692,-286.0676102127347,711519.3749834175,843.5160786751,0.973755116248689,0.8809523809523809,6311.118727877828
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-19T00:00:00+00:00,653975.1250435426,808.6872850759696,627.6202712286088,10.047808520317792,21.359761801055274,-229.99446614583326,601077.6705858357,775.2919905337832,0.965336092375714,0.9761904761904762,6665.579389097854
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-26T00:00:00+00:00,234062.77790725156,483.8003492219198,310.0920522326513,21.396200263372172,39.558390156142096,148.784167516799,211926.0494035847,460.35426510849743,0.9909376920845615,0.8333333333333334,4117.756622387167
forecast,"ensemble[XGBoost](XGBoost,ElasticNet)",2025-01-02T00:00:00+00:00,2857597.430080768,1690.4429685975117,1364.9922950381329,20.489502490224027,39.269895464562296,134.67637706938316,2839459.7035402334,1685.0696435281936,0.7979666998724599,0.8392857142857143,7303.210865062822
