number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,628.8750060890171,medium,0.8124219448426132,False,True,False,True,False,True,True,True,True,True,False,,0.051736933559450374,5,5,870,none,0.07869897708521145,0.02421385162085066,none,capacity,0.6467600999063927,True,False,COMPLETE
1,848.9936036551576,none,0.5153850637153683,False,True,True,False,False,True,False,True,False,False,True,12.0,0.021571062916264046,3,5,664,small,4.595538427640145e-07,5.786324477582096e-08,medium,max,0.7590617994670475,True,True,COMPLETE
2,642.9714923842547,small,0.9618715778148973,False,False,False,True,False,False,False,True,False,True,True,12.0,0.04752058872849909,6,4,657,small,0.1008631022545535,0.00040032560674004974,small,n_panels,0.7067024099004673,False,False,COMPLETE
3,529.5235780678485,none,0.5222852699536105,True,True,False,True,False,False,True,True,True,False,False,12.0,0.07131219950570268,8,5,627,large,0.3490167349418813,2.3378890119983102e-07,none,mean,0.9623903782470288,True,False,COMPLETE
4,623.6183435097428,large,0.5545312825424484,False,False,False,True,False,True,False,False,False,False,True,1.0,0.16684188645375192,6,8,765,small,7.106526365927324e-08,2.9369992461010415e-08,medium,distance_capacity,0.9982244926355357,False,False,COMPLETE
5,753.577461234919,medium,0.5476020460810801,True,True,True,True,True,False,False,True,True,True,False,,0.08672834745922282,6,10,748,none,2.6696842198447925e-08,0.00018822409845869928,small,max,0.7582201789416576,True,False,COMPLETE
6,722.081840575182,large,0.6189687460984652,False,False,True,True,False,True,True,False,False,False,False,6.0,0.011836197446311382,9,5,465,large,7.599914505034935e-05,0.025569413952946898,small,None,0.6440339545255871,False,True,COMPLETE
7,724.1150940054064,large,0.6602693971290541,True,False,True,False,False,False,False,False,False,False,True,1.0,0.024491035167356463,5,5,861,small,0.026230383966845645,0.022700478477280076,medium,distance_n_panels,0.9104221748441182,False,False,COMPLETE
8,662.6076463566843,large,0.9849205305329765,True,False,True,False,True,False,False,False,False,False,False,,0.25923030907331335,5,2,318,none,0.00015786480006540202,0.006973622976445975,none,distance_n_panels,0.5082300910387358,True,True,COMPLETE
9,729.2477015282602,large,0.7810663604439827,True,False,False,False,True,True,False,False,False,False,True,1.0,0.04564767002821509,4,9,827,small,7.63528244931253e-08,0.2678541358501317,none,distance_capacity,0.7424778982665321,True,False,COMPLETE
10,684.494935370551,none,0.693070194432617,True,True,False,True,True,False,True,True,True,True,False,12.0,0.10539996381949947,9,1,993,large,0.0012155002925773547,2.2859880452867308e-06,large,mean,0.8814277764457132,True,True,COMPLETE
