Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,none
shortwave_lags_option,none
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,None
lags_target,6
n_estimators,776
learning_rate,0.010065215538690513
max_depth,7
min_child_weight,8
subsample,0.8574188304396679
colsample_bytree,0.769427549007275
reg_alpha,1.6780772723476272e-06
reg_lambda,2.2686425461225167e-06
