Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,True
gust_factor,True
turbulence_window,6
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,idw
lags_target,
n_estimators,404
learning_rate,0.1505886987012425
num_leaves,48
max_depth,14
min_child_samples,58
subsample,0.7734708982262819
colsample_bytree,0.6471255506337503
reg_alpha,9.653599178751193e-06
reg_lambda,3.6607524808976747e-07
min_split_gain,0.045120055136495585
